,QUARTER,TIME_REMAINING,TORONTO_ACTION,PORTLAND_ACTION,TORONTO_SCORE,PORTLAND_SCORE
0,1,11:43.0,S. Ibaka makes 2-pt layup from 3 ft (assist by F. VanVleet),,2,0
1,1,11:25.0,,D. Lillard makes 2-pt layup from 1 ft (assist by J. Nurkić),2,2
2,1,11:10.0,D. Green makes 3-pt jump shot from 24 ft (assist by F. VanVleet),,5,2
3,1,10:47.0,,Turnover by A. Aminu (bad pass),5,2
4,1,10:24.0,S. Ibaka misses 2-pt jump shot from 15 ft,,5,2
5,1,10:20.0,,Defensive rebound by A. Aminu,5,2
6,1,10:14.0,,C. McCollum misses 2-pt jump shot from 8 ft,5,2
7,1,10:10.0,,Offensive rebound by A. Aminu,5,2
8,1,10:10.0,,A. Aminu makes 2-pt layup from 1 ft,5,4
9,1,9:59.0,F. VanVleet makes 3-pt jump shot from 25 ft (assist by S. Ibaka),,8,4
10,1,9:46.0,,A. Aminu makes 2-pt jump shot from 14 ft (assist by C. McCollum),8,6
11,1,9:32.0,Turnover by P. Siakam (bad pass; steal by J. Nurkić),,8,6
12,1,9:23.0,,J. Nurkić misses 2-pt layup from 4 ft,8,6
13,1,9:20.0,,Offensive rebound by J. Nurkić,8,6
14,1,9:18.0,,M. Harkless misses 3-pt jump shot from 26 ft,8,6
15,1,9:15.0,Defensive rebound by D. Green,,8,6
16,1,9:10.0,Shooting foul by J. Nurkić (drawn by S. Ibaka),,8,6
17,1,9:10.0,S. Ibaka makes free throw 1 of 2,,9,6
18,1,9:10.0,S. Ibaka makes free throw 2 of 2,,10,6
19,1,8:59.0,,C. McCollum misses 2-pt jump shot from 17 ft,10,6
20,1,8:57.0,,Offensive rebound by J. Nurkić,10,6
21,1,8:56.0,,Shooting foul by K. Leonard (drawn by J. Nurkić),10,6
22,1,8:56.0,,J. Nurkić makes free throw 1 of 2,10,7
23,1,8:56.0,,J. Nurkić makes free throw 2 of 2,10,8
24,1,8:43.0,K. Leonard misses 2-pt layup from 2 ft (block by J. Nurkić),,10,8
25,1,8:40.0,Offensive rebound by S. Ibaka,,10,8
26,1,8:38.0,S. Ibaka makes 2-pt dunk from 1 ft,,12,8
27,1,8:29.0,,J. Nurkić makes 2-pt hook shot from 2 ft,12,10
28,1,8:21.0,Turnover by F. VanVleet (bad pass; steal by C. McCollum),,12,10
29,1,8:18.0,,C. McCollum misses 2-pt layup from 1 ft (block by S. Ibaka),12,10
30,1,8:15.0,Defensive rebound by F. VanVleet,,12,10
31,1,8:11.0,D. Green misses 3-pt jump shot from 23 ft,,12,10
32,1,8:09.0,,Defensive rebound by D. Lillard,12,10
33,1,7:58.0,,J. Nurkić misses 2-pt jump shot from 19 ft,12,10
34,1,7:55.0,Defensive rebound by D. Green,,12,10
35,1,7:50.0,K. Leonard misses 3-pt jump shot from 26 ft,,12,10
36,1,7:48.0,,Defensive rebound by J. Nurkić,12,10
37,1,7:37.0,,D. Lillard misses 2-pt layup from 2 ft,12,10
38,1,7:35.0,Defensive rebound by D. Green,,12,10
39,1,7:29.0,Turnover by K. Leonard (bad pass; steal by C. McCollum),,12,10
40,1,7:13.0,,M. Harkless makes 2-pt jump shot from 6 ft (assist by C. McCollum),12,12
41,1,6:55.0,S. Ibaka misses 2-pt jump shot from 19 ft,,12,12
42,1,6:53.0,,Defensive rebound by C. McCollum,12,12
43,1,6:47.0,,C. McCollum misses 3-pt jump shot from 26 ft,12,12
44,1,6:46.0,Defensive rebound by S. Ibaka,,12,12
45,1,6:34.0,K. Leonard misses 2-pt jump shot from 17 ft,,12,12
46,1,6:31.0,,Defensive rebound by A. Aminu,12,12
47,1,6:28.0,,Turnover by A. Aminu (bad pass),12,12
48,1,6:28.0,,Portland full timeout,12,12
49,1,6:08.0,P. Siakam misses 2-pt layup from 5 ft,,12,12
50,1,6:03.0,,Defensive rebound by M. Harkless,12,12
51,1,6:01.0,,A. Aminu misses 2-pt dunk from 1 ft,12,12
52,1,6:00.0,Defensive rebound by S. Ibaka,,12,12
53,1,5:55.0,P. Siakam misses 2-pt layup from 2 ft,,12,12
54,1,5:54.0,,Defensive rebound by J. Nurkić,12,12
55,1,5:49.0,,Turnover by M. Harkless (traveling),12,12
56,1,5:34.0,F. VanVleet misses 3-pt jump shot from 25 ft,,12,12
57,1,5:32.0,,Defensive rebound by A. Aminu,12,12
58,1,5:19.0,,Personal foul by D. Green (drawn by A. Aminu),12,12
59,1,5:19.0,O. Anunoby enters the game for P. Siakam,,12,12
60,1,5:10.0,,C. McCollum makes 2-pt layup from 1 ft (assist by J. Nurkić),12,14
61,1,4:49.0,O. Anunoby makes 3-pt jump shot from 22 ft (assist by K. Leonard),,15,14
62,1,4:30.0,,Turnover by D. Lillard (bad pass; steal by K. Leonard),15,14
63,1,4:25.0,S. Ibaka misses 3-pt jump shot from 25 ft,,15,14
64,1,4:21.0,,Defensive rebound by M. Harkless,15,14
65,1,4:08.0,,D. Lillard makes 3-pt jump shot from 25 ft (assist by J. Nurkić),15,17
66,1,3:46.0,S. Ibaka makes 2-pt jump shot from 2 ft,,17,17
67,1,3:37.0,,J. Nurkić makes 2-pt layup from 1 ft (assist by D. Lillard),17,19
68,1,3:27.0,Toronto full timeout,,17,19
69,1,3:27.0,G. Monroe enters the game for S. Ibaka,,17,19
70,1,3:27.0,,Z. Collins enters the game for A. Aminu,17,19
71,1,3:27.0,,M. Leonard enters the game for M. Harkless,17,19
72,1,3:27.0,,N. Stauskas enters the game for C. McCollum,17,19
73,1,3:27.0,,E. Turner enters the game for J. Nurkić,17,19
74,1,3:21.0,Turnover by F. VanVleet (bad pass),,17,19
75,1,3:10.0,,D. Lillard makes 3-pt jump shot from 28 ft (assist by N. Stauskas),17,22
76,1,2:50.0,Turnover by G. Monroe (3 sec),,17,22
77,1,2:50.0,D. Wright enters the game for D. Green,,17,22
78,1,2:30.0,,Z. Collins makes 2-pt jump shot from 2 ft,17,24
79,1,2:14.0,K. Leonard misses 2-pt hook shot from 6 ft,,17,24
80,1,2:12.0,,Defensive rebound by N. Stauskas,17,24
81,1,2:04.0,,Personal foul by G. Monroe (drawn by D. Lillard),17,24
82,1,2:04.0,P. Siakam enters the game for K. Leonard,,17,24
83,1,2:04.0,,S. Curry enters the game for D. Lillard,17,24
84,1,1:44.0,,Turnover by N. Stauskas (lost ball; steal by O. Anunoby),17,24
85,1,1:42.0,Offensive foul by P. Siakam (drawn by M. Leonard),,17,24
86,1,1:42.0,Turnover by P. Siakam (offensive foul),,17,24
87,1,1:27.0,,N. Stauskas misses 3-pt jump shot from 23 ft,17,24
88,1,1:23.0,Defensive rebound by O. Anunoby,,17,24
89,1,1:06.0,Turnover by F. VanVleet (bad pass; steal by S. Curry),,17,24
90,1,1:06.0,C. Miles enters the game for F. VanVleet,,17,24
91,1,0:47.0,,Z. Collins makes 2-pt layup from 1 ft (assist by S. Curry),17,26
92,1,0:30.0,P. Siakam makes 3-pt jump shot from 23 ft (assist by D. Wright),,20,26
93,1,0:10.0,,M. Leonard makes 2-pt jump shot from 14 ft,20,28
94,1,0:01.0,P. Siakam makes 3-pt jump shot from 23 ft (assist by D. Wright),,23,28
95,2,11:44.0,,S. Curry misses 2-pt jump shot from 11 ft,23,28
96,2,11:42.0,Defensive rebound by P. Siakam,,23,28
97,2,11:29.0,P. Siakam makes 2-pt layup from 2 ft,,25,28
98,2,11:17.0,,N. Stauskas misses 3-pt jump shot from 25 ft,25,28
99,2,11:16.0,,Offensive rebound by E. Turner,25,28
100,2,11:14.0,,E. Turner misses 2-pt jump shot from 7 ft,25,28
101,2,11:09.0,,Offensive rebound by Z. Collins,25,28
102,2,11:09.0,,Z. Collins makes 2-pt layup from 1 ft,25,30
103,2,10:52.0,D. Wright makes 2-pt jump shot from 18 ft,,27,30
104,2,10:38.0,,E. Turner makes 2-pt layup from 2 ft (assist by Z. Collins),27,32
105,2,10:22.0,P. Siakam misses 3-pt jump shot from 26 ft,,27,32
106,2,10:20.0,,Defensive rebound by M. Leonard,27,32
107,2,10:04.0,,N. Stauskas makes 2-pt layup from 1 ft (assist by M. Leonard),27,34
108,2,9:51.0,C. Miles misses 2-pt jump shot from 13 ft,,27,34
109,2,9:49.0,,Defensive rebound by M. Leonard,27,34
110,2,9:42.0,,Turnover by N. Stauskas (bad pass; steal by C. Miles),27,34
111,2,9:38.0,C. Miles makes 2-pt dunk from 1 ft,,29,34
112,2,9:08.0,,Z. Collins makes 2-pt dunk at rim (assist by S. Curry),29,36
113,2,8:46.0,C. Miles makes 3-pt jump shot from 28 ft (assist by D. Wright),,32,36
114,2,8:28.0,,N. Stauskas makes 3-pt jump shot from 25 ft (assist by E. Turner),32,39
115,2,8:18.0,C. Miles misses 2-pt jump shot from 23 ft,,32,39
116,2,8:15.0,,Defensive rebound by E. Turner,32,39
117,2,8:09.0,,Shooting foul by G. Monroe (drawn by Z. Collins),32,39
118,2,8:09.0,,Z. Collins makes free throw 1 of 2,32,40
119,2,8:09.0,D. Green enters the game for O. Anunoby,,32,40
120,2,8:09.0,S. Ibaka enters the game for G. Monroe,,32,40
121,2,8:09.0,K. Leonard enters the game for P. Siakam,,32,40
122,2,8:09.0,,Z. Collins misses free throw 2 of 2,32,40
123,2,8:07.0,Defensive rebound by K. Leonard,,32,40
124,2,8:01.0,C. Miles misses 2-pt layup from 2 ft (block by Z. Collins),,32,40
125,2,7:59.0,,Defensive rebound by Z. Collins,32,40
126,2,7:55.0,,M. Leonard makes 2-pt dunk from 1 ft (assist by E. Turner),32,42
127,2,7:46.0,Toronto full timeout,,32,42
128,2,7:35.0,Shooting foul by M. Leonard (drawn by K. Leonard),,32,42
129,2,7:35.0,K. Leonard makes free throw 1 of 2,,33,42
130,2,7:35.0,K. Leonard makes free throw 2 of 2,,34,42
131,2,7:19.0,,S. Curry makes 3-pt jump shot from 25 ft (assist by E. Turner),34,45
132,2,6:52.0,C. Miles misses 2-pt jump shot from 22 ft,,34,45
133,2,6:49.0,,Defensive rebound by Z. Collins,34,45
134,2,6:41.0,,Z. Collins misses 3-pt jump shot from 25 ft,34,45
135,2,6:37.0,Defensive rebound by K. Leonard,,34,45
136,2,6:18.0,D. Wright misses 2-pt jump shot from 21 ft,,34,45
137,2,6:13.0,,Defensive rebound by N. Stauskas,34,45
138,2,6:05.0,,E. Turner makes 2-pt layup from 1 ft,34,47
139,2,5:52.0,C. Miles makes 2-pt layup from 2 ft,,36,47
140,2,5:33.0,,N. Stauskas misses 3-pt jump shot from 29 ft,36,47
141,2,5:32.0,Defensive rebound by C. Miles,,36,47
142,2,5:25.0,D. Wright misses 2-pt layup from 2 ft,,36,47
143,2,5:23.0,,Defensive rebound by E. Turner,36,47
144,2,5:20.0,,S. Curry misses 3-pt jump shot from 25 ft,36,47
145,2,5:17.0,Defensive rebound by D. Green,,36,47
146,2,5:16.0,Personal foul by S. Curry (drawn by S. Ibaka),,36,47
147,2,5:16.0,P. Siakam enters the game for C. Miles,,36,47
148,2,5:16.0,F. VanVleet enters the game for D. Wright,,36,47
149,2,5:16.0,,A. Aminu enters the game for Z. Collins,36,47
150,2,5:16.0,,M. Harkless enters the game for S. Curry,36,47
151,2,5:16.0,,D. Lillard enters the game for M. Leonard,36,47
152,2,5:16.0,,C. McCollum enters the game for N. Stauskas,36,47
153,2,5:16.0,,J. Nurkić enters the game for E. Turner,36,47
154,2,5:09.0,K. Leonard misses 2-pt jump shot from 21 ft,,36,47
155,2,5:07.0,,Defensive rebound by A. Aminu,36,47
156,2,4:55.0,,J. Nurkić misses 2-pt hook shot from 10 ft,36,47
157,2,4:51.0,Defensive rebound by P. Siakam,,36,47
158,2,4:48.0,Shooting foul by A. Aminu (drawn by K. Leonard),,36,47
