,QUARTER,TIME_REMAINING,ATLANTA_ACTION,DENVER_ACTION,ATLANTA_SCORE,DENVER_SCORE
0,1,11:37.0,K. Bazemore misses 3-pt jump shot from 26 ft,,0,0
1,1,11:33.0,,Defensive rebound by J. Hernangómez,0,0
2,1,11:23.0,,N. Jokić makes 2-pt jump shot from 16 ft (assist by P. Millsap),0,2
3,1,11:06.0,D. Bembry misses 2-pt layup from 5 ft,,0,2
4,1,11:06.0,Offensive rebound by Team,,0,2
5,1,10:59.0,Turnover by T. Young (bad pass; steal by P. Millsap),,0,2
6,1,10:48.0,,N. Jokić makes 2-pt jump shot from 15 ft,0,4
7,1,10:33.0,O. Spellman misses 3-pt jump shot from 25 ft,,0,4
8,1,10:33.0,,Defensive rebound by P. Millsap,0,4
9,1,10:25.0,,G. Harris makes 3-pt jump shot from 23 ft (assist by P. Millsap),0,7
10,1,10:23.0,Atlanta full timeout,,0,7
11,1,10:12.0,A. Len misses 3-pt jump shot from 25 ft,,0,7
12,1,10:08.0,,Defensive rebound by G. Harris,0,7
13,1,9:54.0,,J. Hernangómez makes 2-pt layup from 3 ft (assist by N. Jokić),0,9
14,1,9:40.0,O. Spellman misses 3-pt jump shot from 25 ft,,0,9
15,1,9:38.0,,Defensive rebound by N. Jokić,0,9
16,1,9:27.0,,P. Millsap misses 2-pt layup from 3 ft (block by O. Spellman),0,9
17,1,9:22.0,,Offensive rebound by P. Millsap,0,9
18,1,9:17.0,,N. Jokić misses 2-pt layup from 3 ft,0,9
19,1,9:14.0,Defensive rebound by O. Spellman,,0,9
20,1,9:12.0,Turnover by O. Spellman (bad pass; steal by P. Millsap),,0,9
21,1,9:08.0,,P. Millsap misses 3-pt jump shot from 23 ft,0,9
22,1,9:05.0,Defensive rebound by D. Bembry,,0,9
23,1,9:02.0,Personal foul by M. Morris (drawn by T. Young),,0,9
24,1,8:52.0,A. Len misses 2-pt layup from 7 ft (block by N. Jokić),,0,9
25,1,8:49.0,Offensive rebound by O. Spellman,,0,9
26,1,8:44.0,O. Spellman misses 3-pt jump shot from 24 ft,,0,9
27,1,8:39.0,,Defensive rebound by J. Hernangómez,0,9
28,1,8:33.0,,P. Millsap misses 2-pt layup from 3 ft,0,9
29,1,8:31.0,,Offensive rebound by N. Jokić,0,9
30,1,8:31.0,,N. Jokić misses 2-pt layup from 3 ft (block by D. Bembry),0,9
31,1,8:31.0,,Offensive rebound by Team,0,9
32,1,8:31.0,V. Carter enters the game for D. Bembry,,0,9
33,1,8:31.0,J. Lin enters the game for A. Len,,0,9
34,1,8:31.0,M. Plumlee enters the game for O. Spellman,,0,9
35,1,8:26.0,Violation by Team (kicked ball),,0,9
