,QUARTER,TIME_REMAINING,ORLANDO_ACTION,PHOENIX_ACTION,ORLANDO_SCORE,PHOENIX_SCORE
0,1,11:32.0,,D. Ayton misses 2-pt jump shot from 10 ft,0,0
1,1,11:29.0,Defensive rebound by J. Simmons,,0,0
2,1,11:19.0,A. Gordon makes 2-pt layup from 1 ft (assist by N. Vučević),,2,0
3,1,11:19.0,Shooting foul by T. Ariza (drawn by A. Gordon),,2,0
4,1,11:19.0,A. Gordon makes free throw 1 of 1,,3,0
5,1,11:01.0,,J. Jackson misses 2-pt jump shot from 10 ft (block by N. Vučević),3,0
6,1,10:58.0,Defensive rebound by A. Gordon,,3,0
7,1,10:58.0,Turnover by E. Fournier (traveling),,3,0
8,1,10:42.0,,M. Bridges misses 3-pt jump shot from 25 ft,3,0
9,1,10:39.0,Defensive rebound by D. Augustin,,3,0
10,1,10:30.0,A. Gordon makes 2-pt dunk from 1 ft,,5,0
11,1,10:19.0,,T. Ariza makes 2-pt layup from 1 ft (assist by E. Okobo),5,2
12,1,10:19.0,,Shooting foul by N. Vučević (drawn by T. Ariza),5,2
13,1,10:19.0,,T. Ariza makes free throw 1 of 1,5,3
14,1,9:58.0,N. Vučević misses 2-pt hook shot from 7 ft,,5,3
15,1,9:56.0,,Defensive rebound by M. Bridges,5,3
16,1,9:52.0,,Turnover by J. Jackson (bad pass; steal by N. Vučević),5,3
17,1,9:52.0,Personal foul by J. Jackson (drawn by J. Simmons),,5,3
18,1,9:39.0,E. Fournier misses 3-pt jump shot from 25 ft,,5,3
19,1,9:35.0,,Defensive rebound by J. Jackson,5,3
20,1,9:25.0,,D. Ayton makes 2-pt layup from 3 ft (assist by M. Bridges),5,5
21,1,9:02.0,E. Fournier misses 3-pt jump shot from 23 ft,,5,5
22,1,9:00.0,,Defensive rebound by J. Jackson,5,5
23,1,8:55.0,,T. Ariza makes 3-pt jump shot from 25 ft (assist by J. Jackson),5,8
24,1,8:28.0,N. Vučević makes 2-pt layup from 1 ft (assist by E. Fournier),,7,8
25,1,8:11.0,,E. Okobo misses 2-pt jump shot from 11 ft,7,8
26,1,8:08.0,Defensive rebound by N. Vučević,,7,8
27,1,7:57.0,Turnover by D. Augustin (bad pass; steal by E. Okobo),,7,8
28,1,7:49.0,,J. Jackson misses 2-pt jump shot from 10 ft,7,8
29,1,7:49.0,Defensive rebound by Team,,7,8
30,1,7:31.0,A. Gordon makes 3-pt jump shot from 25 ft,,10,8
31,1,7:13.0,,T. Ariza makes 2-pt layup at rim,10,10
32,1,6:50.0,J. Simmons misses 2-pt layup from 2 ft,,10,10
33,1,6:45.0,Offensive rebound by J. Simmons,,10,10
34,1,6:45.0,J. Simmons makes 2-pt layup at rim,,12,10
35,1,6:29.0,,D. Ayton makes 2-pt hook shot from 7 ft (assist by T. Ariza),12,12
36,1,6:14.0,Turnover by D. Augustin (bad pass),,12,12
37,1,6:14.0,,Phoenix full timeout,12,12
38,1,6:14.0,J. Isaac enters the game for J. Simmons,,12,12
39,1,6:00.0,,D. Ayton makes 2-pt layup from 1 ft (assist by J. Jackson),12,14
40,1,5:49.0,Personal foul by T. Ariza (drawn by A. Gordon),,12,14
41,1,5:49.0,,R. Anderson enters the game for T. Ariza,12,14
42,1,5:35.0,A. Gordon makes 2-pt layup from 1 ft,,14,14
43,1,5:25.0,,D. Ayton misses 2-pt jump shot from 19 ft,14,14
44,1,5:22.0,Defensive rebound by A. Gordon,,14,14
45,1,5:15.0,N. Vučević misses 2-pt jump shot from 21 ft,,14,14
46,1,5:13.0,Offensive rebound by Team,,14,14
47,1,5:01.0,D. Augustin misses 3-pt jump shot from 25 ft,,14,14
48,1,4:57.0,,Defensive rebound by E. Okobo,14,14
49,1,4:54.0,,Shooting foul by E. Fournier (drawn by D. Ayton),14,14
50,1,4:54.0,,D. Ayton misses free throw 1 of 2,14,14
51,1,4:54.0,,Offensive rebound by Team,14,14
52,1,4:54.0,J. Grant enters the game for D. Augustin,,14,14
