,QUARTER,TIME_REMAINING,UTAH_ACTION,DALLAS_ACTION,UTAH_SCORE,DALLAS_SCORE
0,1,11:42.0,,H. Barnes misses 2-pt jump shot from 18 ft,0,0
1,1,11:39.0,Defensive rebound by R. Gobert,,0,0
2,1,11:26.0,R. Gobert makes 2-pt layup from 1 ft (assist by R. Rubio),,2,0
3,1,11:16.0,,D. Smith makes 2-pt jump shot from 5 ft,2,2
4,1,11:05.0,Personal foul by H. Barnes (drawn by R. Gobert),,2,2
5,1,10:59.0,J. Ingles makes 2-pt layup from 2 ft (assist by R. Gobert),,4,2
6,1,10:59.0,,Dallas full timeout,4,2
7,1,10:42.0,,Turnover by D. Jordan (off goaltending),4,2
8,1,10:20.0,J. Ingles misses 3-pt jump shot from 22 ft,,4,2
9,1,10:18.0,,Defensive rebound by D. Jordan,4,2
10,1,10:00.0,,L. Dončić misses 2-pt hook shot from 8 ft,4,2
11,1,9:57.0,Defensive rebound by R. Gobert,,4,2
12,1,9:48.0,Shooting foul by W. Matthews (drawn by D. Mitchell),,4,2
13,1,9:48.0,D. Mitchell makes free throw 1 of 2,,5,2
14,1,9:48.0,D. Mitchell makes free throw 2 of 2,,6,2
15,1,9:31.0,,Shooting foul by D. Favors (drawn by H. Barnes),6,2
16,1,9:31.0,,H. Barnes makes free throw 1 of 2,6,3
17,1,9:31.0,,H. Barnes makes free throw 2 of 2,6,4
18,1,9:14.0,Turnover by D. Mitchell (lost ball; steal by W. Matthews),,6,4
19,1,9:10.0,,L. Dončić makes 2-pt layup from 1 ft,6,6
20,1,8:55.0,D. Favors makes 2-pt jump shot from 4 ft,,8,6
21,1,8:49.0,,Turnover by L. Dončić (palming),8,6
22,1,8:41.0,D. Favors misses 2-pt dunk from 1 ft (block by L. Dončić),,8,6
23,1,8:39.0,Offensive rebound by D. Favors,,8,6
24,1,8:38.0,D. Favors misses 2-pt layup from 1 ft,,8,6
25,1,8:35.0,,Defensive rebound by D. Jordan,8,6
26,1,8:30.0,,D. Smith misses 3-pt jump shot from 26 ft,8,6
27,1,8:27.0,Defensive rebound by D. Favors,,8,6
28,1,8:17.0,R. Gobert misses 2-pt layup from 3 ft,,8,6
29,1,8:13.0,Offensive rebound by R. Gobert,,8,6
30,1,8:13.0,R. Gobert makes 2-pt layup from 1 ft,,10,6
31,1,7:59.0,,D. Smith makes 2-pt layup from 2 ft (assist by D. Jordan),10,8
32,1,7:43.0,R. Rubio misses 2-pt jump shot from 20 ft,,10,8
33,1,7:38.0,,Defensive rebound by W. Matthews,10,8
34,1,7:32.0,,W. Matthews makes 2-pt jump shot from 13 ft (assist by D. Jordan),10,10
35,1,7:18.0,D. Mitchell makes 2-pt layup from 2 ft,,12,10
36,1,7:09.0,,L. Dončić misses 2-pt jump shot from 3 ft (block by D. Favors),12,10
37,1,7:08.0,Defensive rebound by R. Gobert,,12,10
38,1,7:05.0,J. Ingles makes 3-pt jump shot from 26 ft (assist by R. Gobert),,15,10
39,1,6:46.0,,H. Barnes misses 2-pt jump shot from 4 ft,15,10
40,1,6:43.0,Defensive rebound by R. Gobert,,15,10
41,1,6:41.0,Turnover by J. Ingles (bad pass; steal by W. Matthews),,15,10
42,1,6:32.0,,D. Jordan misses 2-pt hook shot from 3 ft,15,10
43,1,6:29.0,Defensive rebound by R. Gobert,,15,10
44,1,6:21.0,R. Rubio misses 2-pt jump shot from 18 ft,,15,10
45,1,6:18.0,,Defensive rebound by D. Jordan,15,10
46,1,6:12.0,,D. Smith misses 2-pt jump shot from 12 ft,15,10
47,1,6:11.0,,Offensive rebound by Team,15,10
48,1,6:11.0,Loose ball foul by D. Mitchell (drawn by D. Jordan),,15,10
49,1,6:11.0,A. Burks enters the game for D. Favors,,15,10
50,1,6:11.0,J. Crowder enters the game for D. Mitchell,,15,10
51,1,6:11.0,,J. Barea enters the game for D. Smith,15,10
52,1,5:59.0,,L. Dončić makes 3-pt jump shot from 27 ft,15,13
53,1,5:45.0,Personal foul by J. Barea (drawn by R. Gobert),,15,13
54,1,5:34.0,J. Ingles makes 3-pt jump shot from 28 ft (assist by R. Rubio),,18,13
55,1,5:22.0,,H. Barnes makes 3-pt jump shot from 23 ft (assist by L. Dončić),18,16
56,1,5:00.0,A. Burks makes 2-pt layup from 1 ft,,20,16
57,1,4:47.0,,J. Barea makes 2-pt jump shot from 8 ft,20,18
58,1,4:24.0,R. Rubio misses 3-pt jump shot from 26 ft,,20,18
59,1,4:22.0,,Defensive rebound by H. Barnes,20,18
60,1,4:17.0,,Offensive foul by D. Jordan (drawn by R. Gobert),20,18
61,1,4:17.0,,Turnover by D. Jordan (offensive foul),20,18
62,1,4:17.0,D. Exum enters the game for R. Rubio,,20,18
