,QUARTER,TIME_REMAINING,MIAMI_ACTION,LA LAKERS_ACTION,MIAMI_SCORE,LA LAKERS_SCORE
0,1,11:40.0,Violation by Team (kicked ball),,0,0
1,1,11:32.0,,L. Ball misses 2-pt layup from 6 ft (block by J. Johnson),0,0
2,1,11:32.0,Defensive rebound by Team,,0,0
3,1,11:18.0,R. McGruder makes 3-pt jump shot from 25 ft (assist by J. Johnson),,3,0
4,1,11:07.0,,J. Hart makes 3-pt jump shot from 25 ft (assist by L. Ball),3,3
5,1,10:48.0,J. Richardson misses 2-pt jump shot from 8 ft (block by J. Hart),,3,3
6,1,10:45.0,Offensive rebound by J. Richardson,,3,3
7,1,10:44.0,Personal foul by J. Hart (drawn by B. Adebayo),,3,3
8,1,10:34.0,G. Dragić makes 2-pt jump shot from 7 ft (assist by B. Adebayo),,5,3
9,1,10:24.0,,Turnover by J. McGee (out of bounds lost ball),5,3
10,1,10:14.0,G. Dragić misses 3-pt jump shot from 27 ft,,5,3
11,1,10:10.0,,Defensive rebound by J. McGee,5,3
12,1,10:07.0,,L. Ball misses 2-pt layup from 2 ft,5,3
13,1,10:03.0,,Offensive rebound by L. Ball,5,3
14,1,10:03.0,,L. Ball misses 2-pt layup from 1 ft,5,3
15,1,10:02.0,Defensive rebound by G. Dragić,,5,3
16,1,9:59.0,J. Johnson misses 3-pt jump shot from 23 ft,,5,3
17,1,9:54.0,,Defensive rebound by L. James,5,3
18,1,9:53.0,,Shooting foul by J. Richardson (drawn by J. Hart),5,3
19,1,9:53.0,,J. Hart misses free throw 1 of 2,5,3
20,1,9:53.0,,Offensive rebound by Team,5,3
21,1,9:53.0,,J. Hart makes free throw 2 of 2,5,4
22,1,9:39.0,J. Richardson makes 2-pt layup from 2 ft (assist by B. Adebayo),,7,4
23,1,9:29.0,,K. Kuzma makes 2-pt hook shot from 3 ft,7,6
24,1,9:10.0,G. Dragić makes 2-pt layup from 2 ft (assist by J. Johnson),,9,6
25,1,8:53.0,,J. McGee makes 2-pt layup from 1 ft (assist by L. James),9,8
26,1,8:38.0,Turnover by J. Johnson (out of bounds lost ball),,9,8
27,1,8:28.0,,K. Kuzma misses 2-pt layup from 3 ft (block by B. Adebayo),9,8
28,1,8:24.0,,Offensive rebound by J. McGee,9,8
29,1,8:24.0,,J. McGee misses 2-pt layup from 1 ft,9,8
30,1,8:22.0,,Offensive rebound by J. McGee,9,8
31,1,8:21.0,,J. McGee misses 2-pt layup from 1 ft,9,8
32,1,8:20.0,Defensive rebound by Team,,9,8
33,1,8:09.0,Turnover by J. Johnson (bad pass),,9,8
34,1,8:01.0,,J. McGee misses 2-pt dunk from 2 ft,9,8
35,1,7:57.0,Defensive rebound by R. McGruder,,9,8
36,1,7:51.0,J. Richardson misses 2-pt jump shot from 14 ft,,9,8
37,1,7:49.0,,Defensive rebound by J. Hart,9,8
38,1,7:41.0,,L. James misses 2-pt jump shot from 3 ft,9,8
39,1,7:38.0,Defensive rebound by J. Johnson,,9,8
40,1,7:35.0,G. Dragić misses 2-pt layup from 4 ft,,9,8
41,1,7:30.0,Offensive rebound by J. Johnson,,9,8
42,1,7:30.0,J. Johnson misses 2-pt layup at rim (block by J. McGee),,9,8
43,1,7:29.0,,Defensive rebound by J. Hart,9,8
44,1,7:27.0,,Turnover by K. Kuzma (bad pass; steal by J. Richardson),9,8
45,1,7:21.0,J. Johnson misses 3-pt jump shot from 23 ft,,9,8
46,1,7:19.0,,Defensive rebound by L. Ball,9,8
47,1,7:19.0,,Personal foul by J. Richardson (drawn by L. James),9,8
48,1,7:19.0,D. Wade enters the game for J. Richardson,,9,8
49,1,7:06.0,,K. Kuzma makes 2-pt jump shot from 3 ft,9,10
50,1,6:54.0,D. Wade misses 2-pt jump shot from 12 ft,,9,10
51,1,6:52.0,,Defensive rebound by L. James,9,10
52,1,6:49.0,,L. Ball makes 2-pt layup from 2 ft (assist by L. James),9,12
53,1,6:49.0,Miami full timeout,,9,12
54,1,6:40.0,B. Adebayo makes 2-pt dunk at rim (assist by G. Dragić),,11,12
55,1,6:27.0,,Shooting foul by D. Wade (drawn by J. McGee),11,12
56,1,6:27.0,,J. McGee misses free throw 1 of 2,11,12
57,1,6:27.0,,Offensive rebound by Team,11,12
58,1,6:27.0,,J. McGee makes free throw 2 of 2,11,13
59,1,6:15.0,G. Dragić misses 2-pt layup from 3 ft (block by J. McGee),,11,13
60,1,6:12.0,,Defensive rebound by L. James,11,13
