,QUARTER,TIME_REMAINING,PHOENIX_ACTION,HOUSTON_ACTION,PHOENIX_SCORE,HOUSTON_SCORE
0,1,11:47.0,,E. Gordon misses 3-pt jump shot from 25 ft,0,0
1,1,11:44.0,,Offensive rebound by C. Capela,0,0
2,1,11:42.0,,C. Capela makes 2-pt dunk at rim,0,2
3,1,11:19.0,J. Jackson makes 2-pt jump shot from 15 ft,,2,2
4,1,11:06.0,,P. Tucker makes 3-pt jump shot from 23 ft (assist by C. Capela),2,5
5,1,10:52.0,Turnover by E. Okobo (bad pass; steal by J. Harden),,2,5
6,1,10:34.0,,C. Paul makes 3-pt jump shot from 26 ft,2,8
7,1,10:12.0,E. Okobo misses 3-pt jump shot from 23 ft,,2,8
8,1,10:10.0,,Defensive rebound by J. Harden,2,8
9,1,10:04.0,,Turnover by J. Harden (bad pass; steal by D. Bender),2,8
10,1,9:59.0,M. Bridges makes 3-pt jump shot from 23 ft (assist by E. Okobo),,5,8
11,1,9:37.0,,E. Gordon makes 3-pt jump shot from 28 ft (assist by C. Paul),5,11
12,1,9:23.0,M. Bridges misses 3-pt jump shot from 26 ft,,5,11
13,1,9:20.0,,Defensive rebound by C. Capela,5,11
14,1,9:12.0,,P. Tucker misses 3-pt jump shot from 22 ft,5,11
15,1,9:10.0,Defensive rebound by D. Bender,,5,11
16,1,8:59.0,R. Spalding misses 2-pt layup from 6 ft,,5,11
17,1,8:57.0,,Defensive rebound by C. Capela,5,11
18,1,8:53.0,,Personal foul by E. Okobo (drawn by J. Harden),5,11
19,1,8:47.0,,P. Tucker misses 3-pt jump shot from 25 ft,5,11
20,1,8:45.0,Defensive rebound by J. Jackson,,5,11
21,1,8:37.0,Turnover by R. Spalding (bad pass; steal by E. Gordon),,5,11
22,1,8:27.0,,J. Harden misses 2-pt layup from 4 ft,5,11
23,1,8:22.0,Defensive rebound by J. Jackson,,5,11
24,1,8:20.0,J. Jackson misses 2-pt jump shot from 7 ft,,5,11
25,1,8:13.0,J. Jackson makes 2-pt layup at rim,,7,11
26,1,8:13.0,Offensive rebound by J. Jackson,,7,11
27,1,8:12.0,,Shooting foul by R. Spalding (drawn by C. Capela),7,11
28,1,8:12.0,,C. Capela makes free throw 1 of 2,7,12
29,1,8:12.0,,C. Capela makes free throw 2 of 2,7,13
30,1,8:00.0,M. Bridges makes 2-pt layup from 2 ft (assist by J. Jackson),,9,13
31,1,7:39.0,,P. Tucker misses 2-pt layup from 2 ft,9,13
32,1,7:33.0,,Offensive rebound by C. Capela,9,13
33,1,7:33.0,,C. Capela makes 2-pt dunk from 1 ft,9,15
34,1,7:18.0,J. Jackson misses 3-pt jump shot from 25 ft,,9,15
35,1,7:16.0,,Defensive rebound by J. Harden,9,15
36,1,7:13.0,,Personal foul by M. Bridges (drawn by J. Harden),9,15
37,1,7:06.0,,P. Tucker misses 3-pt jump shot from 25 ft,9,15
38,1,7:02.0,,Offensive rebound by C. Capela,9,15
39,1,7:00.0,,C. Capela misses 2-pt hook shot from 5 ft,9,15
40,1,6:58.0,,Offensive rebound by P. Tucker,9,15
41,1,6:56.0,,C. Paul makes 3-pt jump shot from 26 ft (assist by P. Tucker),9,18
42,1,6:56.0,Phoenix full timeout,,9,18
43,1,6:56.0,T. Daniels enters the game for R. Spalding,,9,18
44,1,6:56.0,,D. House enters the game for C. Paul,9,18
45,1,6:51.0,J. Jackson misses 3-pt jump shot from 23 ft,,9,18
46,1,6:50.0,,Defensive rebound by D. House,9,18
47,1,6:44.0,,E. Gordon makes 3-pt jump shot from 25 ft (assist by J. Harden),9,21
48,1,6:22.0,D. Bender makes 2-pt hook shot from 4 ft (assist by J. Jackson),,11,21
49,1,6:11.0,,C. Capela makes 2-pt layup from 2 ft (assist by P. Tucker),11,23
50,1,5:52.0,D. Bender misses 2-pt hook shot from 11 ft,,11,23
51,1,5:48.0,,Defensive rebound by D. House,11,23
52,1,5:36.0,,E. Gordon misses 3-pt jump shot from 25 ft,11,23
53,1,5:34.0,Defensive rebound by D. Bender,,11,23
54,1,5:22.0,T. Daniels misses 2-pt jump shot from 22 ft,,11,23
55,1,5:21.0,,Defensive rebound by J. Harden,11,23
56,1,5:15.0,,C. Capela makes 2-pt layup from 1 ft (assist by J. Harden),11,25
57,1,4:59.0,T. Daniels misses 3-pt jump shot from 25 ft,,11,25
