,QUARTER,TIME_REMAINING,GOLDEN STATE_ACTION,LA CLIPPERS_ACTION,GOLDEN STATE_SCORE,LA CLIPPERS_SCORE
0,1,11:36.0,,T. Harris makes 2-pt jump shot from 7 ft,0,2
1,1,11:16.0,D. Cousins misses 2-pt layup from 2 ft,,0,2
2,1,11:13.0,,Defensive rebound by D. Gallinari,0,2
3,1,11:09.0,,D. Gallinari misses 3-pt jump shot from 25 ft,0,2
4,1,11:05.0,Defensive rebound by D. Green,,0,2
5,1,10:58.0,D. Green misses 3-pt jump shot from 25 ft,,0,2
6,1,10:55.0,,Defensive rebound by D. Gallinari,0,2
7,1,10:50.0,,Turnover by T. Harris (lost ball; steal by D. Green),0,2
8,1,10:48.0,Personal foul by M. Gortat (drawn by D. Cousins),,0,2
9,1,10:34.0,D. Cousins makes 2-pt dunk from 1 ft (assist by K. Durant),,2,2
10,1,10:25.0,,Shooting foul by D. Cousins (drawn by S. Gilgeous-Alexander),2,2
11,1,10:25.0,,S. Gilgeous-Alexander makes free throw 1 of 2,2,3
12,1,10:25.0,,S. Gilgeous-Alexander makes free throw 2 of 2,2,4
13,1,10:09.0,K. Thompson makes 2-pt jump shot from 17 ft (assist by S. Curry),,4,4
14,1,9:57.0,,S. Gilgeous-Alexander misses 2-pt jump shot from 8 ft,4,4
15,1,9:55.0,Defensive rebound by D. Cousins,,4,4
16,1,9:52.0,Turnover by K. Durant (back court),,4,4
17,1,9:41.0,,A. Bradley misses 2-pt jump shot from 15 ft,4,4
18,1,9:38.0,Defensive rebound by D. Green,,4,4
19,1,9:36.0,K. Durant misses 3-pt jump shot from 25 ft,,4,4
20,1,9:30.0,,Defensive rebound by D. Gallinari,4,4
21,1,9:23.0,,A. Bradley misses 3-pt jump shot from 23 ft,4,4
22,1,9:19.0,,Offensive rebound by A. Bradley,4,4
23,1,9:17.0,,Turnover by A. Bradley (bad pass; steal by S. Curry),4,4
24,1,9:09.0,S. Curry misses 3-pt jump shot from 25 ft,,4,4
25,1,9:07.0,,Defensive rebound by Team,4,4
26,1,9:07.0,Loose ball foul by D. Cousins (drawn by M. Gortat),,4,4
27,1,8:56.0,,Shooting foul by K. Durant (drawn by S. Gilgeous-Alexander),4,4
28,1,8:56.0,,S. Gilgeous-Alexander makes free throw 1 of 2,4,5
29,1,8:56.0,K. Looney enters the game for D. Cousins,,4,5
30,1,8:56.0,,S. Gilgeous-Alexander makes free throw 2 of 2,4,6
