,QUARTER,TIME_REMAINING,PORTLAND_ACTION,HOUSTON_ACTION,PORTLAND_SCORE,HOUSTON_SCORE
0,1,11:43.0,,C. Paul misses 2-pt jump shot from 11 ft,0,0
1,1,11:42.0,Defensive rebound by M. Harkless,,0,0
2,1,11:22.0,Turnover by D. Lillard (bad pass),,0,0
3,1,11:16.0,,C. Capela makes 2-pt dunk from 2 ft (assist by J. Harden),0,2
4,1,11:02.0,M. Harkless misses 2-pt layup from 6 ft (block by C. Paul),,0,2
5,1,10:59.0,,Defensive rebound by C. Paul,0,2
6,1,10:56.0,,J. Harden misses 2-pt jump shot from 5 ft,0,2
7,1,10:55.0,Defensive rebound by A. Aminu,,0,2
8,1,10:45.0,C. McCollum makes 2-pt jump shot from 6 ft,,2,2
9,1,10:39.0,,P. Tucker makes 2-pt layup from 2 ft (assist by C. Paul),2,4
10,1,10:16.0,Turnover by A. Aminu (step out of bounds),,2,4
11,1,10:00.0,,Offensive foul by C. Capela (drawn by A. Aminu),2,4
12,1,10:00.0,,Turnover by C. Capela (offensive foul),2,4
13,1,9:48.0,D. Lillard makes 2-pt jump shot from 19 ft,,4,4
14,1,9:33.0,,J. Harden makes 2-pt layup from 2 ft,4,6
15,1,9:19.0,C. McCollum makes 2-pt jump shot from 21 ft,,6,6
16,1,8:59.0,,J. Harden misses 2-pt jump shot from 1 ft,6,6
17,1,8:58.0,,Offensive rebound by C. Capela,6,6
18,1,8:58.0,,C. Capela misses 2-pt layup at rim,6,6
19,1,8:57.0,,Offensive rebound by P. Tucker,6,6
20,1,8:51.0,,Shooting foul by A. Aminu (drawn by C. Capela),6,6
21,1,8:51.0,,C. Capela makes free throw 1 of 2,6,7
22,1,8:51.0,,C. Capela misses free throw 2 of 2,6,7
23,1,8:51.0,Defensive rebound by A. Aminu,,6,7
24,1,8:40.0,D. Lillard makes 3-pt jump shot from 26 ft,,9,7
25,1,8:27.0,,P. Tucker misses 3-pt jump shot from 25 ft,9,7
26,1,8:26.0,Defensive rebound by J. Nurkić,,9,7
27,1,8:11.0,C. McCollum makes 2-pt layup from 1 ft (assist by J. Nurkić),,11,7
28,1,8:01.0,,C. Paul misses 2-pt jump shot from 12 ft,11,7
29,1,7:59.0,Defensive rebound by C. McCollum,,11,7
30,1,7:50.0,J. Nurkić misses 2-pt layup from 6 ft,,11,7
31,1,7:49.0,Offensive rebound by A. Aminu,,11,7
32,1,7:49.0,A. Aminu misses 2-pt layup from 1 ft,,11,7
33,1,7:48.0,Offensive rebound by A. Aminu,,11,7
34,1,7:46.0,A. Aminu makes 2-pt hook shot from 4 ft,,13,7
35,1,7:35.0,,P. Tucker makes 3-pt jump shot from 23 ft (assist by C. Capela),13,10
36,1,7:14.0,M. Harkless makes 3-pt jump shot from 25 ft (assist by J. Nurkić),,16,10
37,1,7:01.0,,E. Gordon misses 2-pt layup from 3 ft,16,10
38,1,7:00.0,Defensive rebound by A. Aminu,,16,10
39,1,6:53.0,C. McCollum misses 3-pt jump shot from 25 ft,,16,10
40,1,6:50.0,,Defensive rebound by P. Tucker,16,10
41,1,6:43.0,,J. Harden misses 3-pt jump shot from 25 ft,16,10
42,1,6:40.0,Defensive rebound by J. Nurkić,,16,10
43,1,6:28.0,D. Lillard makes 2-pt layup from 1 ft,,18,10
44,1,6:28.0,Shooting foul by J. Harden (drawn by D. Lillard),,18,10
45,1,6:28.0,,Houston full timeout,18,10
46,1,6:28.0,,J. Ennis enters the game for C. Capela,18,10
47,1,6:28.0,,N. Hilário enters the game for C. Paul,18,10
48,1,6:28.0,D. Lillard makes free throw 1 of 1,,19,10
49,1,6:15.0,,J. Harden misses 3-pt jump shot from 26 ft,19,10
50,1,6:14.0,,Offensive rebound by J. Ennis,19,10
51,1,6:14.0,,J. Ennis makes 2-pt dunk at rim,19,12
52,1,5:57.0,C. McCollum makes 2-pt layup from 2 ft (assist by J. Nurkić),,21,12
53,1,5:37.0,,N. Hilário misses 3-pt jump shot from 25 ft,21,12
54,1,5:37.0,Defensive rebound by M. Harkless,,21,12
55,1,5:23.0,J. Nurkić misses 2-pt layup from 2 ft (block by N. Hilário),,21,12
56,1,5:23.0,Offensive rebound by Team,,21,12
57,1,5:23.0,E. Turner enters the game for M. Harkless,,21,12
58,1,5:12.0,C. McCollum misses 2-pt jump shot from 19 ft,,21,12
59,1,5:10.0,Offensive rebound by J. Nurkić,,21,12
60,1,5:09.0,A. Aminu misses 2-pt jump shot from 9 ft,,21,12
61,1,5:06.0,Offensive rebound by J. Nurkić,,21,12
62,1,5:05.0,Shooting foul by N. Hilário (drawn by J. Nurkić),,21,12
63,1,5:05.0,J. Nurkić makes free throw 1 of 2,,22,12
64,1,5:05.0,J. Nurkić makes free throw 2 of 2,,23,12
65,1,4:50.0,,E. Gordon misses 3-pt jump shot from 26 ft,23,12
66,1,4:47.0,Defensive rebound by J. Nurkić,,23,12
67,1,4:37.0,D. Lillard misses 3-pt jump shot from 26 ft,,23,12
68,1,4:35.0,Offensive rebound by A. Aminu,,23,12
69,1,4:30.0,D. Lillard makes 2-pt layup at rim (assist by A. Aminu),,25,12
70,1,4:16.0,,J. Harden misses 2-pt jump shot from 8 ft,25,12
71,1,4:14.0,Defensive rebound by A. Aminu,,25,12
