,QUARTER,TIME_REMAINING,ATLANTA_ACTION,NEW ORLEANS_ACTION,ATLANTA_SCORE,NEW ORLEANS_SCORE
0,1,11:41.0,,F. Jackson makes 3-pt jump shot from 26 ft (assist by J. Randle),0,3
1,1,11:23.0,J. Collins makes 2-pt layup from 3 ft (assist by T. Young),,2,3
2,1,11:13.0,,E. Payton misses 3-pt jump shot from 25 ft,2,3
3,1,11:10.0,Defensive rebound by J. Collins,,2,3
4,1,11:04.0,T. Prince misses 2-pt layup from 7 ft,,2,3
5,1,11:04.0,,Defensive rebound by C. Diallo,2,3
6,1,10:58.0,,Shooting foul by K. Huerter (drawn by F. Jackson),2,3
7,1,10:58.0,,F. Jackson makes free throw 1 of 2,2,4
8,1,10:58.0,,F. Jackson makes free throw 2 of 2,2,5
9,1,10:37.0,J. Collins misses 3-pt jump shot from 24 ft,,2,5
10,1,10:32.0,,Defensive rebound by E. Payton,2,5
11,1,10:28.0,,C. Diallo makes 2-pt jump shot from 7 ft (assist by E. Payton),2,7
12,1,10:07.0,J. Collins misses 3-pt jump shot from 25 ft,,2,7
13,1,10:04.0,,Defensive rebound by E. Payton,2,7
14,1,10:02.0,,Shooting foul by J. Collins (drawn by C. Diallo),2,7
15,1,10:02.0,,C. Diallo makes free throw 1 of 2,2,8
16,1,10:02.0,,C. Diallo misses free throw 2 of 2,2,8
17,1,10:00.0,Defensive rebound by D. Dedmon,,2,8
18,1,9:52.0,D. Dedmon misses 3-pt jump shot from 26 ft,,2,8
19,1,9:48.0,Offensive rebound by J. Collins,,2,8
20,1,9:46.0,T. Young misses 3-pt jump shot from 25 ft,,2,8
21,1,9:43.0,,Defensive rebound by Team,2,8
22,1,9:29.0,,C. Diallo makes 2-pt jump shot from 6 ft (assist by E. Payton),2,10
23,1,9:10.0,K. Huerter makes 2-pt layup from 2 ft,,4,10
24,1,8:57.0,,E. Payton makes 2-pt layup from 3 ft,4,12
25,1,8:39.0,J. Collins makes 2-pt layup from 2 ft (assist by T. Young),,6,12
26,1,8:35.0,,F. Jackson makes 2-pt layup from 2 ft (assist by E. Payton),6,14
27,1,8:23.0,T. Young misses 2-pt layup from 2 ft,,6,14
28,1,8:23.0,,Defensive rebound by C. Diallo,6,14
29,1,8:16.0,,J. Randle misses 2-pt layup from 1 ft,6,14
30,1,8:14.0,Defensive rebound by D. Dedmon,,6,14
31,1,8:12.0,T. Young misses 3-pt jump shot from 25 ft,,6,14
32,1,8:12.0,,Defensive rebound by F. Jackson,6,14
33,1,8:02.0,,K. Williams misses 3-pt jump shot from 23 ft,6,14
34,1,7:58.0,Defensive rebound by D. Dedmon,,6,14
35,1,7:48.0,T. Young makes 2-pt jump shot from 8 ft,,8,14
36,1,7:36.0,,Personal foul by J. Collins (drawn by J. Randle),8,14
37,1,7:23.0,,J. Randle misses 3-pt jump shot from 26 ft,8,14
38,1,7:18.0,Defensive rebound by D. Dedmon,,8,14
39,1,7:14.0,T. Young misses 2-pt jump shot from 6 ft,,8,14
40,1,7:11.0,,Defensive rebound by E. Payton,8,14
41,1,7:08.0,,Shooting foul by D. Dedmon (drawn by J. Randle),8,14
42,1,7:08.0,,J. Randle misses free throw 1 of 2,8,14
43,1,7:08.0,,Offensive rebound by Team,8,14
44,1,7:08.0,D. Davis enters the game for J. Collins,,8,14
45,1,7:08.0,,J. Randle makes free throw 2 of 2,8,15
46,1,6:58.0,D. Dedmon misses 3-pt jump shot from 25 ft,,8,15
47,1,6:56.0,Offensive rebound by Team,,8,15
48,1,6:56.0,,New Orleans full timeout,8,15
49,1,6:56.0,D. Bembry enters the game for K. Huerter,,8,15
50,1,6:49.0,D. Dedmon makes 2-pt dunk from 1 ft (assist by T. Young),,10,15
51,1,6:31.0,,F. Jackson makes 3-pt jump shot from 25 ft (assist by J. Randle),10,18
52,1,6:18.0,Shooting foul by J. Randle (drawn by D. Dedmon),,10,18
53,1,6:18.0,D. Dedmon makes free throw 1 of 2,,11,18
54,1,6:18.0,D. Dedmon makes free throw 2 of 2,,12,18
55,1,6:09.0,,K. Williams misses 2-pt layup from 1 ft,12,18
56,1,6:09.0,,Offensive rebound by J. Randle,12,18
57,1,6:09.0,,J. Randle makes 2-pt layup from 3 ft,12,20
58,1,6:09.0,,Shooting foul by D. Dedmon (drawn by J. Randle),12,20
59,1,6:09.0,A. Len enters the game for D. Dedmon,,12,20
60,1,6:09.0,,J. Randle makes free throw 1 of 1,12,21
61,1,6:01.0,T. Young makes 3-pt jump shot from 26 ft (assist by A. Len),,15,21
62,1,5:49.0,,K. Williams misses 3-pt jump shot from 23 ft,15,21
63,1,5:49.0,Defensive rebound by T. Young,,15,21
64,1,5:34.0,A. Len makes 3-pt jump shot from 24 ft (assist by T. Prince),,18,21
65,1,5:22.0,,Shooting foul by D. Davis (drawn by F. Jackson),18,21
66,1,5:22.0,,F. Jackson makes free throw 1 of 2,18,22
67,1,5:22.0,,F. Jackson makes free throw 2 of 2,18,23
