,QUARTER,TIME_REMAINING,NEW YORK_ACTION,INDIANA_ACTION,NEW YORK_SCORE,INDIANA_SCORE
0,1,11:44.0,D. Dotson misses 2-pt jump shot from 6 ft,,0,0
1,1,11:41.0,,Defensive rebound by W. Matthews,0,0
2,1,11:29.0,,M. Turner misses 3-pt jump shot from 28 ft,0,0
3,1,11:25.0,Defensive rebound by N. Vonleh,,0,0
4,1,11:18.0,D. Jordan makes 2-pt dunk from 2 ft (assist by D. Smith),,2,0
5,1,11:01.0,,B. Bogdanović makes 2-pt layup from 2 ft (assist by M. Turner),2,2
6,1,10:47.0,K. Knox misses 3-pt jump shot from 28 ft,,2,2
7,1,10:44.0,Offensive rebound by Team,,2,2
8,1,10:42.0,Personal foul by D. Collison (drawn by D. Smith),,2,2
9,1,10:32.0,D. Smith makes 2-pt dunk from 2 ft (assist by D. Jordan),,4,2
10,1,10:22.0,,Shooting foul by K. Knox (drawn by M. Turner),4,2
11,1,10:22.0,,M. Turner makes free throw 1 of 2,4,3
12,1,10:22.0,,M. Turner makes free throw 2 of 2,4,4
13,1,10:08.0,Turnover by D. Jordan (traveling),,4,4
14,1,9:55.0,,B. Bogdanović makes 2-pt jump shot from 8 ft,4,6
15,1,9:37.0,N. Vonleh misses 2-pt hook shot from 5 ft,,4,6
16,1,9:34.0,Offensive rebound by D. Jordan,,4,6
17,1,9:34.0,D. Jordan makes 2-pt layup at rim,,6,6
18,1,9:17.0,,M. Turner misses 2-pt layup from 2 ft,6,6
19,1,9:16.0,,Offensive rebound by M. Turner,6,6
20,1,9:13.0,,B. Bogdanović misses 3-pt jump shot from 26 ft,6,6
21,1,9:09.0,Defensive rebound by D. Dotson,,6,6
22,1,8:55.0,D. Dotson makes 2-pt jump shot from 20 ft (assist by D. Jordan),,8,6
23,1,8:41.0,,Turnover by M. Turner (out of bounds lost ball),8,6
24,1,8:24.0,K. Knox makes 3-pt jump shot from 27 ft (assist by D. Dotson),,11,6
25,1,8:11.0,,Shooting foul by D. Dotson (drawn by B. Bogdanović),11,6
26,1,8:11.0,,B. Bogdanović makes free throw 1 of 2,11,7
27,1,8:11.0,,B. Bogdanović makes free throw 2 of 2,11,8
28,1,7:50.0,K. Knox misses 2-pt layup from 1 ft,,11,8
29,1,7:47.0,,Defensive rebound by T. Young,11,8
30,1,7:32.0,,T. Young makes 3-pt jump shot from 24 ft (assist by B. Bogdanović),11,11
31,1,7:17.0,D. Smith makes 2-pt layup from 2 ft,,13,11
32,1,7:08.0,,Personal foul by D. Smith (drawn by T. Young),13,11
33,1,7:01.0,,M. Turner makes 2-pt jump shot from 14 ft (assist by D. Collison),13,13
34,1,6:47.0,D. Dotson makes 3-pt jump shot from 23 ft (assist by D. Smith),,16,13
35,1,6:38.0,,Indiana full timeout,16,13
36,1,6:32.0,,W. Matthews makes 2-pt jump shot from 14 ft (assist by D. Collison),16,15
37,1,6:16.0,Shooting foul by D. Collison (drawn by D. Smith),,16,15
38,1,6:16.0,D. Smith misses free throw 1 of 2,,16,15
39,1,6:16.0,Offensive rebound by Team,,16,15
40,1,6:16.0,,A. Holiday enters the game for D. Collison,16,15
41,1,6:16.0,D. Smith misses free throw 2 of 2,,16,15
42,1,6:14.0,,Defensive rebound by B. Bogdanović,16,15
43,1,6:03.0,,W. Matthews misses 3-pt jump shot from 25 ft,16,15
44,1,5:59.0,Defensive rebound by N. Vonleh,,16,15
45,1,5:47.0,K. Knox makes 2-pt jump shot from 13 ft,,18,15
46,1,5:34.0,,Shooting foul by D. Smith (drawn by W. Matthews),18,15
47,1,5:34.0,,W. Matthews makes free throw 1 of 2,18,16
48,1,5:34.0,E. Mudiay enters the game for D. Smith,,18,16
49,1,5:34.0,,C. Joseph enters the game for A. Holiday,18,16
50,1,5:34.0,,W. Matthews makes free throw 2 of 2,18,17
51,1,5:16.0,Personal foul by M. Turner (drawn by D. Jordan),,18,17
52,1,5:06.0,D. Jordan makes 2-pt hook shot from 8 ft,,20,17
53,1,4:42.0,,W. Matthews makes 2-pt layup from 1 ft (assist by M. Turner),20,19
54,1,4:32.0,Turnover by D. Jordan (bad pass; steal by T. Young),,20,19
55,1,4:26.0,,C. Joseph misses 3-pt jump shot from 23 ft,20,19
56,1,4:22.0,,Offensive rebound by T. Young,20,19
57,1,4:09.0,,M. Turner misses 3-pt jump shot from 27 ft,20,19
