,QUARTER,TIME_REMAINING,LA LAKERS_ACTION,TORONTO_ACTION,LA LAKERS_SCORE,TORONTO_SCORE
0,1,11:44.0,,K. Leonard misses 2-pt layup from 2 ft (block by J. McGee),0,0
1,1,11:42.0,Defensive rebound by K. Kuzma,,0,0
2,1,11:27.0,Turnover by R. Rondo (bad pass),,0,0
3,1,11:14.0,,P. Siakam misses 3-pt jump shot from 23 ft,0,0
4,1,11:11.0,Defensive rebound by R. Rondo,,0,0
5,1,11:02.0,Turnover by R. Rondo (bad pass; steal by M. Gasol),,0,0
6,1,10:57.0,,Turnover by J. Lin (lost ball; steal by L. James),0,0
7,1,10:53.0,L. James makes 2-pt layup from 1 ft,,2,0
8,1,10:43.0,,J. Lin makes 2-pt jump shot from 3 ft (assist by K. Leonard),2,2
9,1,10:29.0,K. Kuzma misses 3-pt jump shot from 25 ft,,2,2
10,1,10:27.0,,Defensive rebound by J. Lin,2,2
11,1,10:23.0,,Shooting foul by K. Kuzma (drawn by P. Siakam),2,2
12,1,10:23.0,,P. Siakam makes free throw 1 of 2,2,3
13,1,10:23.0,,P. Siakam misses free throw 2 of 2,2,3
14,1,10:21.0,Defensive rebound by J. McGee,,2,3
15,1,10:05.0,L. James misses 2-pt jump shot from 20 ft,,2,3
16,1,10:03.0,,Defensive rebound by J. Lin,2,3
17,1,9:59.0,,J. Lin misses 3-pt jump shot from 26 ft,2,3
18,1,9:59.0,Defensive rebound by K. Kuzma,,2,3
19,1,9:50.0,Shooting foul by D. Green (drawn by L. James),,2,3
20,1,9:50.0,L. James makes free throw 1 of 2,,3,3
21,1,9:50.0,L. James makes free throw 2 of 2,,4,3
22,1,9:32.0,,M. Gasol misses 2-pt jump shot from 8 ft,4,3
23,1,9:29.0,Defensive rebound by K. Kuzma,,4,3
24,1,9:19.0,L. James misses 2-pt layup from 2 ft,,4,3
25,1,9:18.0,,Defensive rebound by Team,4,3
26,1,9:09.0,,Shooting foul by K. Kuzma (drawn by P. Siakam),4,3
27,1,9:09.0,,P. Siakam makes free throw 1 of 2,4,4
28,1,9:09.0,J. Hart enters the game for K. Kuzma,,4,4
29,1,9:09.0,,P. Siakam makes free throw 2 of 2,4,5
30,1,8:58.0,R. Rondo makes 2-pt jump shot from 2 ft,,6,5
31,1,8:53.0,,Turnover by M. Gasol (bad pass; steal by J. McGee),6,5
32,1,8:49.0,J. McGee misses 2-pt layup from 1 ft,,6,5
33,1,8:47.0,,Defensive rebound by J. Lin,6,5
34,1,8:41.0,,K. Leonard misses 2-pt layup from 3 ft,6,5
35,1,8:38.0,,Offensive rebound by M. Gasol,6,5
36,1,8:35.0,,K. Leonard makes 3-pt jump shot from 23 ft (assist by P. Siakam),6,8
37,1,8:23.0,L. James misses 3-pt jump shot from 25 ft,,6,8
38,1,8:23.0,,Defensive rebound by J. Lin,6,8
39,1,8:15.0,,K. Leonard makes 3-pt jump shot from 25 ft (assist by P. Siakam),6,11
40,1,8:14.0,LA Lakers full timeout,,6,11
41,1,8:02.0,Offensive foul by J. McGee (drawn by J. Lin),,6,11
42,1,8:02.0,Turnover by J. McGee (offensive foul),,6,11
43,1,7:48.0,,M. Gasol makes 2-pt jump shot from 20 ft (assist by D. Green),6,13
44,1,7:33.0,J. Hart misses 2-pt jump shot from 16 ft,,6,13
45,1,7:29.0,,Defensive rebound by J. Lin,6,13
46,1,7:25.0,,M. Gasol makes 3-pt jump shot from 25 ft (assist by P. Siakam),6,16
47,1,7:08.0,R. Rondo misses 2-pt layup from 2 ft,,6,16
48,1,7:07.0,,Defensive rebound by J. Lin,6,16
49,1,7:02.0,,K. Leonard misses 3-pt jump shot from 26 ft,6,16
50,1,6:59.0,Defensive rebound by L. James,,6,16
51,1,6:56.0,J. McGee makes 2-pt dunk from 1 ft (assist by R. Rondo),,8,16
52,1,6:43.0,,Turnover by K. Leonard (lost ball; steal by J. Hart),8,16
53,1,6:40.0,J. Hart makes 2-pt layup from 2 ft,,10,16
54,1,6:40.0,Shooting foul by D. Green (drawn by J. Hart),,10,16
55,1,6:40.0,K. Caldwell-Pope enters the game for R. Rondo,,10,16
56,1,6:40.0,,N. Powell enters the game for D. Green,10,16
57,1,6:40.0,J. Hart misses free throw 1 of 1,,10,16
58,1,6:38.0,,Defensive rebound by K. Leonard,10,16
59,1,6:23.0,,M. Gasol misses 2-pt jump shot from 16 ft,10,16
60,1,6:20.0,Defensive rebound by L. James,,10,16
61,1,6:13.0,L. James makes 2-pt layup from 2 ft,,12,16
62,1,5:58.0,,J. Lin misses 3-pt jump shot from 26 ft,12,16
63,1,5:56.0,Defensive rebound by R. Bullock,,12,16
64,1,5:46.0,R. Bullock misses 3-pt jump shot from 23 ft,,12,16
65,1,5:43.0,,Defensive rebound by K. Leonard,12,16
66,1,5:35.0,,K. Leonard misses 2-pt jump shot from 21 ft,12,16
67,1,5:33.0,Defensive rebound by L. James,,12,16
68,1,5:26.0,K. Caldwell-Pope misses 2-pt jump shot from 13 ft,,12,16
69,1,5:23.0,,Defensive rebound by N. Powell,12,16
70,1,5:19.0,,N. Powell makes 2-pt layup from 2 ft,12,18
71,1,5:12.0,Turnover by L. James (bad pass; steal by P. Siakam),,12,18
72,1,5:10.0,,Personal foul by J. McGee (drawn by P. Siakam),12,18
73,1,5:10.0,,P. McCaw enters the game for P. Siakam,12,18
74,1,5:00.0,,Turnover by M. Gasol (bad pass),12,18
75,1,5:00.0,R. Rondo enters the game for L. James,,12,18
76,1,4:51.0,Shooting foul by J. Lin (drawn by R. Rondo),,12,18
77,1,4:51.0,R. Rondo misses free throw 1 of 2,,12,18
78,1,4:51.0,Offensive rebound by Team,,12,18
79,1,4:51.0,R. Rondo makes free throw 2 of 2,,13,18
80,1,4:26.0,,N. Powell makes 3-pt jump shot from 26 ft (assist by M. Gasol),13,21
81,1,4:12.0,R. Rondo misses 2-pt jump shot from 4 ft (block by J. Lin),,13,21
82,1,4:10.0,,Defensive rebound by P. McCaw,13,21
83,1,4:09.0,,Shooting foul by J. McGee (drawn by N. Powell),13,21
84,1,4:09.0,,N. Powell makes free throw 1 of 2,13,22
85,1,4:09.0,J. Williams enters the game for J. McGee,,13,22
86,1,4:09.0,,N. Powell misses free throw 2 of 2,13,22
87,1,4:08.0,Defensive rebound by Team,,13,22
88,1,3:44.0,K. Caldwell-Pope misses 3-pt jump shot from 22 ft,,13,22
89,1,3:41.0,Offensive rebound by R. Rondo,,13,22
90,1,3:38.0,R. Bullock makes 3-pt jump shot from 24 ft (assist by R. Rondo),,16,22
91,1,3:21.0,,M. Gasol makes 2-pt jump shot from 20 ft,16,24
92,1,3:10.0,Turnover by K. Caldwell-Pope (bad pass; steal by N. Powell),,16,24
93,1,3:05.0,,J. Lin misses 2-pt layup from 2 ft (block by K. Caldwell-Pope),16,24
94,1,3:05.0,,Offensive rebound by Team,16,24
95,1,3:05.0,,Toronto full timeout,16,24
96,1,3:05.0,A. Caruso enters the game for R. Bullock,,16,24
97,1,3:05.0,,O. Anunoby enters the game for M. Gasol,16,24
98,1,3:05.0,,C. Boucher enters the game for K. Leonard,16,24
99,1,3:05.0,,P. Siakam enters the game for J. Lin,16,24
100,1,2:51.0,,P. McCaw misses 2-pt layup from 2 ft,16,24
101,1,2:49.0,Defensive rebound by K. Caldwell-Pope,,16,24
102,1,2:29.0,R. Rondo makes 2-pt layup from 3 ft,,18,24
103,1,2:06.0,,N. Powell misses 2-pt jump shot from 20 ft,18,24
104,1,2:03.0,Defensive rebound by R. Rondo,,18,24
105,1,1:56.0,Personal foul by C. Boucher (drawn by J. Williams),,18,24
106,1,1:56.0,M. Muscala enters the game for J. Williams,,18,24
107,1,1:50.0,J. Hart makes 3-pt jump shot from 24 ft (assist by R. Rondo),,21,24
108,1,1:34.0,,Turnover by P. Siakam (lost ball; steal by J. Hart),21,24
109,1,1:30.0,K. Caldwell-Pope makes 2-pt layup from 1 ft (assist by R. Rondo),,23,24
110,1,1:13.0,,N. Powell makes 3-pt jump shot from 25 ft (assist by P. McCaw),23,27
111,1,1:04.0,Turnover by K. Caldwell-Pope (bad pass; steal by P. McCaw),,23,27
112,1,1:03.0,,Shooting foul by K. Caldwell-Pope (drawn by P. McCaw),23,27
113,1,1:03.0,,P. McCaw misses free throw 1 of 2,23,27
114,1,1:03.0,,Offensive rebound by Team,23,27
115,1,1:03.0,,P. McCaw makes free throw 2 of 2,23,28
116,1,0:41.0,Shooting foul by N. Powell (drawn by A. Caruso),,23,28
117,1,0:41.0,A. Caruso makes free throw 1 of 2,,24,28
118,1,0:41.0,A. Caruso makes free throw 2 of 2,,25,28
119,1,0:34.0,,P. Siakam misses 2-pt layup from 4 ft,25,28
120,1,0:30.0,,Offensive rebound by C. Boucher,25,28
121,1,0:30.0,,C. Boucher makes 2-pt dunk from 1 ft,25,30
122,1,0:21.0,K. Caldwell-Pope misses 3-pt jump shot from 24 ft,,25,30
123,1,0:19.0,,Defensive rebound by N. Powell,25,30
124,1,0:02.0,,N. Powell makes 3-pt jump shot from 27 ft (assist by P. McCaw),25,33
125,1,0:00.0,K. Caldwell-Pope misses 3-pt jump shot from 46 ft,,25,33
126,1,0:00.0,Offensive rebound by Team,,25,33
127,2,11:47.0,Turnover by L. James (bad pass; steal by C. Boucher),,25,33
128,2,11:35.0,,Shooting foul by A. Caruso (drawn by P. Siakam),25,33
129,2,11:35.0,,P. Siakam makes free throw 1 of 2,25,34
130,2,11:35.0,,P. Siakam makes free throw 2 of 2,25,35
131,2,11:22.0,L. James misses 2-pt layup from 2 ft,,25,35
132,2,11:19.0,,Defensive rebound by N. Powell,25,35
133,2,11:17.0,,P. Siakam misses 3-pt jump shot from 23 ft,25,35
134,2,11:13.0,Defensive rebound by K. Kuzma,,25,35
135,2,11:02.0,A. Caruso makes 2-pt layup from 1 ft (assist by K. Kuzma),,27,35
136,2,10:39.0,,P. Siakam makes 2-pt layup from 3 ft,27,37
