,QUARTER,TIME_REMAINING,BOSTON_ACTION,BROOKLYN_ACTION,BOSTON_SCORE,BROOKLYN_SCORE
0,1,11:35.0,,Turnover by D. Carroll (bad pass),0,0
1,1,11:16.0,A. Baynes misses 2-pt hook shot from 8 ft,,0,0
2,1,11:13.0,,Defensive rebound by R. Kurucs,0,0
3,1,11:08.0,,D. Carroll misses 3-pt jump shot from 23 ft,0,0
4,1,11:04.0,Defensive rebound by T. Rozier,,0,0
5,1,10:53.0,M. Smart makes 3-pt jump shot from 25 ft (assist by J. Tatum),,3,0
6,1,10:46.0,,Personal foul by T. Rozier (drawn by J. Harris),3,0
7,1,10:46.0,R. Williams enters the game for A. Baynes,,3,0
8,1,10:39.0,,D. Russell misses 3-pt jump shot from 25 ft,3,0
9,1,10:36.0,,Offensive rebound by D. Carroll,3,0
10,1,10:34.0,,D. Carroll misses 2-pt layup from 2 ft,3,0
11,1,10:32.0,Defensive rebound by R. Williams,,3,0
12,1,10:18.0,J. Tatum makes 2-pt jump shot from 14 ft,,5,0
13,1,10:09.0,,R. Kurucs makes 2-pt layup at rim (assist by D. Russell),5,2
14,1,9:53.0,M. Morris misses 2-pt jump shot from 19 ft,,5,2
15,1,9:50.0,,Defensive rebound by J. Harris,5,2
16,1,9:43.0,,J. Harris misses 2-pt layup from 2 ft,5,2
17,1,9:41.0,Defensive rebound by R. Williams,,5,2
18,1,9:36.0,Personal foul by J. Harris (drawn by T. Rozier),,5,2
19,1,9:24.0,T. Rozier misses 2-pt jump shot from 11 ft,,5,2
20,1,9:20.0,,Defensive rebound by D. Carroll,5,2
21,1,9:09.0,,J. Harris makes 3-pt jump shot from 24 ft (assist by D. Russell),5,5
22,1,8:46.0,M. Smart misses 3-pt jump shot from 25 ft,,5,5
23,1,8:43.0,,Defensive rebound by J. Allen,5,5
24,1,8:32.0,,Turnover by D. Russell (bad pass; steal by T. Rozier),5,5
25,1,8:21.0,M. Smart makes 2-pt layup from 2 ft,,7,5
