,QUARTER,TIME_REMAINING,UTAH_ACTION,PHOENIX_ACTION,UTAH_SCORE,PHOENIX_SCORE
0,1,11:38.0,Shooting foul by R. Holmes (drawn by R. Gobert),,0,0
1,1,11:38.0,R. Gobert misses free throw 1 of 2,,0,0
2,1,11:38.0,Offensive rebound by Team,,0,0
3,1,11:38.0,R. Gobert misses free throw 2 of 2,,0,0
4,1,11:35.0,,Defensive rebound by R. Holmes,0,0
5,1,11:21.0,,M. Bridges makes 3-pt jump shot from 25 ft (assist by D. Bender),0,3
6,1,11:08.0,D. Mitchell misses 2-pt jump shot from 9 ft,,0,3
7,1,11:06.0,,Defensive rebound by R. Holmes,0,3
8,1,10:55.0,,E. Okobo makes 3-pt jump shot from 26 ft (assist by R. Holmes),0,6
9,1,10:41.0,R. O'Neale misses 2-pt jump shot from 4 ft,,0,6
10,1,10:40.0,Offensive rebound by R. Gobert,,0,6
11,1,10:39.0,R. Gobert misses 2-pt layup from 3 ft,,0,6
12,1,10:38.0,,Defensive rebound by R. Holmes,0,6
13,1,10:32.0,,Personal foul by D. Mitchell (drawn by E. Okobo),0,6
14,1,10:21.0,,D. Booker makes 2-pt jump shot from 12 ft,0,8
15,1,10:04.0,R. Gobert misses 2-pt layup from 2 ft,,0,8
16,1,10:03.0,,Defensive rebound by M. Bridges,0,8
17,1,9:59.0,,R. Holmes makes 2-pt layup from 1 ft (assist by D. Booker),0,10
18,1,9:59.0,Utah full timeout,,0,10
19,1,9:43.0,D. Mitchell makes 2-pt layup from 1 ft (assist by R. Gobert),,2,10
20,1,9:23.0,,D. Booker misses 3-pt jump shot from 26 ft,2,10
21,1,9:21.0,Defensive rebound by T. Sefolosha,,2,10
22,1,9:05.0,Turnover by D. Mitchell (bad pass; steal by M. Bridges),,2,10
23,1,9:00.0,,E. Okobo misses 2-pt layup at rim,2,10
24,1,8:59.0,Defensive rebound by T. Sefolosha,,2,10
25,1,8:43.0,Turnover by R. O'Neale (out of bounds lost ball),,2,10
26,1,8:26.0,,E. Okobo makes 2-pt layup from 1 ft (assist by R. Holmes),2,12
27,1,8:26.0,,Shooting foul by T. Sefolosha (drawn by E. Okobo),2,12
28,1,8:26.0,,E. Okobo makes free throw 1 of 1,2,13
29,1,8:02.0,D. Mitchell misses 3-pt jump shot from 25 ft,,2,13
30,1,8:00.0,,Defensive rebound by Team,2,13
31,1,8:00.0,Loose ball foul by T. Sefolosha (drawn by D. Bender),,2,13
32,1,8:00.0,G. Niang enters the game for T. Sefolosha,,2,13
33,1,7:52.0,,D. Booker makes 2-pt dunk at rim (assist by M. Bridges),2,15
34,1,7:45.0,Turnover by R. Gobert (traveling),,2,15
35,1,7:30.0,,M. Bridges misses 2-pt layup from 1 ft (block by R. Gobert),2,15
36,1,7:28.0,Defensive rebound by R. Gobert,,2,15
37,1,7:15.0,R. Gobert makes 2-pt dunk at rim (assist by J. Ingles),,4,15
38,1,6:56.0,,D. Bender makes 2-pt hook shot from 2 ft,4,17
39,1,6:48.0,Personal foul by D. Booker (drawn by D. Mitchell),,4,17
40,1,6:48.0,R. Neto enters the game for J. Ingles,,4,17
41,1,6:48.0,,J. Jackson enters the game for D. Bender,4,17
42,1,6:42.0,D. Mitchell misses 2-pt jump shot from 13 ft,,4,17
43,1,6:39.0,Offensive rebound by D. Mitchell,,4,17
44,1,6:38.0,D. Mitchell makes 2-pt layup from 1 ft,,6,17
