,QUARTER,TIME_REMAINING,TORONTO_ACTION,MEMPHIS_ACTION,TORONTO_SCORE,MEMPHIS_SCORE
0,1,11:44.0,S. Ibaka makes 2-pt jump shot from 18 ft (assist by K. Lowry),,2,0
1,1,11:22.0,,Offensive foul by J. Jackson (drawn by D. Green),2,0
2,1,11:22.0,,Turnover by J. Jackson (offensive foul),2,0
3,1,11:11.0,Shooting foul by J. Jackson (drawn by P. Siakam),,2,0
4,1,11:11.0,P. Siakam makes free throw 1 of 2,,3,0
5,1,11:11.0,,J. Green enters the game for J. Jackson,3,0
6,1,11:11.0,P. Siakam misses free throw 2 of 2,,3,0
7,1,11:09.0,Offensive rebound by P. Siakam,,3,0
8,1,11:05.0,P. Siakam makes 2-pt layup from 3 ft,,5,0
9,1,10:49.0,,G. Temple misses 3-pt jump shot from 24 ft,5,0
10,1,10:46.0,Defensive rebound by P. Siakam,,5,0
11,1,10:41.0,D. Green makes 3-pt jump shot from 26 ft (assist by P. Siakam),,8,0
12,1,10:39.0,,Memphis full timeout,8,0
13,1,10:16.0,,G. Temple makes 2-pt jump shot from 15 ft,8,2
14,1,9:52.0,Turnover by D. Green (bad pass; steal by M. Gasol),,8,2
15,1,9:41.0,,M. Gasol makes 2-pt jump shot from 10 ft (assist by G. Temple),8,4
16,1,9:29.0,K. Leonard makes 2-pt jump shot from 10 ft,,10,4
17,1,9:04.0,,Def 3 sec tech foul by Team,10,4
18,1,9:04.0,,M. Conley makes technical free throw,10,5
19,1,8:59.0,,G. Temple misses 3-pt jump shot from 23 ft,10,5
20,1,8:56.0,,Offensive rebound by M. Gasol,10,5
21,1,8:51.0,,K. Anderson makes 2-pt layup from 7 ft (assist by M. Gasol),10,7
22,1,8:42.0,K. Lowry misses 3-pt jump shot from 24 ft,,10,7
23,1,8:39.0,,Defensive rebound by G. Temple,10,7
24,1,8:28.0,,J. Green makes 2-pt jump shot from 14 ft,10,9
25,1,8:19.0,Turnover by S. Ibaka (bad pass; steal by M. Gasol),,10,9
26,1,8:07.0,,Turnover by J. Green (step out of bounds),10,9
27,1,7:44.0,D. Green makes 3-pt jump shot from 26 ft (assist by S. Ibaka),,13,9
28,1,7:29.0,,M. Conley makes 2-pt layup from 4 ft,13,11
