,QUARTER,TIME_REMAINING,PHILADELPHIA_ACTION,NEW YORK_ACTION,PHILADELPHIA_SCORE,NEW YORK_SCORE
0,1,11:45.0,J. Butler misses 2-pt jump shot from 13 ft,,0,0
1,1,11:40.0,Offensive rebound by B. Simmons,,0,0
2,1,11:35.0,J. Embiid makes 2-pt hook shot from 4 ft (assist by W. Chandler),,2,0
3,1,11:22.0,,K. Knox makes 2-pt jump shot from 7 ft,2,2
4,1,11:15.0,J. Redick makes 3-pt jump shot from 24 ft (assist by B. Simmons),,5,2
5,1,11:03.0,,N. Vonleh misses 3-pt jump shot from 26 ft,5,2
6,1,11:02.0,Defensive rebound by B. Simmons,,5,2
7,1,10:52.0,W. Chandler makes 2-pt layup from 1 ft,,7,2
8,1,10:43.0,,E. Mudiay makes 2-pt layup from 1 ft,7,4
9,1,10:33.0,B. Simmons makes 2-pt layup from 3 ft (assist by J. Redick),,9,4
10,1,10:19.0,,L. Thomas makes 2-pt jump shot from 22 ft (assist by N. Vonleh),9,6
11,1,10:01.0,J. Embiid misses 2-pt jump shot from 15 ft,,9,6
12,1,9:59.0,,Defensive rebound by Team,9,6
13,1,9:47.0,,E. Mudiay misses 3-pt jump shot from 23 ft,9,6
14,1,9:45.0,Defensive rebound by J. Butler,,9,6
15,1,9:31.0,B. Simmons makes 2-pt layup from 1 ft,,11,6
16,1,9:20.0,,D. Dotson misses 3-pt jump shot from 26 ft,11,6
17,1,9:18.0,Defensive rebound by B. Simmons,,11,6
18,1,9:01.0,J. Embiid makes 2-pt hook shot from 3 ft,,13,6
19,1,8:48.0,,K. Knox misses 2-pt jump shot from 10 ft (block by J. Embiid),13,6
20,1,8:46.0,Defensive rebound by B. Simmons,,13,6
21,1,8:42.0,B. Simmons misses 2-pt jump shot from 7 ft,,13,6
22,1,8:40.0,Offensive rebound by J. Butler,,13,6
23,1,8:40.0,J. Butler misses 2-pt layup at rim,,13,6
24,1,8:38.0,,Defensive rebound by K. Knox,13,6
25,1,8:34.0,,Turnover by E. Mudiay (lost ball; steal by W. Chandler),13,6
26,1,8:29.0,J. Redick misses 3-pt jump shot from 26 ft,,13,6
27,1,8:27.0,,Defensive rebound by K. Knox,13,6
28,1,8:10.0,,K. Knox misses 2-pt jump shot from 21 ft,13,6
29,1,8:08.0,Defensive rebound by J. Embiid,,13,6
30,1,7:57.0,J. Butler makes 2-pt layup from 1 ft,,15,6
31,1,7:53.0,,New York full timeout,15,6
32,1,7:43.0,,E. Mudiay misses 2-pt jump shot from 12 ft,15,6
33,1,7:41.0,,Offensive rebound by N. Vonleh,15,6
34,1,7:40.0,,Shooting foul by J. Embiid (drawn by N. Vonleh),15,6
35,1,7:40.0,,N. Vonleh misses free throw 1 of 2,15,6
36,1,7:40.0,,Offensive rebound by Team,15,6
37,1,7:40.0,,N. Vonleh misses free throw 2 of 2,15,6
38,1,7:38.0,Defensive rebound by J. Embiid,,15,6
39,1,7:28.0,Personal foul by N. Vonleh (drawn by J. Embiid),,15,6
40,1,7:14.0,J. Embiid misses 2-pt jump shot from 10 ft,,15,6
41,1,7:12.0,Offensive rebound by B. Simmons,,15,6
42,1,7:12.0,B. Simmons makes 2-pt layup at rim,,17,6
43,1,7:04.0,,Personal foul by J. Butler (drawn by E. Mudiay),17,6
44,1,7:04.0,T. McConnell enters the game for W. Chandler,,17,6
45,1,7:04.0,M. Muscala enters the game for J. Embiid,,17,6
46,1,7:04.0,L. Shamet enters the game for J. Redick,,17,6
47,1,6:57.0,,D. Dotson misses 2-pt jump shot from 20 ft,17,6
48,1,6:55.0,Defensive rebound by J. Butler,,17,6
49,1,6:40.0,J. Butler misses 2-pt layup from 1 ft (block by N. Vonleh),,17,6
50,1,6:38.0,Offensive rebound by J. Butler,,17,6
51,1,6:37.0,J. Butler makes 2-pt layup at rim,,19,6
52,1,6:37.0,,L. Kornet enters the game for L. Thomas,19,6
53,1,6:16.0,,K. Knox makes 2-pt layup from 2 ft (assist by D. Dotson),19,8
54,1,5:51.0,T. McConnell makes 2-pt jump shot from 8 ft (assist by J. Butler),,21,8
55,1,5:41.0,,K. Knox misses 3-pt jump shot from 26 ft,21,8
56,1,5:39.0,,Offensive rebound by L. Kornet,21,8
57,1,5:39.0,,L. Kornet misses 2-pt dunk from 1 ft,21,8
58,1,5:37.0,Defensive rebound by B. Simmons,,21,8
59,1,5:27.0,Turnover by T. McConnell (bad pass; steal by E. Mudiay),,21,8
60,1,5:19.0,,K. Knox misses 3-pt jump shot from 25 ft,21,8
61,1,5:17.0,Defensive rebound by B. Simmons,,21,8
62,1,5:10.0,L. Shamet makes 3-pt jump shot from 22 ft (assist by M. Muscala),,24,8
63,1,5:02.0,,New York full timeout,24,8
64,1,5:02.0,,F. Ntilikina enters the game for E. Mudiay,24,8
65,1,4:49.0,,Turnover by K. Knox (bad pass; steal by M. Muscala),24,8
66,1,4:45.0,Shooting foul by D. Dotson (drawn by L. Shamet),,24,8
67,1,4:45.0,L. Shamet makes free throw 1 of 2,,25,8
68,1,4:45.0,L. Shamet makes free throw 2 of 2,,26,8
69,1,4:32.0,,L. Kornet makes 2-pt dunk from 1 ft (assist by F. Ntilikina),26,10
70,1,4:10.0,M. Muscala misses 3-pt jump shot from 23 ft,,26,10
71,1,4:08.0,,Defensive rebound by L. Kornet,26,10
72,1,4:04.0,,F. Ntilikina makes 2-pt layup from 3 ft,26,12
73,1,4:01.0,Philadelphia full timeout,,26,12
74,1,4:01.0,W. Chandler enters the game for J. Butler,,26,12
75,1,4:01.0,,M. Hezonja enters the game for N. Vonleh,26,12
76,1,3:53.0,B. Simmons makes 2-pt dunk from 1 ft (assist by T. McConnell),,28,12
77,1,3:34.0,,M. Hezonja makes 2-pt layup from 1 ft,28,14
78,1,3:26.0,Turnover by B. Simmons (bad pass; steal by K. Knox),,28,14
79,1,3:20.0,,K. Knox makes 3-pt jump shot from 26 ft (assist by L. Kornet),28,17
80,1,3:02.0,W. Chandler makes 3-pt jump shot from 25 ft (assist by B. Simmons),,31,17
81,1,2:43.0,,Turnover by L. Kornet (bad pass; steal by T. McConnell),31,17
82,1,2:38.0,M. Muscala misses 3-pt jump shot from 24 ft,,31,17
83,1,2:36.0,,Defensive rebound by M. Hezonja,31,17
84,1,2:30.0,,K. Knox misses 3-pt jump shot from 26 ft,31,17
85,1,2:28.0,Defensive rebound by B. Simmons,,31,17
86,1,2:19.0,M. Muscala makes 3-pt jump shot from 22 ft (assist by T. McConnell),,34,17
87,1,2:08.0,,Shooting foul by W. Chandler (drawn by L. Kornet),34,17
88,1,2:08.0,J. Bolden enters the game for M. Muscala,,34,17
89,1,2:08.0,J. Embiid enters the game for L. Shamet,,34,17
90,1,2:08.0,J. Redick enters the game for B. Simmons,,34,17
91,1,2:08.0,,A. Trier enters the game for D. Dotson,34,17
92,1,2:08.0,,L. Kornet makes free throw 1 of 2,34,18
93,1,2:08.0,,L. Kornet makes free throw 2 of 2,34,19
94,1,1:47.0,Turnover by T. McConnell (traveling),,34,19
95,1,1:35.0,,L. Kornet misses 3-pt jump shot from 24 ft,34,19
96,1,1:33.0,Defensive rebound by J. Bolden,,34,19
97,1,1:23.0,J. Embiid misses 2-pt layup from 1 ft,,34,19
98,1,1:21.0,,Defensive rebound by L. Kornet,34,19
99,1,1:17.0,,M. Hezonja makes 2-pt layup from 3 ft,34,21
100,1,1:17.0,,Shooting foul by W. Chandler (drawn by M. Hezonja),34,21
101,1,1:17.0,,M. Hezonja makes free throw 1 of 1,34,22
102,1,1:05.0,J. Redick misses 3-pt jump shot from 26 ft,,34,22
103,1,1:03.0,,Defensive rebound by M. Hezonja,34,22
104,1,0:55.0,,F. Ntilikina misses 2-pt layup from 1 ft,34,22
