,QUARTER,TIME_REMAINING,TORONTO_ACTION,UTAH_ACTION,TORONTO_SCORE,UTAH_SCORE
0,1,11:40.0,Turnover by K. Lowry (bad pass; steal by D. Favors),,0,0
1,1,11:36.0,,R. O'Neale misses 2-pt layup from 1 ft,0,0
2,1,11:31.0,,Offensive rebound by D. Favors,0,0
3,1,11:31.0,,D. Favors makes 2-pt layup from 1 ft,0,2
4,1,11:25.0,Turnover by J. Valančiūnas (bad pass; steal by D. Favors),,0,2
5,1,11:20.0,,R. O'Neale misses 2-pt layup from 2 ft (block by J. Valančiūnas),0,2
6,1,11:17.0,Defensive rebound by D. Green,,0,2
7,1,11:17.0,Turnover by P. Siakam (traveling),,0,2
8,1,11:03.0,,J. Ingles makes 2-pt layup from 3 ft,0,4
9,1,10:38.0,J. Valančiūnas makes 2-pt hook shot from 4 ft,,2,4
10,1,10:20.0,,R. O'Neale makes 2-pt layup from 2 ft (assist by R. Rubio),2,6
11,1,10:11.0,K. Lowry makes 3-pt jump shot from 24 ft,,5,6
12,1,9:57.0,,J. Ingles misses 2-pt layup from 2 ft (block by J. Valančiūnas),5,6
13,1,9:57.0,,Offensive rebound by Team,5,6
14,1,9:54.0,,Personal foul by D. Green (drawn by R. Gobert),5,6
15,1,9:49.0,,Shooting foul by P. Siakam (drawn by D. Favors),5,6
16,1,9:49.0,,D. Favors makes free throw 1 of 2,5,7
17,1,9:49.0,,D. Favors misses free throw 2 of 2,5,7
18,1,9:47.0,,Offensive rebound by D. Favors,5,7
19,1,9:40.0,,J. Ingles makes 3-pt jump shot from 25 ft (assist by R. O'Neale),5,10
20,1,9:27.0,J. Valančiūnas misses 3-pt jump shot from 25 ft,,5,10
21,1,9:24.0,,Defensive rebound by R. O'Neale,5,10
22,1,9:15.0,,Turnover by J. Ingles (bad pass; steal by D. Green),5,10
23,1,9:12.0,Turnover by K. Lowry (lost ball; steal by D. Favors),,5,10
24,1,9:08.0,,R. Rubio misses 3-pt jump shot from 26 ft,5,10
25,1,9:04.0,Defensive rebound by K. Lowry,,5,10
