,QUARTER,TIME_REMAINING,SAN ANTONIO_ACTION,DENVER_ACTION,SAN ANTONIO_SCORE,DENVER_SCORE
0,1,11:44.0,Turnover by D. White (bad pass; steal by J. Murray),,0,0
1,1,11:40.0,,J. Murray misses 3-pt jump shot from 25 ft,0,0
2,1,11:36.0,Defensive rebound by J. Poeltl,,0,0
3,1,11:25.0,D. White misses 2-pt layup from 3 ft,,0,0
4,1,11:24.0,Offensive rebound by J. Poeltl,,0,0
5,1,11:24.0,J. Poeltl misses 2-pt layup from 3 ft,,0,0
6,1,11:24.0,,Defensive rebound by W. Barton,0,0
7,1,11:18.0,,W. Barton misses 2-pt jump shot from 7 ft,0,0
8,1,11:16.0,Defensive rebound by D. DeRozan,,0,0
9,1,11:06.0,L. Aldridge misses 2-pt jump shot from 19 ft,,0,0
10,1,11:03.0,,Defensive rebound by N. Jokić,0,0
11,1,10:47.0,,N. Jokić makes 2-pt layup from 1 ft (assist by P. Millsap),0,2
12,1,10:34.0,D. DeRozan misses 2-pt jump shot from 17 ft (block by G. Harris),,0,2
13,1,10:32.0,Offensive rebound by D. DeRozan,,0,2
14,1,10:28.0,B. Forbes makes 3-pt jump shot from 24 ft (assist by D. White),,3,2
15,1,10:12.0,,G. Harris makes 2-pt layup from 2 ft (assist by N. Jokić),3,4
16,1,10:12.0,,Shooting foul by D. White (drawn by G. Harris),3,4
17,1,10:12.0,,G. Harris makes free throw 1 of 1,3,5
18,1,9:51.0,D. White makes 2-pt layup from 7 ft,,5,5
19,1,9:38.0,,Shooting foul by D. White (drawn by W. Barton),5,5
20,1,9:38.0,,W. Barton makes free throw 1 of 2,5,6
21,1,9:38.0,P. Mills enters the game for D. White,,5,6
22,1,9:38.0,,W. Barton misses free throw 2 of 2,5,6
23,1,9:36.0,Defensive rebound by D. DeRozan,,5,6
24,1,9:29.0,Shooting foul by W. Barton (drawn by D. DeRozan),,5,6
25,1,9:29.0,D. DeRozan makes free throw 1 of 2,,6,6
26,1,9:29.0,D. DeRozan misses free throw 2 of 2,,6,6
27,1,9:27.0,,Defensive rebound by W. Barton,6,6
28,1,9:13.0,,J. Murray makes 2-pt jump shot from 15 ft (assist by N. Jokić),6,8
29,1,8:56.0,D. DeRozan misses 2-pt jump shot from 13 ft,,6,8
30,1,8:54.0,,Defensive rebound by N. Jokić,6,8
31,1,8:43.0,,G. Harris misses 3-pt jump shot from 25 ft,6,8
32,1,8:39.0,Defensive rebound by B. Forbes,,6,8
33,1,8:33.0,B. Forbes misses 2-pt jump shot from 14 ft (block by W. Barton),,6,8
34,1,8:30.0,,Defensive rebound by N. Jokić,6,8
35,1,8:26.0,,W. Barton misses 3-pt jump shot from 25 ft,6,8
36,1,8:23.0,Defensive rebound by J. Poeltl,,6,8
37,1,8:17.0,San Antonio full timeout,,6,8
