,QUARTER,TIME_REMAINING,MEMPHIS_ACTION,DALLAS_ACTION,MEMPHIS_SCORE,DALLAS_SCORE
0,1,11:42.0,,D. Nowitzki makes 2-pt dunk from 1 ft (assist by C. Lee),0,2
1,1,11:29.0,Personal foul by C. Lee (drawn by T. Dorsey),,0,2
2,1,11:18.0,B. Caboclo misses 2-pt jump shot from 6 ft,,0,2
3,1,11:18.0,,Defensive rebound by Team,0,2
4,1,11:02.0,,M. Kleber misses 2-pt jump shot from 11 ft,0,2
5,1,11:00.0,Defensive rebound by T. Dorsey,,0,2
6,1,10:51.0,B. Caboclo misses 3-pt jump shot from 23 ft,,0,2
7,1,10:49.0,,Defensive rebound by J. Jackson,0,2
8,1,10:44.0,,Shooting foul by T. Dorsey (drawn by T. Burke),0,2
9,1,10:44.0,,T. Burke misses free throw 1 of 2,0,2
10,1,10:44.0,,Offensive rebound by Team,0,2
11,1,10:44.0,,T. Burke makes free throw 2 of 2,0,3
12,1,10:29.0,D. Wright makes 2-pt layup at rim,,2,3
13,1,10:18.0,,J. Jackson makes 2-pt jump shot from 2 ft,2,5
14,1,10:06.0,T. Dorsey misses 3-pt jump shot from 25 ft,,2,5
15,1,10:03.0,,Defensive rebound by J. Jackson,2,5
16,1,9:58.0,,J. Jackson makes 2-pt jump shot from 9 ft,2,7
17,1,9:44.0,D. Wright makes 2-pt hook shot from 1 ft,,4,7
18,1,9:26.0,,M. Kleber misses 2-pt jump shot from 8 ft,4,7
19,1,9:26.0,,Offensive rebound by M. Kleber,4,7
20,1,9:24.0,,M. Kleber misses 2-pt layup from 1 ft,4,7
21,1,9:22.0,Defensive rebound by B. Caboclo,,4,7
22,1,9:19.0,J. Holiday makes 3-pt jump shot from 25 ft (assist by B. Caboclo),,7,7
23,1,8:57.0,,C. Lee makes 3-pt jump shot from 25 ft (assist by T. Burke),7,10
24,1,8:53.0,Turnover by J. Holiday (bad pass; steal by J. Jackson),,7,10
25,1,8:51.0,,J. Jackson misses 2-pt layup from 1 ft,7,10
26,1,8:49.0,Defensive rebound by D. Wright,,7,10
27,1,8:44.0,Turnover by B. Caboclo (bad pass; steal by C. Lee),,7,10
28,1,8:26.0,,T. Burke makes 2-pt jump shot from 9 ft,7,12
29,1,8:19.0,Shooting foul by D. Nowitzki (drawn by D. Wright),,7,12
30,1,8:19.0,D. Wright misses free throw 1 of 2,,7,12
31,1,8:19.0,Offensive rebound by Team,,7,12
32,1,8:19.0,D. Wright makes free throw 2 of 2,,8,12
33,1,8:08.0,,C. Lee misses 3-pt jump shot from 25 ft,8,12
34,1,8:08.0,Defensive rebound by T. Dorsey,,8,12
35,1,8:02.0,J. Holiday makes 2-pt layup from 1 ft (assist by T. Dorsey),,10,12
36,1,7:45.0,,D. Nowitzki makes 2-pt jump shot from 11 ft (assist by C. Lee),10,14
37,1,7:31.0,T. Dorsey misses 3-pt jump shot from 26 ft,,10,14
38,1,7:29.0,Offensive rebound by I. Rabb,,10,14
39,1,7:15.0,D. Wright makes 2-pt jump shot from 12 ft,,12,14
40,1,7:01.0,,T. Burke makes 2-pt jump shot from 19 ft (assist by J. Jackson),12,16
41,1,6:42.0,T. Dorsey makes 2-pt jump shot from 2 ft,,14,16
42,1,6:42.0,,Dallas full timeout,14,16
43,1,6:42.0,,D. Finney-Smith enters the game for M. Kleber,14,16
44,1,6:42.0,,S. Mejri enters the game for D. Nowitzki,14,16
45,1,6:31.0,,J. Jackson misses 2-pt jump shot from 6 ft,14,16
46,1,6:29.0,Defensive rebound by I. Rabb,,14,16
47,1,6:18.0,T. Dorsey misses 3-pt jump shot from 26 ft,,14,16
48,1,6:15.0,Offensive rebound by B. Caboclo,,14,16
49,1,6:09.0,Turnover by T. Dorsey (lost ball; steal by C. Lee),,14,16
50,1,6:05.0,,C. Lee makes 2-pt layup from 1 ft,14,18
51,1,5:47.0,D. Wright misses 2-pt jump shot from 18 ft,,14,18
52,1,5:44.0,,Defensive rebound by D. Finney-Smith,14,18
53,1,5:36.0,,J. Jackson makes 3-pt jump shot from 25 ft (assist by D. Finney-Smith),14,21
54,1,5:20.0,I. Rabb misses 2-pt layup from 2 ft,,14,21
55,1,5:17.0,Offensive rebound by I. Rabb,,14,21
56,1,5:17.0,I. Rabb makes 2-pt layup at rim,,16,21
57,1,5:02.0,,S. Mejri makes 3-pt jump shot from 25 ft (assist by C. Lee),16,24
58,1,5:02.0,C. Parsons enters the game for T. Dorsey,,16,24
59,1,5:02.0,T. Zeller enters the game for I. Rabb,,16,24
60,1,4:42.0,J. Holiday misses 2-pt jump shot from 23 ft,,16,24
61,1,4:39.0,,Defensive rebound by S. Mejri,16,24
62,1,4:30.0,,C. Lee misses 2-pt jump shot from 19 ft,16,24
63,1,4:28.0,,Offensive rebound by C. Lee,16,24
64,1,4:20.0,,Turnover by D. Finney-Smith (bad pass; steal by J. Holiday),16,24
65,1,4:16.0,D. Wright makes 2-pt dunk at rim (assist by J. Holiday),,18,24
66,1,4:01.0,,C. Lee misses 3-pt jump shot from 25 ft,18,24
67,1,3:59.0,Defensive rebound by Team,,18,24
68,1,3:59.0,J. Carter enters the game for D. Wright,,18,24
69,1,3:49.0,B. Caboclo makes 3-pt jump shot from 26 ft (assist by J. Carter),,21,24
70,1,3:39.0,,Shooting foul by T. Zeller (drawn by S. Mejri),21,24
71,1,3:39.0,,S. Mejri makes free throw 1 of 2,21,25
72,1,3:39.0,,S. Mejri misses free throw 2 of 2,21,25
73,1,3:37.0,Defensive rebound by C. Parsons,,21,25
74,1,3:21.0,T. Zeller misses 2-pt hook shot from 3 ft,,21,25
75,1,3:16.0,,Defensive rebound by S. Mejri,21,25
76,1,3:09.0,,J. Jackson makes 3-pt jump shot from 25 ft,21,28
77,1,3:02.0,Turnover by J. Carter (bad pass; steal by C. Lee),,21,28
78,1,3:00.0,,C. Lee makes 2-pt dunk from 1 ft,21,30
79,1,2:59.0,Memphis full timeout,,21,30
80,1,2:59.0,J. Washburn enters the game for B. Caboclo,,21,30
81,1,2:59.0,,R. Broekhoff enters the game for T. Burke,21,30
82,1,2:59.0,,D. Harris enters the game for J. Jackson,21,30
83,1,2:59.0,,D. Macon enters the game for C. Lee,21,30
84,1,2:43.0,J. Washburn misses 3-pt jump shot from 23 ft,,21,30
85,1,2:39.0,,Defensive rebound by R. Broekhoff,21,30
86,1,2:26.0,,Shooting foul by T. Zeller (drawn by S. Mejri),21,30
87,1,2:26.0,,S. Mejri misses free throw 1 of 2,21,30
88,1,2:26.0,,Offensive rebound by Team,21,30
89,1,2:26.0,D. Wright enters the game for J. Holiday,,21,30
90,1,2:26.0,,S. Mejri misses free throw 2 of 2,21,30
91,1,2:22.0,,Offensive rebound by D. Finney-Smith,21,30
92,1,2:11.0,,S. Mejri misses 2-pt layup from 3 ft,21,30
93,1,2:10.0,,Offensive rebound by Team,21,30
94,1,2:03.0,,S. Mejri misses 2-pt jump shot from 9 ft,21,30
95,1,2:01.0,Defensive rebound by Team,,21,30
