,QUARTER,TIME_REMAINING,BROOKLYN_ACTION,OKLAHOMA CITY_ACTION,BROOKLYN_SCORE,OKLAHOMA CITY_SCORE
0,1,11:46.0,Turnover by A. Crabbe (bad pass; steal by R. Westbrook),,0,0
1,1,11:30.0,,S. Adams misses 2-pt layup from 2 ft,0,0
2,1,11:27.0,,Offensive rebound by S. Adams,0,0
3,1,11:27.0,,S. Adams misses 2-pt layup from 1 ft,0,0
4,1,11:26.0,,Offensive rebound by S. Adams,0,0
5,1,11:26.0,,S. Adams misses 2-pt layup from 1 ft,0,0
6,1,11:26.0,,Offensive rebound by S. Adams,0,0
7,1,11:24.0,,S. Adams misses 2-pt layup from 1 ft,0,0
8,1,11:23.0,Defensive rebound by R. Kurucs,,0,0
9,1,11:07.0,A. Crabbe makes 2-pt jump shot from 12 ft (assist by J. Allen),,2,0
10,1,10:46.0,,P. George misses 2-pt jump shot from 18 ft,2,0
11,1,10:41.0,Defensive rebound by J. Harris,,2,0
12,1,10:26.0,J. Harris misses 2-pt layup from 1 ft,,2,0
13,1,10:21.0,Offensive rebound by J. Harris,,2,0
14,1,10:20.0,A. Crabbe makes 3-pt jump shot from 26 ft (assist by J. Harris),,5,0
15,1,10:04.0,,J. Grant misses 2-pt layup from 5 ft (block by R. Kurucs),5,0
16,1,10:02.0,,Offensive rebound by Team,5,0
17,1,9:54.0,,R. Westbrook misses 2-pt jump shot from 14 ft,5,0
18,1,9:52.0,Defensive rebound by J. Allen,,5,0
19,1,9:45.0,D. Russell makes 2-pt jump shot from 12 ft,,7,0
20,1,9:34.0,,Turnover by R. Westbrook (lost ball; steal by D. Russell),7,0
21,1,9:31.0,D. Russell misses 3-pt jump shot from 26 ft,,7,0
22,1,9:27.0,,Defensive rebound by P. George,7,0
23,1,9:18.0,,Turnover by P. George (lost ball; steal by R. Kurucs),7,0
24,1,9:16.0,R. Kurucs makes 2-pt dunk from 1 ft (assist by D. Russell),,9,0
25,1,9:00.0,,Turnover by R. Westbrook (bad pass; steal by R. Kurucs),9,0
26,1,8:52.0,D. Russell misses 2-pt jump shot from 20 ft,,9,0
27,1,8:49.0,,Defensive rebound by R. Westbrook,9,0
28,1,8:41.0,,Shooting foul by R. Kurucs (drawn by S. Adams),9,0
29,1,8:41.0,,S. Adams makes free throw 1 of 2,9,1
30,1,8:41.0,,S. Adams misses free throw 2 of 2,9,1
31,1,8:36.0,Defensive rebound by D. Russell,,9,1
32,1,8:23.0,R. Kurucs makes 2-pt dunk from 1 ft (assist by A. Crabbe),,11,1
33,1,7:59.0,,T. Ferguson misses 2-pt layup from 1 ft,11,1
34,1,7:58.0,,Offensive rebound by T. Ferguson,11,1
35,1,7:56.0,,R. Westbrook makes 3-pt jump shot from 26 ft (assist by T. Ferguson),11,4
36,1,7:34.0,A. Crabbe misses 3-pt jump shot from 25 ft,,11,4
37,1,7:32.0,,Defensive rebound by T. Ferguson,11,4
38,1,7:20.0,,J. Grant misses 2-pt jump shot from 9 ft,11,4
39,1,7:19.0,Defensive rebound by Team,,11,4
40,1,7:19.0,,Loose ball foul by S. Adams (drawn by J. Allen),11,4
41,1,7:03.0,D. Russell misses 3-pt jump shot from 26 ft,,11,4
42,1,7:01.0,,Defensive rebound by R. Westbrook,11,4
43,1,6:53.0,,P. George misses 2-pt jump shot from 14 ft,11,4
44,1,6:51.0,Defensive rebound by J. Harris,,11,4
45,1,6:41.0,R. Kurucs misses 3-pt jump shot from 25 ft,,11,4
46,1,6:39.0,,Defensive rebound by T. Ferguson,11,4
47,1,6:30.0,,Personal foul by R. Kurucs (drawn by S. Adams),11,4
48,1,6:30.0,,Oklahoma City full timeout,11,4
49,1,6:30.0,S. Dinwiddie enters the game for A. Crabbe,,11,4
50,1,6:17.0,,R. Westbrook makes 2-pt layup from 2 ft,11,6
51,1,6:01.0,R. Kurucs makes 3-pt jump shot from 23 ft (assist by J. Harris),,14,6
52,1,5:49.0,,R. Westbrook misses 2-pt layup at rim,14,6
53,1,5:46.0,,Offensive rebound by J. Grant,14,6
54,1,5:46.0,,J. Grant makes 2-pt dunk from 1 ft,14,8
55,1,5:29.0,J. Harris misses 3-pt jump shot from 24 ft,,14,8
56,1,5:27.0,,Defensive rebound by J. Grant,14,8
57,1,5:20.0,,S. Adams misses 2-pt jump shot from 8 ft,14,8
58,1,5:17.0,,Offensive rebound by Team,14,8
59,1,5:17.0,,D. Schröder enters the game for P. George,14,8
60,1,5:08.0,,Turnover by S. Adams (bad pass; steal by D. Russell),14,8
61,1,4:54.0,J. Allen makes 2-pt layup from 1 ft (assist by S. Dinwiddie),,16,8
62,1,4:46.0,,D. Schröder misses 2-pt jump shot from 20 ft,16,8
63,1,4:43.0,Defensive rebound by R. Kurucs,,16,8
64,1,4:22.0,D. Russell makes 3-pt jump shot from 26 ft,,19,8
65,1,4:04.0,,J. Grant makes 2-pt layup from 1 ft (assist by T. Ferguson),19,10
66,1,3:48.0,S. Dinwiddie misses 2-pt layup from 1 ft,,19,10
67,1,3:48.0,,Defensive rebound by Team,19,10
68,1,3:48.0,Loose ball foul by J. Allen (drawn by T. Ferguson),,19,10
69,1,3:48.0,A. Crabbe enters the game for J. Allen,,19,10
70,1,3:48.0,E. Davis enters the game for R. Kurucs,,19,10
71,1,3:48.0,C. LeVert enters the game for D. Russell,,19,10
72,1,3:48.0,,N. Noel enters the game for S. Adams,19,10
73,1,3:40.0,,R. Westbrook makes 3-pt jump shot from 26 ft,19,13
74,1,3:20.0,S. Dinwiddie makes 2-pt layup from 1 ft (assist by C. LeVert),,21,13
75,1,3:09.0,,R. Westbrook misses 2-pt jump shot from 17 ft,21,13
76,1,3:07.0,Defensive rebound by C. LeVert,,21,13
77,1,3:00.0,Brooklyn full timeout,,21,13
78,1,3:00.0,J. Dudley enters the game for J. Harris,,21,13
79,1,2:49.0,S. Dinwiddie misses 2-pt jump shot from 9 ft,,21,13
80,1,2:47.0,,Defensive rebound by J. Grant,21,13
81,1,2:31.0,,R. Westbrook makes 2-pt jump shot from 14 ft,21,15
82,1,2:08.0,E. Davis misses 2-pt layup from 3 ft,,21,15
83,1,2:06.0,,Defensive rebound by J. Grant,21,15
84,1,1:57.0,,R. Westbrook misses 2-pt jump shot from 13 ft,21,15
85,1,1:54.0,Defensive rebound by C. LeVert,,21,15
86,1,1:43.0,S. Dinwiddie makes 2-pt layup from 2 ft,,23,15
87,1,1:43.0,Shooting foul by T. Ferguson (drawn by S. Dinwiddie),,23,15
88,1,1:43.0,,D. Burton enters the game for T. Ferguson,23,15
89,1,1:43.0,,P. George enters the game for J. Grant,23,15
90,1,1:43.0,,A. Nader enters the game for R. Westbrook,23,15
91,1,1:43.0,S. Dinwiddie makes free throw 1 of 1,,24,15
92,1,1:31.0,,Shooting foul by A. Crabbe (drawn by P. George),24,15
93,1,1:31.0,,P. George makes free throw 1 of 2,24,16
94,1,1:31.0,,P. George makes free throw 2 of 2,24,17
95,1,1:15.0,C. LeVert makes 2-pt jump shot from 9 ft,,26,17
96,1,1:15.0,Shooting foul by A. Nader (drawn by C. LeVert),,26,17
97,1,1:15.0,C. LeVert makes free throw 1 of 1,,27,17
98,1,1:03.0,,Offensive foul by A. Nader (drawn by A. Crabbe),27,17
99,1,1:03.0,,Turnover by A. Nader (offensive foul),27,17
