,QUARTER,TIME_REMAINING,NEW ORLEANS_ACTION,ATLANTA_ACTION,NEW ORLEANS_SCORE,ATLANTA_SCORE
0,1,11:49.0,J. Randle misses 2-pt layup from 1 ft,,0,0
1,1,11:43.0,,Defensive rebound by J. Collins,0,0
2,1,11:42.0,,T. Prince misses 3-pt jump shot from 26 ft,0,0
3,1,11:42.0,Defensive rebound by A. Davis,,0,0
4,1,11:27.0,Personal foul by T. Prince (drawn by A. Davis),,0,0
5,1,11:17.0,F. Jackson misses 2-pt jump shot from 8 ft,,0,0
6,1,11:13.0,,Defensive rebound by J. Collins,0,0
7,1,11:07.0,,Turnover by T. Young (bad pass),0,0
8,1,10:53.0,J. Randle makes 3-pt jump shot from 25 ft (assist by E. Payton),,3,0
9,1,10:36.0,,A. Len makes 2-pt hook shot from 9 ft,3,2
10,1,10:13.0,Shooting foul by J. Collins (drawn by E. Payton),,3,2
11,1,10:13.0,E. Payton makes free throw 1 of 2,,4,2
12,1,10:13.0,E. Payton makes free throw 2 of 2,,5,2
13,1,10:01.0,,A. Len misses 2-pt jump shot from 16 ft,5,2
14,1,9:58.0,Defensive rebound by E. Payton,,5,2
15,1,9:53.0,F. Jackson makes 3-pt jump shot from 23 ft (assist by A. Davis),,8,2
16,1,9:36.0,,K. Huerter makes 2-pt layup from 1 ft,8,4
17,1,9:22.0,J. Randle misses 2-pt jump shot from 10 ft,,8,4
18,1,9:20.0,,Defensive rebound by J. Collins,8,4
19,1,9:14.0,,T. Young misses 2-pt layup from 3 ft (block by A. Davis),8,4
20,1,9:10.0,Defensive rebound by E. Payton,,8,4
21,1,9:07.0,K. Williams makes 3-pt jump shot from 26 ft (assist by E. Payton),,11,4
22,1,8:50.0,,Turnover by K. Huerter (bad pass; steal by E. Payton),11,4
23,1,8:44.0,A. Davis misses 2-pt layup from 1 ft,,11,4
24,1,8:41.0,,Defensive rebound by T. Prince,11,4
25,1,8:38.0,,J. Collins makes 2-pt dunk from 1 ft (assist by T. Prince),11,6
26,1,8:23.0,A. Davis makes 2-pt jump shot from 12 ft,,13,6
27,1,7:57.0,,T. Young misses 2-pt jump shot from 12 ft,13,6
28,1,7:52.0,,Offensive rebound by T. Young,13,6
29,1,7:51.0,,K. Huerter misses 3-pt jump shot from 26 ft,13,6
30,1,7:48.0,Defensive rebound by E. Payton,,13,6
31,1,7:37.0,Personal foul by A. Len (drawn by J. Randle),,13,6
32,1,7:37.0,,D. Dedmon enters the game for J. Collins,13,6
33,1,7:29.0,A. Davis misses 2-pt dunk from 1 ft,,13,6
34,1,7:24.0,,Defensive rebound by A. Len,13,6
35,1,7:19.0,,D. Dedmon misses 2-pt jump shot from 21 ft,13,6
36,1,7:16.0,Defensive rebound by J. Randle,,13,6
37,1,7:05.0,F. Jackson misses 3-pt jump shot from 23 ft,,13,6
38,1,7:03.0,,Defensive rebound by D. Dedmon,13,6
39,1,6:54.0,,D. Dedmon misses 2-pt jump shot from 7 ft,13,6
40,1,6:51.0,Defensive rebound by A. Davis,,13,6
41,1,6:48.0,J. Randle makes 2-pt layup from 1 ft (assist by A. Davis),,15,6
42,1,6:47.0,,Atlanta full timeout,15,6
43,1,6:47.0,,J. Adams enters the game for K. Huerter,15,6
44,1,6:47.0,,K. Bazemore enters the game for A. Len,15,6
45,1,6:47.0,,J. Collins enters the game for T. Young,15,6
46,1,6:33.0,,T. Prince makes 2-pt jump shot from 15 ft (assist by K. Bazemore),15,8
47,1,6:18.0,J. Randle misses 2-pt layup from 5 ft,,15,8
48,1,6:17.0,Offensive rebound by Team,,15,8
49,1,6:17.0,,Loose ball foul by K. Bazemore (drawn by J. Randle),15,8
50,1,6:17.0,C. Diallo enters the game for J. Randle,,15,8
51,1,6:07.0,A. Davis makes 2-pt jump shot from 5 ft,,17,8
52,1,5:55.0,,T. Prince makes 2-pt layup from 3 ft,17,10
53,1,5:45.0,E. Payton makes 2-pt layup from 1 ft,,19,10
54,1,5:34.0,,Shooting foul by A. Davis (drawn by J. Collins),19,10
55,1,5:34.0,,J. Collins misses free throw 1 of 2,19,10
