,QUARTER,TIME_REMAINING,BOSTON_ACTION,HOUSTON_ACTION,BOSTON_SCORE,HOUSTON_SCORE
0,1,11:41.0,J. Tatum misses 2-pt jump shot from 13 ft,,0,0
1,1,11:39.0,,Defensive rebound by P. Tucker,0,0
2,1,11:32.0,,Turnover by J. Harden (bad pass; steal by A. Horford),0,0
3,1,11:25.0,K. Irving makes 2-pt layup from 4 ft,,2,0
4,1,11:07.0,,E. Gordon misses 3-pt jump shot from 29 ft,2,0
5,1,11:03.0,,Offensive rebound by C. Capela,2,0
6,1,11:02.0,,C. Capela makes 2-pt layup from 3 ft,2,2
7,1,10:46.0,K. Irving misses 3-pt jump shot from 29 ft,,2,2
8,1,10:44.0,,Defensive rebound by D. House,2,2
9,1,10:39.0,,C. Capela misses 2-pt layup from 3 ft,2,2
10,1,10:37.0,Defensive rebound by M. Morris,,2,2
11,1,10:25.0,Turnover by A. Horford (bad pass; steal by P. Tucker),,2,2
12,1,10:13.0,,J. Harden makes 3-pt jump shot from 27 ft,2,5
13,1,9:50.0,A. Horford misses 2-pt hook shot from 4 ft,,2,5
14,1,9:47.0,,Defensive rebound by P. Tucker,2,5
15,1,9:41.0,,Shooting foul by A. Horford (drawn by C. Capela),2,5
16,1,9:41.0,,C. Capela makes free throw 1 of 2,2,6
17,1,9:41.0,,C. Capela misses free throw 2 of 2,2,6
18,1,9:41.0,Defensive rebound by A. Horford,,2,6
19,1,9:23.0,J. Tatum makes 2-pt jump shot from 19 ft (assist by A. Horford),,4,6
20,1,9:14.0,,E. Gordon makes 2-pt layup from 2 ft,4,8
21,1,9:02.0,M. Morris makes 3-pt jump shot from 27 ft (assist by K. Irving),,7,8
22,1,8:37.0,,J. Harden misses 3-pt jump shot from 26 ft,7,8
23,1,8:34.0,Defensive rebound by K. Irving,,7,8
24,1,8:27.0,Personal foul by J. Harden (drawn by A. Horford),,7,8
25,1,8:20.0,Shooting foul by D. House (drawn by M. Morris),,7,8
