,QUARTER,TIME_REMAINING,MINNESOTA_ACTION,LA LAKERS_ACTION,MINNESOTA_SCORE,LA LAKERS_SCORE
0,1,11:54.0,,J. McGee misses 2-pt layup from 1 ft,0,0
1,1,11:51.0,Defensive rebound by K. Towns,,0,0
2,1,11:47.0,A. Wiggins misses 3-pt jump shot from 26 ft,,0,0
3,1,11:44.0,,Defensive rebound by L. Ball,0,0
4,1,11:44.0,,Turnover by L. Ball (out of bounds lost ball),0,0
5,1,11:32.0,A. Wiggins misses 2-pt jump shot from 14 ft,,0,0
6,1,11:29.0,,Defensive rebound by J. McGee,0,0
7,1,11:11.0,,L. James makes 2-pt jump shot from 18 ft,0,2
8,1,10:50.0,D. Rose makes 3-pt jump shot from 25 ft (assist by A. Wiggins),,3,2
9,1,10:34.0,,B. Ingram misses 2-pt jump shot from 15 ft,3,2
10,1,10:31.0,Defensive rebound by D. Rose,,3,2
11,1,10:27.0,Turnover by D. Rose (bad pass; steal by K. Kuzma),,3,2
12,1,10:21.0,,B. Ingram makes 2-pt dunk from 1 ft (assist by L. Ball),3,4
13,1,10:07.0,K. Towns makes 2-pt dunk from 1 ft (assist by D. Rose),,5,4
14,1,9:59.0,,L. James makes 2-pt layup from 1 ft (assist by L. Ball),5,6
15,1,9:50.0,Turnover by D. Rose (bad pass; steal by L. Ball),,5,6
16,1,9:47.0,,Shooting foul by A. Wiggins (drawn by L. Ball),5,6
17,1,9:47.0,,L. Ball misses free throw 1 of 2,5,6
18,1,9:47.0,,Offensive rebound by Team,5,6
19,1,9:47.0,,L. Ball makes free throw 2 of 2,5,7
20,1,9:33.0,T. Gibson misses 2-pt hook shot from 6 ft,,5,7
21,1,9:31.0,,Defensive rebound by L. Ball,5,7
22,1,9:27.0,,Turnover by L. Ball (bad pass; steal by J. Butler),5,7
23,1,9:24.0,D. Rose makes 2-pt dunk from 1 ft (assist by J. Butler),,7,7
24,1,9:01.0,,K. Kuzma misses 2-pt jump shot from 4 ft,7,7
25,1,9:00.0,,Offensive rebound by J. McGee,7,7
26,1,8:59.0,,L. James misses 3-pt jump shot from 28 ft,7,7
27,1,8:59.0,Defensive rebound by K. Towns,,7,7
28,1,8:37.0,D. Rose misses 3-pt jump shot from 26 ft,,7,7
29,1,8:34.0,,Defensive rebound by B. Ingram,7,7
30,1,8:29.0,,L. James misses 2-pt layup from 5 ft (block by K. Towns),7,7
31,1,8:29.0,,Offensive rebound by Team,7,7
32,1,8:24.0,,J. McGee makes 2-pt dunk from 1 ft (assist by L. James),7,9
33,1,8:07.0,Personal foul by B. Ingram (drawn by K. Towns),,7,9
34,1,7:57.0,A. Wiggins makes 3-pt jump shot from 26 ft (assist by D. Rose),,10,9
35,1,7:40.0,,Turnover by K. Kuzma (traveling),10,9
36,1,7:25.0,T. Gibson misses 2-pt jump shot from 7 ft,,10,9
37,1,7:22.0,,Defensive rebound by L. James,10,9
38,1,7:21.0,,L. James misses 2-pt layup from 2 ft (block by K. Towns),10,9
39,1,7:21.0,,Offensive rebound by Team,10,9
40,1,7:18.0,,B. Ingram makes 2-pt jump shot from 14 ft (assist by L. Ball),10,11
41,1,7:08.0,D. Rose misses 2-pt jump shot from 14 ft,,10,11
42,1,7:05.0,Offensive rebound by T. Gibson,,10,11
43,1,7:03.0,K. Towns makes 3-pt jump shot from 26 ft (assist by T. Gibson),,13,11
44,1,6:56.0,,Offensive foul by K. Kuzma (drawn by K. Towns),13,11
45,1,6:56.0,,Turnover by K. Kuzma (offensive foul),13,11
46,1,6:56.0,,LA Lakers full timeout,13,11
47,1,6:45.0,J. Butler makes 3-pt jump shot from 25 ft (assist by D. Rose),,16,11
48,1,6:30.0,,B. Ingram misses 2-pt layup from 2 ft,16,11
49,1,6:27.0,,Offensive rebound by J. McGee,16,11
50,1,6:27.0,,J. McGee makes 2-pt layup from 1 ft,16,13
51,1,6:05.0,D. Rose misses 2-pt layup from 3 ft,,16,13
52,1,6:04.0,Offensive rebound by K. Towns,,16,13
53,1,6:04.0,Turnover by Team (shot clock),,16,13
54,1,5:49.0,,L. James makes 2-pt layup at rim,16,15
55,1,5:29.0,A. Wiggins makes 3-pt jump shot from 26 ft (assist by T. Gibson),,19,15
56,1,5:10.0,,B. Ingram misses 2-pt jump shot from 2 ft,19,15
57,1,5:07.0,Defensive rebound by A. Wiggins,,19,15
58,1,5:06.0,Shooting foul by L. Ball (drawn by D. Rose),,19,15
59,1,5:06.0,D. Rose makes free throw 1 of 2,,20,15
60,1,5:06.0,D. Rose makes free throw 2 of 2,,21,15
61,1,4:55.0,,L. James makes 2-pt layup from 1 ft (assist by L. Ball),21,17
62,1,4:37.0,D. Rose makes 3-pt jump shot from 26 ft (assist by J. Butler),,24,17
63,1,4:29.0,,J. McGee makes 2-pt dunk from 1 ft (assist by B. Ingram),24,19
64,1,4:06.0,K. Towns makes 2-pt hook shot from 7 ft (assist by J. Butler),,26,19
65,1,3:58.0,,K. Kuzma misses 3-pt jump shot from 25 ft,26,19
66,1,3:54.0,Defensive rebound by A. Wiggins,,26,19
67,1,3:51.0,A. Wiggins makes 2-pt layup from 2 ft,,28,19
68,1,3:28.0,,K. Kuzma misses 2-pt jump shot from 8 ft,28,19
69,1,3:23.0,Defensive rebound by K. Towns,,28,19
70,1,3:23.0,Turnover by K. Towns (bad pass; steal by L. Ball),,28,19
71,1,3:20.0,,L. Ball misses 2-pt layup from 2 ft (block by K. Towns),28,19
72,1,3:17.0,,Offensive rebound by L. Ball,28,19
73,1,3:15.0,,L. Ball misses 3-pt jump shot from 23 ft,28,19
74,1,3:13.0,Defensive rebound by T. Gibson,,28,19
75,1,3:08.0,Offensive foul by K. Towns (drawn by B. Ingram),,28,19
76,1,3:08.0,Turnover by K. Towns (offensive foul),,28,19
77,1,3:08.0,T. Jones enters the game for D. Rose,,28,19
78,1,3:08.0,,T. Chandler enters the game for L. Ball,28,19
79,1,3:08.0,,J. Hart enters the game for B. Ingram,28,19
80,1,3:08.0,,R. Rondo enters the game for J. McGee,28,19
81,1,2:56.0,,R. Rondo misses 2-pt jump shot from 14 ft,28,19
82,1,2:52.0,,Offensive rebound by J. Hart,28,19
83,1,2:44.0,,J. Hart makes 3-pt jump shot from 22 ft (assist by L. James),28,22
84,1,2:30.0,T. Gibson misses 2-pt hook shot from 8 ft,,28,22
85,1,2:28.0,,Defensive rebound by R. Rondo,28,22
86,1,2:23.0,,Personal foul by T. Jones (drawn by J. Hart),28,22
87,1,2:23.0,Minnesota full timeout,,28,22
88,1,2:23.0,J. Okogie enters the game for J. Butler,,28,22
89,1,2:23.0,A. Tolliver enters the game for T. Gibson,,28,22
90,1,2:11.0,,T. Chandler misses 2-pt dunk from 3 ft (block by A. Wiggins),28,22
