,QUARTER,TIME_REMAINING,TORONTO_ACTION,LA LAKERS_ACTION,TORONTO_SCORE,LA LAKERS_SCORE
0,1,11:46.0,,K. Kuzma makes 2-pt layup from 1 ft (assist by B. Ingram),0,2
1,1,11:23.0,D. Green makes 3-pt jump shot from 26 ft (assist by K. Lowry),,3,2
2,1,11:11.0,,Personal foul by D. Green (drawn by B. Ingram),3,2
3,1,10:57.0,,B. Ingram makes 2-pt jump shot from 16 ft,3,4
4,1,10:57.0,,Shooting foul by O. Anunoby (drawn by B. Ingram),3,4
5,1,10:57.0,,B. Ingram misses free throw 1 of 1,3,4
6,1,10:57.0,Defensive rebound by P. Siakam,,3,4
7,1,10:47.0,S. Ibaka makes 2-pt jump shot from 18 ft (assist by K. Lowry),,5,4
8,1,10:29.0,,B. Ingram misses 2-pt layup from 2 ft,5,4
9,1,10:27.0,Defensive rebound by S. Ibaka,,5,4
10,1,10:23.0,K. Lowry misses 3-pt jump shot from 27 ft,,5,4
11,1,10:19.0,,Defensive rebound by B. Ingram,5,4
12,1,10:08.0,,L. James misses 2-pt jump shot from 4 ft,5,4
13,1,10:03.0,Defensive rebound by K. Lowry,,5,4
14,1,9:57.0,D. Green makes 3-pt jump shot from 26 ft (assist by K. Lowry),,8,4
15,1,9:49.0,,Turnover by K. Kuzma (traveling),8,4
16,1,9:31.0,S. Ibaka makes 2-pt jump shot from 20 ft (assist by K. Lowry),,10,4
17,1,9:20.0,,L. Ball misses 2-pt jump shot from 10 ft,10,4
18,1,9:15.0,,Offensive rebound by J. McGee,10,4
19,1,9:15.0,,J. McGee misses 2-pt layup from 1 ft,10,4
20,1,9:14.0,Defensive rebound by K. Lowry,,10,4
21,1,9:09.0,P. Siakam misses 3-pt jump shot from 23 ft,,10,4
22,1,9:07.0,,Defensive rebound by L. Ball,10,4
23,1,9:06.0,,B. Ingram makes 2-pt layup from 2 ft (assist by L. Ball),10,6
24,1,8:54.0,S. Ibaka makes 3-pt jump shot from 27 ft (assist by P. Siakam),,13,6
25,1,8:31.0,,B. Ingram misses 3-pt jump shot from 24 ft,13,6
26,1,8:29.0,Defensive rebound by P. Siakam,,13,6
27,1,8:24.0,P. Siakam makes 2-pt layup from 3 ft,,15,6
28,1,8:14.0,,Shooting foul by D. Green (drawn by L. James),15,6
29,1,8:14.0,,L. James makes free throw 1 of 2,15,7
30,1,8:14.0,,L. James makes free throw 2 of 2,15,8
31,1,7:55.0,D. Green misses 3-pt jump shot from 25 ft,,15,8
32,1,7:53.0,,Defensive rebound by J. McGee,15,8
33,1,7:35.0,,L. James misses 2-pt layup from 2 ft,15,8
34,1,7:33.0,Defensive rebound by S. Ibaka,,15,8
35,1,7:28.0,O. Anunoby makes 2-pt layup from 2 ft (assist by K. Lowry),,17,8
36,1,7:16.0,,J. McGee misses 2-pt hook shot from 2 ft,17,8
37,1,7:14.0,Defensive rebound by K. Lowry,,17,8
38,1,7:08.0,O. Anunoby makes 3-pt jump shot from 25 ft (assist by K. Lowry),,20,8
39,1,7:03.0,,LA Lakers full timeout,20,8
40,1,6:55.0,,Turnover by L. James (bad pass),20,8
41,1,6:44.0,S. Ibaka makes 2-pt jump shot from 20 ft (assist by D. Green),,22,8
42,1,6:30.0,,L. Ball misses 3-pt jump shot from 25 ft,22,8
43,1,6:28.0,Defensive rebound by P. Siakam,,22,8
44,1,6:20.0,Personal foul by L. Ball (drawn by K. Lowry),,22,8
45,1,6:12.0,S. Ibaka makes 2-pt layup from 3 ft (assist by K. Lowry),,24,8
46,1,6:12.0,Shooting foul by L. James (drawn by S. Ibaka),,24,8
47,1,6:12.0,S. Ibaka makes free throw 1 of 1,,25,8
48,1,5:50.0,,K. Kuzma misses 2-pt jump shot from 18 ft,25,8
49,1,5:45.0,Defensive rebound by K. Lowry,,25,8
50,1,5:38.0,Turnover by S. Ibaka (traveling),,25,8
51,1,5:30.0,,L. Ball makes 2-pt layup from 3 ft (assist by J. McGee),25,10
52,1,5:27.0,Personal foul by L. Ball (drawn by K. Lowry),,25,10
53,1,5:27.0,,J. Hart enters the game for L. Ball,25,10
54,1,5:27.0,,R. Rondo enters the game for B. Ingram,25,10
55,1,5:16.0,K. Lowry makes 3-pt jump shot from 26 ft (assist by D. Green),,28,10
56,1,5:06.0,,Turnover by R. Rondo (bad pass; steal by S. Ibaka),28,10
57,1,4:59.0,S. Ibaka makes 2-pt hook shot from 6 ft (assist by K. Lowry),,30,10
58,1,4:45.0,,Turnover by J. McGee (lost ball; steal by K. Lowry),30,10
59,1,4:45.0,,L. Stephenson enters the game for J. McGee,30,10
60,1,4:29.0,O. Anunoby misses 3-pt jump shot from 27 ft,,30,10
61,1,4:28.0,Offensive rebound by S. Ibaka,,30,10
62,1,4:26.0,S. Ibaka makes 2-pt layup from 2 ft,,32,10
63,1,4:07.0,,L. Stephenson misses 2-pt jump shot from 17 ft,32,10
64,1,4:04.0,Defensive rebound by O. Anunoby,,32,10
65,1,3:45.0,S. Ibaka makes 2-pt dunk from 2 ft (assist by K. Lowry),,34,10
66,1,3:44.0,,LA Lakers full timeout,34,10
67,1,3:44.0,C. Miles enters the game for D. Green,,34,10
68,1,3:44.0,F. VanVleet enters the game for P. Siakam,,34,10
69,1,3:44.0,,K. Caldwell-Pope enters the game for L. James,34,10
70,1,3:31.0,,R. Rondo misses 2-pt jump shot from 1 ft,34,10
71,1,3:29.0,Defensive rebound by S. Ibaka,,34,10
72,1,3:15.0,Shooting foul by K. Kuzma (drawn by S. Ibaka),,34,10
73,1,3:15.0,S. Ibaka makes free throw 1 of 2,,35,10
