,QUARTER,TIME_REMAINING,MEMPHIS_ACTION,NEW ORLEANS_ACTION,MEMPHIS_SCORE,NEW ORLEANS_SCORE
0,1,11:46.0,Shooting foul by S. Hill (drawn by K. Anderson),,0,0
1,1,11:46.0,K. Anderson misses free throw 1 of 2,,0,0
2,1,11:46.0,Offensive rebound by Team,,0,0
3,1,11:46.0,K. Anderson makes free throw 2 of 2,,1,0
4,1,11:31.0,,A. Davis makes 2-pt jump shot from 10 ft,1,2
5,1,11:12.0,M. Gasol makes 2-pt jump shot from 17 ft (assist by M. Conley),,3,2
6,1,10:53.0,,T. Frazier makes 2-pt layup from 2 ft (assist by J. Holiday),3,4
7,1,10:37.0,M. Gasol misses 2-pt jump shot from 9 ft,,3,4
8,1,10:33.0,,Defensive rebound by A. Davis,3,4
9,1,10:32.0,,Personal foul by J. Jackson (drawn by J. Randle),3,4
10,1,10:16.0,,J. Randle makes 2-pt jump shot from 19 ft,3,6
11,1,9:51.0,M. Gasol misses 2-pt jump shot from 10 ft,,3,6
12,1,9:46.0,,Defensive rebound by J. Randle,3,6
13,1,9:43.0,,A. Davis makes 2-pt dunk from 2 ft (assist by J. Randle),3,8
14,1,9:42.0,Memphis full timeout,,3,8
15,1,9:22.0,M. Gasol makes 2-pt dunk from 1 ft (assist by K. Anderson),,5,8
16,1,9:05.0,,J. Randle makes 2-pt dunk from 1 ft,5,10
17,1,9:05.0,,Shooting foul by J. Jackson (drawn by J. Randle),5,10
18,1,9:05.0,J. Green enters the game for J. Jackson,,5,10
19,1,9:05.0,,J. Randle makes free throw 1 of 1,5,11
20,1,8:51.0,M. Conley makes 2-pt jump shot from 18 ft (assist by G. Temple),,7,11
21,1,8:36.0,,J. Randle misses 3-pt jump shot from 26 ft,7,11
22,1,8:33.0,Defensive rebound by K. Anderson,,7,11
23,1,8:25.0,K. Anderson makes 2-pt jump shot from 3 ft,,9,11
24,1,8:12.0,,J. Randle misses 2-pt layup from 2 ft (block by K. Anderson),9,11
25,1,8:10.0,Defensive rebound by G. Temple,,9,11
26,1,8:06.0,M. Gasol misses 2-pt layup from 2 ft (block by J. Holiday),,9,11
27,1,7:59.0,,Defensive rebound by J. Randle,9,11
28,1,7:50.0,,J. Holiday misses 2-pt jump shot from 12 ft,9,11
29,1,7:46.0,Defensive rebound by K. Anderson,,9,11
30,1,7:34.0,Turnover by J. Green (offensive foul),,9,11
31,1,7:34.0,Offensive foul by J. Green (drawn by S. Hill),,9,11
32,1,7:17.0,,J. Randle makes 2-pt dunk from 2 ft (assist by T. Frazier),9,13
33,1,6:57.0,M. Conley misses 2-pt layup from 2 ft (block by A. Davis),,9,13
34,1,6:57.0,Offensive rebound by Team,,9,13
35,1,6:51.0,M. Conley misses 2-pt jump shot from 13 ft,,9,13
36,1,6:50.0,,Defensive rebound by A. Davis,9,13
37,1,6:39.0,,J. Holiday misses 2-pt layup from 3 ft (block by K. Anderson),9,13
38,1,6:36.0,Defensive rebound by J. Green,,9,13
39,1,6:30.0,K. Anderson makes 2-pt layup from 2 ft (assist by M. Conley),,11,13
40,1,6:19.0,,T. Frazier makes 2-pt layup from 2 ft (assist by J. Holiday),11,15
41,1,5:58.0,K. Anderson makes 2-pt jump shot from 22 ft (assist by M. Conley),,13,15
42,1,5:51.0,,A. Davis makes 2-pt layup from 1 ft (assist by T. Frazier),13,17
43,1,5:26.0,Shooting foul by A. Davis (drawn by M. Gasol),,13,17
44,1,5:26.0,M. Gasol makes free throw 1 of 2,,14,17
45,1,5:26.0,S. Mack enters the game for M. Conley,,14,17
46,1,5:26.0,,N. Mirotić enters the game for A. Davis,14,17
47,1,5:26.0,M. Gasol makes free throw 2 of 2,,15,17
48,1,5:15.0,,Shooting foul by M. Gasol (drawn by J. Randle),15,17
49,1,5:15.0,,J. Randle makes free throw 1 of 2,15,18
50,1,5:15.0,,J. Randle makes free throw 2 of 2,15,19
51,1,4:59.0,J. Green makes 2-pt jump shot from 17 ft (assist by S. Mack),,17,19
52,1,4:52.0,,J. Randle misses 2-pt layup from 3 ft,17,19
53,1,4:52.0,,Offensive rebound by J. Randle,17,19
54,1,4:50.0,,J. Randle makes 2-pt layup from 1 ft,17,21
55,1,4:50.0,,Shooting foul by K. Anderson (drawn by J. Randle),17,21
56,1,4:50.0,O. Casspi enters the game for K. Anderson,,17,21
57,1,4:50.0,,J. Randle misses free throw 1 of 1,17,21
58,1,4:50.0,Defensive rebound by O. Casspi,,17,21
59,1,4:35.0,G. Temple makes 3-pt jump shot from 23 ft (assist by S. Mack),,20,21
60,1,4:21.0,,J. Holiday misses 3-pt jump shot from 26 ft,20,21
61,1,4:17.0,Defensive rebound by O. Casspi,,20,21
62,1,4:11.0,Turnover by J. Green (bad pass; steal by T. Frazier),,20,21
63,1,4:02.0,,N. Mirotić makes 2-pt layup from 3 ft (assist by T. Frazier),20,23
64,1,3:40.0,J. Green makes 2-pt layup from 2 ft (assist by M. Gasol),,22,23
65,1,3:31.0,,N. Mirotić misses 2-pt jump shot from 19 ft,22,23
66,1,3:27.0,Defensive rebound by O. Casspi,,22,23
67,1,3:24.0,,Violation by Team (kicked ball),22,23
68,1,3:24.0,M. Conley enters the game for M. Gasol,,22,23
69,1,3:24.0,J. Noah enters the game for G. Temple,,22,23
70,1,3:24.0,,C. Diallo enters the game for T. Frazier,22,23
71,1,3:24.0,,D. Miller enters the game for S. Hill,22,23
72,1,3:24.0,,E. Moore enters the game for J. Randle,22,23
73,1,3:12.0,J. Green makes 3-pt jump shot from 23 ft (assist by M. Conley),,25,23
74,1,2:58.0,,Turnover by C. Diallo (offensive foul),25,23
75,1,2:58.0,,Offensive foul by C. Diallo (drawn by J. Green),25,23
76,1,2:40.0,O. Casspi misses 2-pt layup from 5 ft,,25,23
77,1,2:37.0,,Defensive rebound by N. Mirotić,25,23
78,1,2:36.0,,Turnover by N. Mirotić (lost ball; steal by J. Green),25,23
79,1,2:24.0,J. Noah makes 2-pt dunk from 2 ft (assist by M. Conley),,27,23
80,1,2:22.0,,Shooting foul by J. Green (drawn by N. Mirotić),27,23
81,1,2:22.0,,N. Mirotić makes free throw 1 of 2,27,24
82,1,2:22.0,M. Brooks enters the game for J. Green,,27,24
83,1,2:22.0,,N. Mirotić makes free throw 2 of 2,27,25
84,1,2:04.0,Personal foul by J. Holiday (drawn by J. Noah),,27,25
85,1,1:51.0,O. Casspi makes 2-pt layup from 2 ft (assist by J. Noah),,29,25
86,1,1:39.0,,E. Moore misses 3-pt jump shot from 23 ft,29,25
87,1,1:33.0,,Offensive rebound by E. Moore,29,25
88,1,1:21.0,,Turnover by N. Mirotić (dbl dribble),29,25
89,1,1:12.0,S. Mack misses 2-pt jump shot from 18 ft,,29,25
90,1,1:09.0,,Defensive rebound by D. Miller,29,25
91,1,1:07.0,,Shooting foul by M. Conley (drawn by J. Holiday),29,25
92,1,1:07.0,,J. Holiday makes 2-pt layup from 2 ft,29,27
93,1,1:07.0,,J. Holiday makes free throw 1 of 1,29,28
94,1,0:45.0,J. Noah makes 2-pt layup from 2 ft (assist by O. Casspi),,31,28
