,QUARTER,TIME_REMAINING,OKLAHOMA CITY_ACTION,SAN ANTONIO_ACTION,OKLAHOMA CITY_SCORE,SAN ANTONIO_SCORE
0,1,11:44.0,,D. DeRozan misses 2-pt jump shot from 9 ft,0,0
1,1,11:40.0,Defensive rebound by S. Adams,,0,0
2,1,11:29.0,Turnover by R. Westbrook (bad pass; steal by D. White),,0,0
3,1,11:20.0,,D. White makes 2-pt layup from 2 ft (assist by D. DeRozan),0,2
4,1,11:14.0,Shooting foul by D. White (drawn by R. Westbrook),,0,2
5,1,11:14.0,R. Westbrook makes free throw 1 of 2,,1,2
6,1,11:14.0,R. Westbrook misses free throw 2 of 2,,1,2
7,1,11:10.0,Offensive rebound by S. Adams,,1,2
8,1,11:05.0,R. Westbrook misses 2-pt jump shot from 7 ft,,1,2
9,1,11:03.0,,Defensive rebound by D. White,1,2
10,1,10:44.0,,L. Aldridge makes 2-pt jump shot from 18 ft (assist by B. Forbes),1,4
11,1,10:32.0,J. Grant makes 3-pt jump shot from 27 ft (assist by D. Schröder),,4,4
12,1,10:18.0,,L. Aldridge makes 2-pt jump shot from 18 ft,4,6
13,1,9:54.0,D. Schröder misses 2-pt layup from 3 ft,,4,6
14,1,9:54.0,,Defensive rebound by D. White,4,6
15,1,9:45.0,,D. White misses 3-pt jump shot from 25 ft,4,6
16,1,9:39.0,Defensive rebound by R. Westbrook,,4,6
17,1,9:31.0,S. Adams makes 2-pt hook shot from 11 ft,,6,6
18,1,9:11.0,,Turnover by D. DeRozan (bad pass; steal by D. Schröder),6,6
19,1,9:05.0,Shooting foul by B. Forbes (drawn by D. Schröder),,6,6
20,1,9:05.0,D. Schröder makes free throw 1 of 2,,7,6
21,1,9:05.0,D. Schröder misses free throw 2 of 2,,7,6
22,1,9:02.0,Offensive rebound by S. Adams,,7,6
23,1,8:55.0,,Personal foul by S. Adams (drawn by J. Poeltl),7,6
24,1,8:55.0,Turnover by S. Adams (turnover),,7,6
25,1,8:36.0,,B. Forbes makes 3-pt jump shot from 25 ft (assist by D. White),7,9
26,1,8:23.0,J. Grant misses 3-pt jump shot from 25 ft,,7,9
27,1,8:23.0,,Defensive rebound by Team,7,9
28,1,8:05.0,,L. Aldridge makes 2-pt jump shot from 14 ft (assist by J. Poeltl),7,11
29,1,7:54.0,R. Westbrook misses 3-pt jump shot from 25 ft,,7,11
30,1,7:54.0,Offensive rebound by S. Adams,,7,11
31,1,7:46.0,S. Adams misses 2-pt dunk at rim,,7,11
32,1,7:46.0,Offensive rebound by S. Adams,,7,11
33,1,7:43.0,S. Adams misses 2-pt layup from 6 ft,,7,11
34,1,7:40.0,,Defensive rebound by L. Aldridge,7,11
35,1,7:39.0,,D. White makes 2-pt layup from 1 ft,7,13
36,1,7:39.0,,Shooting foul by S. Adams (drawn by D. White),7,13
37,1,7:39.0,Oklahoma City full timeout,,7,13
38,1,7:39.0,,D. White makes free throw 1 of 1,7,14
39,1,7:27.0,J. Grant misses 3-pt jump shot from 24 ft,,7,14
40,1,7:24.0,,Defensive rebound by D. DeRozan,7,14
41,1,7:16.0,,L. Aldridge makes 2-pt jump shot from 16 ft,7,16
42,1,7:16.0,,Shooting foul by J. Grant (drawn by L. Aldridge),7,16
43,1,7:16.0,,L. Aldridge makes free throw 1 of 1,7,17
44,1,7:04.0,Personal foul by J. Poeltl (drawn by S. Adams),,7,17
