,QUARTER,TIME_REMAINING,LA CLIPPERS_ACTION,NEW ORLEANS_ACTION,LA CLIPPERS_SCORE,NEW ORLEANS_SCORE
0,1,11:42.0,A. Bradley makes 2-pt jump shot from 18 ft (assist by D. Gallinari),,2,0
1,1,11:24.0,,J. Randle misses 2-pt hook shot from 11 ft,2,0
2,1,11:22.0,Defensive rebound by D. Gallinari,,2,0
3,1,11:17.0,D. Gallinari misses 2-pt jump shot from 15 ft,,2,0
4,1,11:13.0,,Defensive rebound by T. Frazier,2,0
5,1,11:04.0,,J. Holiday misses 2-pt layup from 3 ft,2,0
6,1,11:02.0,Defensive rebound by M. Gortat,,2,0
7,1,10:56.0,T. Harris makes 2-pt jump shot from 18 ft,,4,0
8,1,10:41.0,,A. Davis makes 2-pt jump shot from 11 ft,4,2
9,1,10:25.0,D. Gallinari makes 2-pt jump shot from 23 ft,,6,2
10,1,10:08.0,,J. Randle makes 3-pt jump shot from 26 ft (assist by J. Holiday),6,5
11,1,9:55.0,D. Gallinari misses 3-pt jump shot from 25 ft,,6,5
12,1,9:52.0,,Defensive rebound by J. Holiday,6,5
13,1,9:47.0,,J. Randle makes 2-pt dunk from 1 ft (assist by J. Holiday),6,7
14,1,9:26.0,T. Harris misses 3-pt jump shot from 26 ft,,6,7
15,1,9:21.0,,Defensive rebound by A. Davis,6,7
16,1,9:06.0,,A. Davis makes 2-pt layup from 3 ft,6,9
17,1,8:51.0,Turnover by T. Harris (bad pass; steal by J. Holiday),,6,9
18,1,8:47.0,,T. Frazier makes 2-pt layup from 2 ft (assist by J. Holiday),6,11
19,1,8:30.0,M. Gortat misses 2-pt layup from 2 ft (block by A. Davis),,6,11
20,1,8:27.0,Offensive rebound by A. Bradley,,6,11
21,1,8:19.0,M. Gortat makes 2-pt layup from 2 ft,,8,11
22,1,8:14.0,,Turnover by T. Frazier (bad pass),8,11
23,1,8:05.0,T. Harris makes 2-pt layup from 2 ft (assist by A. Bradley),,10,11
24,1,7:47.0,,J. Holiday makes 2-pt layup from 1 ft,10,13
25,1,7:33.0,Turnover by T. Harris (lost ball; steal by J. Holiday),,10,13
26,1,7:22.0,,E. Moore misses 3-pt jump shot from 22 ft,10,13
27,1,7:20.0,Defensive rebound by M. Gortat,,10,13
28,1,7:15.0,S. Gilgeous-Alexander misses 2-pt jump shot from 12 ft,,10,13
29,1,7:10.0,,Defensive rebound by J. Randle,10,13
30,1,7:05.0,,J. Randle misses 2-pt layup from 3 ft,10,13
31,1,7:04.0,Defensive rebound by T. Harris,,10,13
32,1,6:55.0,T. Harris misses 2-pt jump shot from 9 ft,,10,13
33,1,6:49.0,,Defensive rebound by J. Randle,10,13
34,1,6:44.0,,J. Holiday misses 2-pt layup from 2 ft,10,13
35,1,6:43.0,,Offensive rebound by A. Davis,10,13
36,1,6:40.0,,A. Davis misses 2-pt layup from 5 ft,10,13
37,1,6:40.0,Defensive rebound by Team,,10,13
38,1,6:40.0,,New Orleans full timeout,10,13
39,1,6:31.0,T. Harris misses 3-pt jump shot from 24 ft,,10,13
40,1,6:28.0,,Defensive rebound by T. Frazier,10,13
41,1,6:17.0,,J. Randle makes 2-pt dunk from 1 ft (assist by T. Frazier),10,15
42,1,5:58.0,D. Gallinari makes 2-pt jump shot from 8 ft,,12,15
43,1,5:47.0,,A. Davis makes 2-pt jump shot from 3 ft,12,17
44,1,5:37.0,S. Gilgeous-Alexander makes 2-pt jump shot from 12 ft,,14,17
45,1,5:23.0,,A. Davis makes 2-pt jump shot from 22 ft (assist by J. Randle),14,19
46,1,5:02.0,A. Bradley makes 2-pt jump shot from 20 ft (assist by D. Gallinari),,16,19
47,1,4:39.0,,J. Randle makes 2-pt dunk from 1 ft (assist by T. Frazier),16,21
48,1,4:22.0,D. Gallinari makes 3-pt jump shot from 26 ft (assist by S. Gilgeous-Alexander),,19,21
49,1,4:07.0,,J. Randle misses 2-pt jump shot from 15 ft,19,21
50,1,4:04.0,Defensive rebound by A. Bradley,,19,21
51,1,3:58.0,Turnover by A. Bradley (bad pass; steal by E. Moore),,19,21
52,1,3:55.0,,Personal foul by A. Bradley (drawn by A. Davis),19,21
53,1,3:55.0,M. Harrell enters the game for M. Gortat,,19,21
54,1,3:55.0,,S. Hill enters the game for J. Holiday,19,21
55,1,3:47.0,,E. Moore makes 2-pt jump shot from 9 ft (assist by A. Davis),19,23
56,1,3:34.0,M. Harrell makes 2-pt layup from 2 ft (assist by A. Bradley),,21,23
57,1,3:28.0,,E. Moore misses 3-pt jump shot from 27 ft,21,23
58,1,3:27.0,Defensive rebound by S. Gilgeous-Alexander,,21,23
59,1,3:27.0,M. Scott enters the game for A. Bradley,,21,23
60,1,3:27.0,L. Williams enters the game for D. Gallinari,,21,23
61,1,3:27.0,,W. Johnson enters the game for J. Randle,21,23
62,1,3:13.0,S. Gilgeous-Alexander makes 2-pt jump shot from 7 ft (assist by M. Harrell),,23,23
63,1,3:02.0,,A. Davis misses 2-pt jump shot from 11 ft,23,23
64,1,2:57.0,Defensive rebound by L. Williams,,23,23
65,1,2:50.0,T. Harris makes 2-pt layup from 3 ft (assist by M. Scott),,25,23
66,1,2:50.0,Shooting foul by E. Moore (drawn by T. Harris),,25,23
67,1,2:50.0,LA Clippers full timeout,,25,23
68,1,2:50.0,P. Beverley enters the game for S. Gilgeous-Alexander,,25,23
69,1,2:50.0,,D. Miller enters the game for E. Moore,25,23
70,1,2:50.0,T. Harris makes free throw 1 of 1,,26,23
71,1,2:36.0,,Personal foul by M. Harrell (drawn by A. Davis),26,23
72,1,2:32.0,,T. Frazier misses 3-pt jump shot from 27 ft,26,23
73,1,2:29.0,Defensive rebound by M. Scott,,26,23
74,1,2:21.0,L. Williams misses 2-pt layup from 2 ft (block by W. Johnson),,26,23
75,1,2:21.0,Offensive rebound by Team,,26,23
76,1,2:09.0,P. Beverley misses 3-pt jump shot from 27 ft,,26,23
77,1,2:06.0,,Defensive rebound by W. Johnson,26,23
78,1,1:57.0,,Shooting foul by M. Harrell (drawn by D. Miller),26,23
79,1,1:57.0,,D. Miller makes free throw 1 of 2,26,24
80,1,1:57.0,,D. Miller makes free throw 2 of 2,26,25
81,1,1:43.0,T. Harris makes 2-pt jump shot from 9 ft (assist by M. Scott),,28,25
82,1,1:37.0,,Turnover by T. Frazier (lost ball; steal by T. Harris),28,25
83,1,1:19.0,Turnover by M. Harrell (bad pass; steal by A. Davis),,28,25
84,1,1:15.0,,Turnover by A. Davis (bad pass; steal by M. Scott),28,25
85,1,1:11.0,T. Harris makes 3-pt jump shot from 26 ft (assist by P. Beverley),,31,25
86,1,0:59.0,,A. Davis misses 2-pt jump shot from 19 ft,31,25
87,1,0:54.0,Defensive rebound by T. Harris,,31,25
88,1,0:48.0,M. Harrell makes 2-pt layup from 2 ft (assist by T. Harris),,33,25
89,1,0:48.0,Shooting foul by A. Davis (drawn by M. Harrell),,33,25
90,1,0:48.0,T. Wallace enters the game for T. Harris,,33,25
91,1,0:48.0,,J. Holiday enters the game for T. Frazier,33,25
92,1,0:48.0,M. Harrell misses free throw 1 of 1,,33,25
93,1,0:48.0,,Defensive rebound by W. Johnson,33,25
94,1,0:36.0,,A. Davis misses 2-pt hook shot from 3 ft,33,25
95,1,0:35.0,,Offensive rebound by A. Davis,33,25
96,1,0:35.0,,Shooting foul by M. Scott (drawn by A. Davis),33,25
97,1,0:35.0,,A. Davis makes free throw 1 of 2,33,26
98,1,0:35.0,,A. Davis makes free throw 2 of 2,33,27
99,1,0:28.0,Turnover by L. Williams (bad pass; steal by A. Davis),,33,27
100,1,0:23.0,,A. Davis makes 2-pt layup from 1 ft (assist by W. Johnson),33,29
101,1,0:01.0,L. Williams makes 2-pt jump shot from 13 ft,,35,29
102,1,0:01.0,Shooting foul by J. Holiday (drawn by L. Williams),,35,29
103,1,0:01.0,S. Thornwell enters the game for M. Harrell,,35,29
104,1,0:01.0,L. Williams makes free throw 1 of 1,,36,29
105,2,11:42.0,,J. Holiday makes 3-pt jump shot from 23 ft,36,32
106,2,11:23.0,T. Wallace makes 2-pt layup from 2 ft (assist by P. Beverley),,38,32
107,2,11:11.0,,D. Miller makes 3-pt jump shot from 26 ft (assist by J. Randle),38,35
108,2,11:11.0,,Shooting foul by M. Scott (drawn by D. Miller),38,35
109,2,11:11.0,,D. Miller misses free throw 1 of 1,38,35
110,2,11:11.0,Defensive rebound by M. Scott,,38,35
111,2,10:53.0,Personal foul by W. Johnson (drawn by T. Wallace),,38,35
112,2,10:46.0,L. Williams makes 3-pt jump shot from 25 ft (assist by P. Beverley),,41,35
113,2,10:36.0,,J. Holiday makes 2-pt jump shot from 7 ft,41,37
114,2,10:21.0,M. Harrell makes 2-pt layup from 1 ft (assist by L. Williams),,43,37
115,2,10:09.0,,J. Randle makes 2-pt layup from 5 ft (assist by J. Holiday),43,39
116,2,9:56.0,L. Williams misses 2-pt jump shot from 7 ft,,43,39
117,2,9:54.0,,Defensive rebound by J. Randle,43,39
118,2,9:50.0,,J. Randle makes 2-pt layup from 3 ft,43,41
119,2,9:24.0,L. Williams makes 2-pt jump shot from 4 ft,,45,41
120,2,9:05.0,,J. Holiday misses 3-pt jump shot from 27 ft,45,41
121,2,9:02.0,Defensive rebound by T. Wallace,,45,41
122,2,8:48.0,T. Wallace misses 2-pt layup from 2 ft,,45,41
123,2,8:42.0,Offensive rebound by T. Wallace,,45,41
124,2,8:42.0,T. Wallace makes 2-pt layup at rim,,47,41
