,QUARTER,TIME_REMAINING,NEW ORLEANS_ACTION,CHARLOTTE_ACTION,NEW ORLEANS_SCORE,CHARLOTTE_SCORE
0,1,11:43.0,J. Holiday makes 2-pt layup from 4 ft (assist by A. Davis),,2,0
1,1,11:20.0,,J. Lamb makes 2-pt layup from 1 ft,2,2
2,1,10:58.0,A. Davis makes 2-pt jump shot from 7 ft,,4,2
3,1,10:41.0,,J. Lamb misses 3-pt jump shot from 29 ft,4,2
4,1,10:38.0,Defensive rebound by A. Davis,,4,2
5,1,10:30.0,T. Frazier makes 2-pt layup from 1 ft (assist by J. Holiday),,6,2
6,1,10:12.0,,Turnover by W. Hernangómez (offensive foul),6,2
7,1,10:12.0,,Offensive foul by W. Hernangómez (drawn by N. Mirotić),6,2
8,1,9:59.0,J. Holiday misses 3-pt jump shot from 25 ft,,6,2
9,1,9:55.0,,Defensive rebound by J. Lamb,6,2
10,1,9:46.0,,M. Williams misses 2-pt jump shot from 8 ft,6,2
11,1,9:40.0,,Offensive rebound by W. Hernangómez,6,2
12,1,9:40.0,,W. Hernangómez makes 2-pt layup from 1 ft,6,4
13,1,9:32.0,A. Davis makes 2-pt layup from 3 ft,,8,4
14,1,9:23.0,,M. Williams makes 3-pt jump shot from 26 ft (assist by N. Batum),8,7
15,1,9:03.0,A. Davis misses 2-pt jump shot from 13 ft,,8,7
16,1,9:01.0,,Defensive rebound by J. Lamb,8,7
17,1,8:55.0,,K. Walker misses 3-pt jump shot from 27 ft,8,7
18,1,8:52.0,Defensive rebound by A. Davis,,8,7
19,1,8:44.0,N. Mirotić misses 3-pt jump shot from 25 ft,,8,7
20,1,8:42.0,,Defensive rebound by N. Batum,8,7
21,1,8:33.0,,N. Batum misses 2-pt dunk from 3 ft (block by A. Davis),8,7
22,1,8:32.0,Defensive rebound by W. Johnson,,8,7
23,1,8:28.0,Turnover by T. Frazier (lost ball; steal by J. Lamb),,8,7
24,1,8:23.0,,N. Batum misses 3-pt jump shot from 27 ft,8,7
25,1,8:21.0,Defensive rebound by A. Davis,,8,7
26,1,8:15.0,J. Holiday misses 3-pt jump shot from 27 ft,,8,7
27,1,8:12.0,,Defensive rebound by M. Williams,8,7
28,1,8:06.0,,Personal foul by N. Mirotić (drawn by W. Hernangómez),8,7
29,1,7:57.0,,N. Batum makes 2-pt dunk from 2 ft (assist by K. Walker),8,9
30,1,7:50.0,A. Davis makes 2-pt dunk from 1 ft (assist by J. Holiday),,10,9
31,1,7:21.0,,N. Batum misses 2-pt jump shot from 8 ft,10,9
32,1,7:20.0,Defensive rebound by A. Davis,,10,9
33,1,7:14.0,W. Johnson misses 3-pt jump shot from 22 ft,,10,9
34,1,7:11.0,,Defensive rebound by W. Hernangómez,10,9
35,1,6:59.0,,M. Williams misses 3-pt jump shot from 25 ft,10,9
36,1,6:56.0,Defensive rebound by N. Mirotić,,10,9
37,1,6:46.0,N. Mirotić makes 3-pt jump shot from 27 ft (assist by J. Holiday),,13,9
38,1,6:46.0,,Charlotte full timeout,13,9
39,1,6:46.0,,M. Bridges enters the game for N. Batum,13,9
40,1,6:46.0,,M. Kidd-Gilchrist enters the game for W. Hernangómez,13,9
41,1,6:31.0,,K. Walker makes 2-pt layup from 2 ft (assist by M. Williams),13,11
42,1,6:27.0,Turnover by W. Johnson (out of bounds lost ball),,13,11
43,1,6:27.0,S. Hill enters the game for W. Johnson,,13,11
44,1,6:05.0,,M. Williams makes 2-pt jump shot from 8 ft (assist by K. Walker),13,13
45,1,5:55.0,N. Mirotić misses 3-pt jump shot from 26 ft,,13,13
46,1,5:52.0,,Defensive rebound by J. Lamb,13,13
47,1,5:38.0,,K. Walker makes 2-pt layup from 4 ft,13,15
48,1,5:32.0,A. Davis makes 2-pt dunk from 1 ft (assist by T. Frazier),,15,15
49,1,5:24.0,,Charlotte full timeout,15,15
50,1,5:24.0,I. Clark enters the game for T. Frazier,,15,15
51,1,5:24.0,J. Randle enters the game for N. Mirotić,,15,15
52,1,5:24.0,,T. Parker enters the game for K. Walker,15,15
53,1,5:06.0,,J. Lamb makes 3-pt jump shot from 27 ft (assist by T. Parker),15,18
54,1,4:44.0,J. Randle misses 2-pt jump shot from 4 ft (block by M. Kidd-Gilchrist),,15,18
55,1,4:44.0,Offensive rebound by Team,,15,18
56,1,4:44.0,,F. Kaminsky enters the game for M. Williams,15,18
57,1,4:41.0,A. Davis makes 2-pt jump shot from 12 ft (assist by I. Clark),,17,18
58,1,4:24.0,,M. Bridges makes 3-pt jump shot from 24 ft (assist by M. Kidd-Gilchrist),17,21
59,1,4:10.0,Shooting foul by F. Kaminsky (drawn by A. Davis),,17,21
60,1,4:10.0,A. Davis makes free throw 1 of 2,,18,21
61,1,4:10.0,A. Davis makes free throw 2 of 2,,19,21
62,1,3:56.0,,M. Bridges misses 2-pt jump shot from 13 ft (block by S. Hill),19,21
63,1,3:53.0,Defensive rebound by I. Clark,,19,21
64,1,3:47.0,S. Hill makes 2-pt layup from 2 ft (assist by J. Holiday),,21,21
65,1,3:27.0,,M. Kidd-Gilchrist makes 3-pt jump shot from 27 ft (assist by J. Lamb),21,24
66,1,3:11.0,A. Davis makes 3-pt jump shot from 26 ft (assist by I. Clark),,24,24
67,1,2:50.0,,J. Lamb misses 2-pt jump shot from 22 ft,24,24
