,QUARTER,TIME_REMAINING,ORLANDO_ACTION,DALLAS_ACTION,ORLANDO_SCORE,DALLAS_SCORE
0,1,11:42.0,,Turnover by H. Barnes (lost ball; steal by J. Isaac),0,0
1,1,11:35.0,D. Augustin misses 2-pt layup from 3 ft (block by D. Jordan),,0,0
2,1,11:33.0,,Defensive rebound by L. Dončić,0,0
3,1,11:29.0,,J. Brunson makes 2-pt jump shot from 13 ft (assist by L. Dončić),0,2
4,1,11:10.0,D. Augustin misses 3-pt jump shot from 25 ft,,0,2
5,1,11:09.0,,Defensive rebound by Team,0,2
6,1,10:58.0,,D. Jordan misses 2-pt dunk at rim,0,2
7,1,10:57.0,Defensive rebound by J. Isaac,,0,2
8,1,10:50.0,Turnover by N. Vučević (traveling),,0,2
9,1,10:28.0,,L. Dončić makes 2-pt jump shot from 17 ft (assist by D. Jordan),0,4
10,1,10:10.0,J. Simmons misses 3-pt jump shot from 26 ft,,0,4
11,1,10:07.0,,Defensive rebound by D. Jordan,0,4
12,1,10:01.0,,H. Barnes misses 3-pt jump shot from 25 ft,0,4
13,1,9:58.0,Defensive rebound by D. Augustin,,0,4
14,1,9:52.0,A. Gordon misses 2-pt layup from 2 ft,,0,4
15,1,9:51.0,Offensive rebound by Team,,0,4
16,1,9:49.0,Turnover by A. Gordon (traveling),,0,4
17,1,9:39.0,,H. Barnes makes 3-pt jump shot from 26 ft (assist by W. Matthews),0,7
18,1,9:18.0,A. Gordon misses 3-pt jump shot from 23 ft,,0,7
19,1,9:16.0,Offensive rebound by N. Vučević,,0,7
20,1,9:09.0,D. Augustin makes 2-pt layup from 1 ft,,2,7
21,1,8:52.0,,J. Brunson makes 2-pt jump shot from 11 ft,2,9
22,1,8:39.0,N. Vučević misses 2-pt layup from 3 ft,,2,9
23,1,8:38.0,Offensive rebound by N. Vučević,,2,9
24,1,8:34.0,N. Vučević makes 2-pt layup at rim,,4,9
25,1,8:28.0,,D. Jordan misses 2-pt dunk from 2 ft,4,9
26,1,8:28.0,Defensive rebound by J. Isaac,,4,9
27,1,8:22.0,J. Isaac makes 2-pt jump shot from 20 ft,,6,9
28,1,8:04.0,,W. Matthews misses 3-pt jump shot from 25 ft,6,9
29,1,8:02.0,Defensive rebound by N. Vučević,,6,9
30,1,7:53.0,D. Augustin misses 3-pt jump shot from 24 ft,,6,9
31,1,7:49.0,,Defensive rebound by H. Barnes,6,9
32,1,7:38.0,,Turnover by D. Jordan (bad pass),6,9
33,1,7:28.0,N. Vučević misses 2-pt jump shot from 15 ft,,6,9
34,1,7:26.0,,Defensive rebound by W. Matthews,6,9
35,1,7:18.0,,W. Matthews misses 2-pt layup from 1 ft (block by N. Vučević),6,9
36,1,7:15.0,Defensive rebound by J. Simmons,,6,9
37,1,7:11.0,J. Isaac misses 3-pt jump shot from 26 ft,,6,9
38,1,7:06.0,,Defensive rebound by D. Jordan,6,9
39,1,6:56.0,,Personal foul by D. Augustin (drawn by J. Brunson),6,9
40,1,6:56.0,,Dallas full timeout,6,9
41,1,6:51.0,,W. Matthews makes 3-pt jump shot from 25 ft (assist by J. Brunson),6,12
42,1,6:25.0,N. Vučević makes 2-pt jump shot from 11 ft (assist by D. Augustin),,8,12
43,1,6:09.0,,H. Barnes misses 3-pt jump shot from 25 ft,8,12
44,1,6:06.0,Defensive rebound by N. Vučević,,8,12
45,1,5:49.0,J. Simmons makes 3-pt jump shot from 25 ft (assist by N. Vučević),,11,12
46,1,5:32.0,,L. Dončić misses 3-pt jump shot from 25 ft,11,12
47,1,5:29.0,Defensive rebound by J. Isaac,,11,12
48,1,5:19.0,N. Vučević misses 2-pt jump shot from 23 ft,,11,12
49,1,5:17.0,,Defensive rebound by D. Jordan,11,12
50,1,5:09.0,,J. Brunson makes 2-pt jump shot from 7 ft (assist by L. Dončić),11,14
51,1,4:52.0,Personal foul by J. Brunson (drawn by N. Vučević),,11,14
52,1,4:52.0,J. Grant enters the game for D. Augustin,,11,14
53,1,4:52.0,W. Iwundu enters the game for A. Gordon,,11,14
54,1,4:48.0,J. Simmons misses 2-pt jump shot from 21 ft,,11,14
55,1,4:44.0,,Defensive rebound by L. Dončić,11,14
56,1,4:33.0,,H. Barnes misses 2-pt jump shot from 16 ft,11,14
57,1,4:33.0,Defensive rebound by J. Grant,,11,14
58,1,4:18.0,J. Isaac misses 3-pt jump shot from 25 ft,,11,14
59,1,4:14.0,,Defensive rebound by J. Brunson,11,14
60,1,4:08.0,,L. Dončić makes 2-pt jump shot from 6 ft,11,16
61,1,4:08.0,,Shooting foul by J. Isaac (drawn by L. Dončić),11,16
62,1,4:08.0,T. Ross enters the game for J. Simmons,,11,16
63,1,4:08.0,,J. Barea enters the game for H. Barnes,11,16
64,1,4:08.0,,M. Kleber enters the game for J. Brunson,11,16
65,1,4:08.0,,L. Dončić makes free throw 1 of 1,11,17
66,1,3:51.0,Def 3 sec tech foul by Team,,11,17
67,1,3:51.0,T. Ross makes technical free throw,,12,17
68,1,3:43.0,N. Vučević misses 2-pt jump shot from 11 ft,,12,17
69,1,3:40.0,,Defensive rebound by D. Jordan,12,17
70,1,3:29.0,,Personal foul by T. Ross (drawn by L. Dončić),12,17
71,1,3:21.0,,D. Jordan makes 2-pt dunk from 1 ft (assist by L. Dončić),12,19
