,QUARTER,TIME_REMAINING,GOLDEN STATE_ACTION,DENVER_ACTION,GOLDEN STATE_SCORE,DENVER_SCORE
0,1,11:44.0,,Turnover by N. Jokić (bad pass; steal by K. Durant),0,0
1,1,11:39.0,K. Durant makes 2-pt jump shot from 12 ft,,2,0
2,1,11:25.0,,M. Beasley misses 2-pt jump shot from 12 ft,2,0
3,1,11:21.0,Defensive rebound by D. Green,,2,0
4,1,11:14.0,Personal foul by N. Jokić (drawn by K. Durant),,2,0
5,1,11:11.0,K. Thompson makes 3-pt jump shot from 25 ft (assist by K. Durant),,5,0
6,1,10:51.0,,P. Millsap makes 2-pt layup from 2 ft,5,2
7,1,10:39.0,K. Looney misses 2-pt jump shot from 9 ft,,5,2
8,1,10:38.0,Offensive rebound by Team,,5,2
9,1,10:33.0,K. Thompson misses 3-pt jump shot from 23 ft,,5,2
10,1,10:30.0,,Defensive rebound by P. Millsap,5,2
11,1,10:13.0,,N. Jokić misses 2-pt layup from 3 ft (block by K. Looney),5,2
12,1,10:10.0,Defensive rebound by K. Thompson,,5,2
13,1,10:00.0,S. Curry makes 3-pt jump shot from 24 ft (assist by K. Durant),,8,2
14,1,9:46.0,,N. Jokić misses 2-pt jump shot from 4 ft,8,2
15,1,9:43.0,Defensive rebound by K. Looney,,8,2
16,1,9:32.0,S. Curry misses 3-pt jump shot from 26 ft,,8,2
17,1,9:29.0,Offensive rebound by K. Looney,,8,2
18,1,9:29.0,Shooting foul by P. Millsap (drawn by K. Looney),,8,2
19,1,9:29.0,K. Looney makes free throw 1 of 2,,9,2
20,1,9:29.0,K. Looney misses free throw 2 of 2,,9,2
21,1,9:25.0,Offensive rebound by K. Looney,,9,2
22,1,9:21.0,K. Thompson makes 2-pt dunk from 1 ft (assist by S. Curry),,11,2
23,1,9:21.0,,Denver full timeout,11,2
24,1,9:08.0,,M. Beasley makes 3-pt jump shot from 25 ft (assist by N. Jokić),11,5
25,1,8:46.0,K. Thompson makes 3-pt jump shot from 24 ft (assist by K. Durant),,14,5
26,1,8:28.0,,N. Jokić makes 2-pt jump shot from 7 ft,14,7
27,1,8:21.0,K. Thompson makes 3-pt jump shot from 22 ft (assist by K. Durant),,17,7
28,1,8:01.0,,P. Millsap makes 2-pt jump shot from 2 ft (assist by N. Jokić),17,9
29,1,7:52.0,K. Durant makes 3-pt jump shot from 24 ft (assist by D. Green),,20,9
30,1,7:32.0,,J. Murray makes 2-pt jump shot from 21 ft (assist by N. Jokić),20,11
31,1,7:18.0,K. Thompson makes 2-pt jump shot from 20 ft (assist by K. Durant),,22,11
32,1,7:04.0,,P. Millsap makes 2-pt jump shot from 14 ft (assist by J. Murray),22,13
33,1,7:04.0,,W. Barton enters the game for M. Beasley,22,13
34,1,6:46.0,S. Curry makes 3-pt jump shot from 23 ft (assist by K. Looney),,25,13
35,1,6:36.0,,Personal foul by K. Thompson (drawn by J. Murray),25,13
36,1,6:29.0,,J. Murray misses 3-pt jump shot from 25 ft,25,13
37,1,6:25.0,Defensive rebound by S. Curry,,25,13
38,1,6:21.0,D. Green misses 2-pt layup from 1 ft (block by T. Craig),,25,13
39,1,6:18.0,,Defensive rebound by W. Barton,25,13
40,1,6:15.0,,J. Murray makes 3-pt jump shot from 22 ft (assist by W. Barton),25,16
41,1,6:00.0,K. Durant makes 2-pt jump shot from 4 ft,,27,16
42,1,5:47.0,,J. Murray makes 2-pt jump shot from 17 ft,27,18
43,1,5:28.0,Shooting foul by N. Jokić (drawn by K. Looney),,27,18
44,1,5:28.0,K. Looney makes free throw 1 of 2,,28,18
45,1,5:28.0,A. Iguodala enters the game for D. Green,,28,18
46,1,5:28.0,,M. Plumlee enters the game for N. Jokić,28,18
47,1,5:28.0,K. Looney makes free throw 2 of 2,,29,18
48,1,5:13.0,,J. Murray misses 3-pt jump shot from 25 ft,29,18
49,1,5:09.0,Defensive rebound by K. Durant,,29,18
50,1,4:56.0,Turnover by K. Looney (bad pass; steal by P. Millsap),,29,18
51,1,4:50.0,,W. Barton makes 3-pt jump shot from 25 ft (assist by M. Plumlee),29,21
52,1,4:48.0,Golden State full timeout,,29,21
53,1,4:48.0,,J. Hernangómez enters the game for P. Millsap,29,21
54,1,4:34.0,K. Looney makes 2-pt dunk from 1 ft (assist by S. Curry),,31,21
55,1,4:19.0,,J. Hernangómez makes 3-pt jump shot from 23 ft (assist by M. Plumlee),31,24
56,1,4:12.0,S. Curry makes 3-pt jump shot from 27 ft,,34,24
57,1,3:53.0,,Shooting foul by K. Thompson (drawn by M. Plumlee),34,24
58,1,3:53.0,,M. Plumlee makes free throw 1 of 2,34,25
59,1,3:53.0,D. Green enters the game for K. Looney,,34,25
60,1,3:53.0,A. McKinnie enters the game for K. Thompson,,34,25
61,1,3:53.0,,M. Plumlee makes free throw 2 of 2,34,26
62,1,3:35.0,S. Curry misses 3-pt jump shot from 22 ft,,34,26
63,1,3:32.0,Offensive rebound by A. Iguodala,,34,26
64,1,3:31.0,K. Durant makes 3-pt jump shot from 25 ft (assist by A. Iguodala),,37,26
65,1,3:20.0,,Turnover by W. Barton (bad pass; steal by D. Green),37,26
66,1,3:16.0,A. Iguodala makes 2-pt dunk from 1 ft (assist by S. Curry),,39,26
67,1,3:16.0,,Denver full timeout,39,26
68,1,3:08.0,,J. Hernangómez makes 2-pt layup from 2 ft (assist by W. Barton),39,28
69,1,2:51.0,A. McKinnie makes 2-pt dunk from 1 ft (assist by D. Green),,41,28
70,1,2:30.0,,J. Murray misses 3-pt jump shot from 25 ft,41,28
71,1,2:27.0,,Offensive rebound by T. Craig,41,28
72,1,2:26.0,,T. Craig makes 2-pt layup from 2 ft,41,30
73,1,2:10.0,K. Durant makes 2-pt jump shot from 10 ft (assist by D. Green),,43,30
74,1,1:50.0,,M. Plumlee misses 2-pt layup from 2 ft (block by A. Iguodala),43,30
75,1,1:47.0,,Offensive rebound by M. Plumlee,43,30
76,1,1:46.0,,M. Plumlee misses 2-pt layup from 5 ft,43,30
77,1,1:46.0,Defensive rebound by D. Green,,43,30
78,1,1:31.0,A. Iguodala misses 3-pt jump shot from 25 ft,,43,30
79,1,1:28.0,,Defensive rebound by J. Hernangómez,43,30
80,1,1:13.0,,T. Craig misses 3-pt jump shot from 25 ft,43,30
81,1,1:10.0,Defensive rebound by A. McKinnie,,43,30
82,1,1:00.0,S. Curry makes 3-pt jump shot from 24 ft (assist by D. Green),,46,30
83,1,0:40.0,,J. Hernangómez misses 3-pt jump shot from 23 ft,46,30
84,1,0:38.0,,Offensive rebound by M. Plumlee,46,30
85,1,0:36.0,,J. Murray makes 2-pt jump shot from 12 ft (assist by M. Plumlee),46,32
86,1,0:30.0,K. Durant makes 3-pt jump shot from 30 ft,,49,32
87,1,0:07.0,,J. Murray makes 3-pt jump shot from 25 ft,49,35
88,1,0:03.0,K. Durant makes 2-pt dunk from 1 ft,,51,35
89,1,0:00.0,,J. Murray makes 3-pt jump shot from 40 ft,51,38
90,2,11:44.0,Personal foul by M. Morris (drawn by K. Thompson),,51,38
91,2,11:31.0,A. Iguodala makes 2-pt jump shot from 22 ft (assist by D. Green),,53,38
92,2,11:17.0,,W. Barton misses 2-pt jump shot from 3 ft,53,38
93,2,11:16.0,,Offensive rebound by W. Barton,53,38
94,2,11:15.0,,W. Barton misses 2-pt layup from 3 ft,53,38
95,2,11:12.0,Defensive rebound by D. Green,,53,38
96,2,11:04.0,S. Livingston makes 2-pt jump shot from 9 ft,,55,38
97,2,10:49.0,,W. Barton misses 2-pt jump shot from 19 ft,55,38
98,2,10:47.0,Defensive rebound by K. Thompson,,55,38
99,2,10:41.0,S. Livingston makes 2-pt jump shot from 16 ft,,57,38
100,2,10:21.0,,M. Morris misses 2-pt jump shot from 21 ft,57,38
101,2,10:17.0,Defensive rebound by D. Green,,57,38
102,2,10:10.0,D. Green misses 3-pt jump shot from 24 ft,,57,38
103,2,10:07.0,,Defensive rebound by J. Hernangómez,57,38
104,2,9:59.0,,M. Morris makes 2-pt layup from 2 ft (assist by W. Barton),57,40
