,QUARTER,TIME_REMAINING,BROOKLYN_ACTION,CHICAGO_ACTION,BROOKLYN_SCORE,CHICAGO_SCORE
0,1,11:42.0,,K. Dunn makes 2-pt jump shot from 15 ft,0,2
1,1,11:25.0,J. Allen makes 2-pt dunk at rim (assist by R. Hollis-Jefferson),,2,2
2,1,11:10.0,,W. Carter makes 2-pt dunk from 1 ft (assist by J. Holiday),2,4
3,1,10:55.0,J. Allen makes 2-pt layup from 2 ft (assist by J. Harris),,4,4
4,1,10:36.0,,J. Holiday misses 2-pt jump shot from 19 ft,4,4
5,1,10:33.0,Defensive rebound by J. Harris,,4,4
6,1,10:26.0,R. Hollis-Jefferson misses 2-pt layup from 2 ft,,4,4
7,1,10:23.0,,Defensive rebound by L. Markkanen,4,4
8,1,10:11.0,,L. Markkanen makes 2-pt layup from 2 ft (assist by J. Holiday),4,6
9,1,9:46.0,J. Harris misses 3-pt jump shot from 26 ft,,4,6
10,1,9:44.0,,Defensive rebound by W. Carter,4,6
11,1,9:37.0,,L. Markkanen misses 3-pt jump shot from 24 ft,4,6
12,1,9:33.0,Defensive rebound by J. Harris,,4,6
13,1,9:26.0,J. Allen makes 2-pt layup from 2 ft (assist by D. Russell),,6,6
14,1,9:26.0,Shooting foul by R. Arcidiacono (drawn by J. Allen),,6,6
15,1,9:26.0,J. Allen makes free throw 1 of 1,,7,6
16,1,9:17.0,,Shooting foul by R. Kurucs (drawn by K. Dunn),7,6
17,1,9:17.0,,K. Dunn misses free throw 1 of 2,7,6
18,1,9:17.0,,Offensive rebound by Team,7,6
19,1,9:17.0,,K. Dunn makes free throw 2 of 2,7,7
20,1,9:01.0,R. Hollis-Jefferson misses 2-pt layup from 2 ft,,7,7
21,1,8:58.0,,Defensive rebound by L. Markkanen,7,7
22,1,8:49.0,,J. Holiday misses 3-pt jump shot from 23 ft,7,7
23,1,8:45.0,Defensive rebound by D. Russell,,7,7
24,1,8:40.0,R. Hollis-Jefferson misses 2-pt layup from 3 ft,,7,7
25,1,8:38.0,,Defensive rebound by K. Dunn,7,7
26,1,8:26.0,,W. Carter misses 3-pt jump shot from 26 ft,7,7
27,1,8:22.0,Defensive rebound by J. Allen,,7,7
28,1,8:10.0,D. Russell misses 3-pt jump shot from 27 ft,,7,7
29,1,8:07.0,,Defensive rebound by J. Holiday,7,7
30,1,7:55.0,,W. Carter misses 2-pt hook shot from 4 ft,7,7
31,1,7:52.0,Defensive rebound by D. Russell,,7,7
32,1,7:43.0,Turnover by J. Harris (bad pass; steal by K. Dunn),,7,7
33,1,7:43.0,,Personal take foul by D. Russell (drawn by K. Dunn),7,7
34,1,7:35.0,,K. Dunn misses 3-pt jump shot from 25 ft,7,7
35,1,7:35.0,,Offensive rebound by Team,7,7
36,1,7:35.0,Loose ball foul by J. Harris (drawn by L. Markkanen),,7,7
37,1,7:32.0,,Turnover by J. Holiday (bad pass; steal by R. Kurucs),7,7
38,1,7:27.0,R. Kurucs makes 2-pt dunk from 1 ft,,9,7
