,QUARTER,TIME_REMAINING,INDIANA_ACTION,CHICAGO_ACTION,INDIANA_SCORE,CHICAGO_SCORE
0,1,11:38.0,,W. Carter makes 2-pt jump shot from 16 ft (assist by Z. LaVine),0,2
1,1,11:19.0,M. Turner makes 2-pt hook shot from 6 ft,,2,2
2,1,11:07.0,,W. Carter makes 2-pt layup from 1 ft (assist by Z. LaVine),2,4
3,1,10:53.0,T. Young misses 3-pt jump shot from 26 ft,,2,4
4,1,10:49.0,Offensive rebound by M. Turner,,2,4
5,1,10:46.0,Turnover by M. Turner (bad pass; steal by W. Carter),,2,4
6,1,10:27.0,,C. Payne makes 3-pt jump shot from 26 ft (assist by Z. LaVine),2,7
7,1,10:11.0,D. Collison makes 2-pt jump shot from 12 ft,,4,7
8,1,10:11.0,Shooting foul by C. Payne (drawn by D. Collison),,4,7
9,1,10:11.0,D. Collison makes free throw 1 of 1,,5,7
10,1,9:56.0,,W. Carter makes 2-pt layup from 2 ft (assist by C. Payne),5,9
11,1,9:56.0,,Shooting foul by M. Turner (drawn by W. Carter),5,9
12,1,9:56.0,,W. Carter makes free throw 1 of 1,5,10
13,1,9:33.0,D. Collison misses 2-pt layup from 5 ft (block by J. Holiday),,5,10
14,1,9:33.0,Offensive rebound by Team,,5,10
15,1,9:30.0,B. Bogdanović misses 2-pt jump shot from 17 ft,,5,10
16,1,9:30.0,,Defensive rebound by J. Parker,5,10
17,1,9:23.0,,J. Holiday makes 2-pt dunk from 1 ft (assist by J. Parker),5,12
18,1,8:57.0,T. Young misses 2-pt hook shot from 6 ft,,5,12
19,1,8:52.0,,Defensive rebound by W. Carter,5,12
20,1,8:49.0,,W. Carter misses 2-pt jump shot from 12 ft,5,12
21,1,8:44.0,Defensive rebound by T. Young,,5,12
22,1,8:38.0,D. Collison makes 2-pt jump shot from 22 ft,,7,12
23,1,8:23.0,,Z. LaVine makes 2-pt layup from 1 ft,7,14
24,1,8:17.0,Indiana full timeout,,7,14
25,1,8:06.0,Turnover by M. Turner (bad pass; steal by Z. LaVine),,7,14
26,1,7:59.0,,J. Holiday makes 3-pt jump shot from 25 ft (assist by C. Payne),7,17
27,1,7:37.0,B. Bogdanović misses 2-pt hook shot from 7 ft,,7,17
28,1,7:33.0,,Defensive rebound by W. Carter,7,17
29,1,7:19.0,,J. Holiday misses 3-pt jump shot from 24 ft,7,17
30,1,7:15.0,Defensive rebound by V. Oladipo,,7,17
