,QUARTER,TIME_REMAINING,HOUSTON_ACTION,CLEVELAND_ACTION,HOUSTON_SCORE,CLEVELAND_SCORE
0,1,11:47.0,Turnover by J. Harden (bad pass; steal by D. Nwaba),,0,0
1,1,11:34.0,,C. Sexton misses 2-pt jump shot from 10 ft,0,0
2,1,11:33.0,,Offensive rebound by T. Thompson,0,0
3,1,11:33.0,,T. Thompson misses 2-pt layup at rim,0,0
4,1,11:33.0,,Offensive rebound by T. Thompson,0,0
5,1,11:27.0,,C. Sexton makes 2-pt jump shot from 11 ft (assist by T. Thompson),0,2
6,1,11:17.0,Turnover by J. Ennis (bad pass; steal by D. Nwaba),,0,2
7,1,11:07.0,,D. Nwaba makes 2-pt dunk from 1 ft,0,4
8,1,11:00.0,Turnover by J. Harden (out of bounds lost ball),,0,4
9,1,10:38.0,,R. Hood misses 2-pt jump shot from 6 ft,0,4
10,1,10:36.0,Defensive rebound by C. Capela,,0,4
11,1,10:33.0,Personal foul by R. Hood (drawn by C. Capela),,0,4
12,1,10:28.0,Turnover by J. Harden (lost ball; steal by C. Osman),,0,4
13,1,10:24.0,,Turnover by D. Nwaba (traveling),0,4
14,1,10:13.0,J. Harden misses 2-pt jump shot from 10 ft (block by D. Nwaba),,0,4
15,1,10:06.0,,Defensive rebound by T. Thompson,0,4
16,1,10:02.0,,Turnover by C. Osman (bad pass; steal by J. Harden),0,4
17,1,9:58.0,J. Ennis makes 2-pt layup at rim (assist by C. Capela),,2,4
18,1,9:37.0,,C. Sexton makes 2-pt jump shot from 17 ft,2,6
19,1,9:18.0,Turnover by E. Gordon (step out of bounds),,2,6
20,1,8:59.0,,Shooting foul by J. Ennis (drawn by C. Osman),2,6
21,1,8:59.0,,C. Osman makes free throw 1 of 2,2,7
22,1,8:59.0,,C. Osman makes free throw 2 of 2,2,8
23,1,8:49.0,Personal foul by D. Nwaba (drawn by J. Harden),,2,8
24,1,8:38.0,J. Harden misses 2-pt jump shot from 11 ft,,2,8
25,1,8:35.0,Offensive rebound by Team,,2,8
26,1,8:28.0,Shooting foul by C. Osman (drawn by J. Harden),,2,8
27,1,8:28.0,J. Harden makes free throw 1 of 2,,3,8
28,1,8:28.0,J. Harden makes free throw 2 of 2,,4,8
29,1,8:10.0,,D. Nwaba misses 2-pt jump shot from 8 ft,4,8
30,1,8:07.0,Defensive rebound by C. Capela,,4,8
31,1,8:05.0,Turnover by J. Harden (bad pass; steal by T. Thompson),,4,8
32,1,7:59.0,,C. Sexton makes 2-pt layup at rim (assist by C. Osman),4,10
33,1,7:46.0,Shooting foul by C. Osman (drawn by E. Gordon),,4,10
34,1,7:46.0,E. Gordon makes free throw 1 of 2,,5,10
35,1,7:46.0,E. Gordon makes free throw 2 of 2,,6,10
36,1,7:34.0,,D. Nwaba misses 3-pt jump shot from 25 ft,6,10
37,1,7:29.0,Defensive rebound by J. Ennis,,6,10
38,1,7:22.0,J. Harden misses 2-pt layup from 2 ft,,6,10
39,1,7:19.0,,Defensive rebound by T. Thompson,6,10
40,1,7:04.0,,T. Thompson makes 2-pt hook shot from 7 ft,6,12
41,1,6:51.0,Shooting foul by R. Hood (drawn by E. Gordon),,6,12
42,1,6:51.0,,Cleveland full timeout,6,12
43,1,6:51.0,G. Clark enters the game for J. Ennis,,6,12
44,1,6:51.0,,J. Clarkson enters the game for R. Hood,6,12
45,1,6:51.0,E. Gordon makes free throw 1 of 2,,7,12
46,1,6:51.0,E. Gordon makes free throw 2 of 2,,8,12
47,1,6:34.0,,Turnover by C. Sexton (lost ball; steal by E. Gordon),8,12
48,1,6:29.0,E. Gordon makes 2-pt layup from 1 ft,,10,12
49,1,6:17.0,,C. Sexton misses 3-pt jump shot from 25 ft,10,12
50,1,6:17.0,,Offensive rebound by Team,10,12
51,1,6:17.0,,K. Korver enters the game for D. Nwaba,10,12
52,1,6:17.0,,L. Nance enters the game for C. Osman,10,12
53,1,6:16.0,,Turnover by K. Korver (bad pass),10,12
54,1,6:09.0,Personal foul by C. Sexton (drawn by J. Harden),,10,12
55,1,6:09.0,J. Harden misses free throw 1 of 2,,10,12
56,1,6:09.0,Offensive rebound by Team,,10,12
57,1,6:09.0,J. Harden misses free throw 2 of 2,,10,12
58,1,6:05.0,,Defensive rebound by K. Korver,10,12
59,1,5:54.0,,J. Clarkson misses 2-pt jump shot from 16 ft,10,12
60,1,5:51.0,Defensive rebound by C. Capela,,10,12
61,1,5:46.0,J. Harden misses 3-pt jump shot from 28 ft,,10,12
62,1,5:41.0,Offensive rebound by C. Capela,,10,12
63,1,5:30.0,J. Harden makes 3-pt jump shot from 26 ft,,13,12
64,1,5:21.0,,Personal foul by J. Harden (drawn by L. Nance),13,12
65,1,5:21.0,G. Green enters the game for E. Gordon,,13,12
66,1,5:09.0,,K. Korver misses 2-pt jump shot from 22 ft,13,12
67,1,5:05.0,,Offensive rebound by J. Clarkson,13,12
68,1,5:03.0,,J. Clarkson makes 2-pt layup from 1 ft,13,14
69,1,4:51.0,Shooting foul by C. Sexton (drawn by J. Harden),,13,14
70,1,4:51.0,J. Harden makes free throw 1 of 2,,14,14
71,1,4:51.0,J. Harden misses free throw 2 of 2,,14,14
72,1,4:48.0,,Defensive rebound by T. Thompson,14,14
