,QUARTER,TIME_REMAINING,MILWAUKEE_ACTION,NEW YORK_ACTION,MILWAUKEE_SCORE,NEW YORK_SCORE
0,1,11:41.0,B. Lopez misses 3-pt jump shot from 26 ft,,0,0
1,1,11:38.0,,Defensive rebound by T. Hardaway,0,0
2,1,11:22.0,,T. Hardaway misses 2-pt jump shot from 19 ft,0,0
3,1,11:20.0,Defensive rebound by E. Bledsoe,,0,0
4,1,11:12.0,M. Brogdon makes 2-pt layup from 1 ft (assist by E. Bledsoe),,2,0
5,1,10:57.0,,K. Knox misses 3-pt jump shot from 26 ft,2,0
6,1,10:53.0,Defensive rebound by E. Bledsoe,,2,0
7,1,10:52.0,Turnover by E. Bledsoe (bad pass),,2,0
8,1,10:42.0,,T. Hardaway misses 2-pt jump shot from 21 ft,2,0
9,1,10:39.0,Defensive rebound by G. Antetokounmpo,,2,0
10,1,10:24.0,G. Antetokounmpo misses 2-pt dunk from 1 ft,,2,0
11,1,10:20.0,Offensive rebound by M. Brogdon,,2,0
12,1,10:20.0,M. Brogdon makes 3-pt jump shot from 23 ft,,5,0
13,1,10:06.0,,K. Knox misses 2-pt jump shot from 21 ft,5,0
14,1,10:05.0,Defensive rebound by G. Antetokounmpo,,5,0
15,1,9:57.0,M. Brogdon misses 2-pt dunk from 1 ft (block by N. Vonleh),,5,0
16,1,9:54.0,,Defensive rebound by N. Vonleh,5,0
17,1,9:37.0,,E. Mudiay makes 2-pt jump shot from 10 ft,5,2
18,1,9:18.0,B. Lopez makes 2-pt dunk at rim,,7,2
19,1,9:00.0,,E. Freedom misses 2-pt hook shot from 5 ft,7,2
20,1,8:58.0,,Offensive rebound by Team,7,2
21,1,8:51.0,,E. Mudiay misses 3-pt jump shot from 24 ft,7,2
22,1,8:46.0,Defensive rebound by G. Antetokounmpo,,7,2
23,1,8:35.0,K. Middleton misses 2-pt jump shot from 20 ft,,7,2
24,1,8:32.0,,Defensive rebound by K. Knox,7,2
25,1,8:25.0,,T. Hardaway misses 2-pt jump shot from 17 ft,7,2
26,1,8:23.0,Defensive rebound by G. Antetokounmpo,,7,2
27,1,8:15.0,B. Lopez makes 3-pt jump shot from 27 ft (assist by E. Bledsoe),,10,2
28,1,8:14.0,,New York full timeout,10,2
29,1,8:04.0,,Shooting foul by B. Lopez (drawn by K. Knox),10,2
30,1,8:04.0,,K. Knox makes free throw 1 of 2,10,3
31,1,8:04.0,,K. Knox makes free throw 2 of 2,10,4
32,1,7:53.0,Turnover by E. Bledsoe (bad pass; steal by T. Hardaway),,10,4
33,1,7:47.0,,T. Hardaway makes 2-pt jump shot from 10 ft,10,6
34,1,7:25.0,Turnover by M. Brogdon (bad pass; steal by E. Freedom),,10,6
35,1,7:18.0,,K. Knox makes 3-pt jump shot from 23 ft (assist by E. Mudiay),10,9
36,1,7:01.0,K. Middleton misses 3-pt jump shot from 26 ft,,10,9
37,1,7:00.0,,Defensive rebound by T. Hardaway,10,9
38,1,6:57.0,,Shooting foul by K. Middleton (drawn by K. Knox),10,9
39,1,6:57.0,Milwaukee full timeout,,10,9
40,1,6:57.0,S. Brown enters the game for M. Brogdon,,10,9
41,1,6:57.0,,K. Knox makes free throw 1 of 2,10,10
42,1,6:57.0,,K. Knox makes free throw 2 of 2,10,11
43,1,6:42.0,Personal foul by N. Vonleh (drawn by G. Antetokounmpo),,10,11
44,1,6:35.0,G. Antetokounmpo makes 2-pt jump shot from 20 ft,,12,11
45,1,6:20.0,,Turnover by E. Mudiay (bad pass; steal by G. Antetokounmpo),12,11
46,1,6:18.0,Personal foul by K. Knox (drawn by G. Antetokounmpo),,12,11
47,1,6:11.0,K. Middleton misses 2-pt jump shot from 10 ft,,12,11
48,1,6:08.0,,Defensive rebound by N. Vonleh,12,11
49,1,6:01.0,,T. Hardaway misses 2-pt layup from 1 ft (block by B. Lopez),12,11
50,1,5:57.0,Defensive rebound by S. Brown,,12,11
51,1,5:56.0,E. Bledsoe misses 2-pt layup from 1 ft,,12,11
52,1,5:56.0,Offensive rebound by G. Antetokounmpo,,12,11
53,1,5:52.0,G. Antetokounmpo misses 2-pt layup from 1 ft,,12,11
54,1,5:52.0,,Defensive rebound by E. Freedom,12,11
55,1,5:50.0,,T. Hardaway makes 3-pt jump shot from 23 ft (assist by E. Mudiay),12,14
56,1,5:39.0,Offensive foul by G. Antetokounmpo (drawn by N. Vonleh),,12,14
57,1,5:39.0,Turnover by G. Antetokounmpo (offensive foul),,12,14
58,1,5:39.0,G. Hill enters the game for G. Antetokounmpo,,12,14
59,1,5:39.0,D. Wilson enters the game for E. Bledsoe,,12,14
60,1,5:30.0,,Personal foul by S. Brown (drawn by T. Hardaway),12,14
61,1,5:30.0,,D. Dotson enters the game for E. Freedom,12,14
62,1,5:25.0,,T. Hardaway misses 2-pt jump shot from 12 ft,12,14
63,1,5:22.0,Defensive rebound by S. Brown,,12,14
64,1,5:14.0,S. Brown misses 2-pt layup from 2 ft,,12,14
65,1,5:11.0,,Defensive rebound by N. Vonleh,12,14
66,1,5:04.0,,E. Mudiay makes 2-pt dunk at rim (assist by D. Dotson),12,16
67,1,4:54.0,Turnover by K. Middleton (offensive foul),,12,16
68,1,4:54.0,Offensive foul by K. Middleton (drawn by T. Hardaway),,12,16
69,1,4:45.0,,Turnover by E. Mudiay (bad pass; steal by K. Middleton),12,16
70,1,4:39.0,B. Lopez misses 3-pt jump shot from 27 ft,,12,16
71,1,4:37.0,,Defensive rebound by N. Vonleh,12,16
72,1,4:24.0,,K. Knox misses 3-pt jump shot from 22 ft,12,16
73,1,4:20.0,,Offensive rebound by N. Vonleh,12,16
74,1,4:18.0,,N. Vonleh misses 2-pt layup from 2 ft,12,16
75,1,4:17.0,,Offensive rebound by K. Knox,12,16
76,1,4:17.0,,K. Knox makes 2-pt layup at rim,12,18
77,1,4:17.0,,Violation by Team (delay of game),12,18
78,1,4:03.0,K. Middleton makes 3-pt jump shot from 25 ft,,15,18
79,1,4:03.0,Shooting foul by N. Vonleh (drawn by K. Middleton),,15,18
80,1,4:03.0,T. Maker enters the game for B. Lopez,,15,18
81,1,4:03.0,,L. Kornet enters the game for N. Vonleh,15,18
82,1,4:03.0,K. Middleton makes free throw 1 of 1,,16,18
83,1,3:48.0,,L. Kornet misses 3-pt jump shot from 27 ft,16,18
84,1,3:45.0,Defensive rebound by D. Wilson,,16,18
85,1,3:30.0,K. Middleton misses 3-pt jump shot from 25 ft,,16,18
86,1,3:27.0,Offensive rebound by Team,,16,18
87,1,3:27.0,M. Brogdon enters the game for K. Middleton,,16,18
88,1,3:27.0,,A. Trier enters the game for T. Hardaway,16,18
89,1,3:18.0,S. Brown misses 2-pt layup from 1 ft,,16,18
90,1,3:16.0,,Defensive rebound by L. Kornet,16,18
91,1,3:11.0,,E. Mudiay misses 2-pt layup from 1 ft,16,18
92,1,3:09.0,Defensive rebound by T. Maker,,16,18
93,1,3:04.0,T. Maker misses 2-pt layup from 3 ft,,16,18
94,1,3:01.0,,Defensive rebound by D. Dotson,16,18
95,1,2:57.0,,A. Trier makes 2-pt jump shot from 10 ft (assist by D. Dotson),16,20
96,1,2:47.0,Shooting foul by D. Dotson (drawn by M. Brogdon),,16,20
97,1,2:47.0,M. Brogdon makes free throw 1 of 2,,17,20
98,1,2:47.0,M. Brogdon makes free throw 2 of 2,,18,20
99,1,2:32.0,,Personal foul by D. Wilson (drawn by K. Knox),18,20
100,1,2:24.0,,K. Knox misses 2-pt jump shot from 22 ft,18,20
101,1,2:20.0,Defensive rebound by M. Brogdon,,18,20
102,1,2:15.0,Shooting foul by K. Knox (drawn by T. Maker),,18,20
103,1,2:15.0,T. Maker misses free throw 1 of 2,,18,20
104,1,2:15.0,Offensive rebound by Team,,18,20
105,1,2:15.0,,T. Burke enters the game for K. Knox,18,20
106,1,2:15.0,,L. Thomas enters the game for E. Mudiay,18,20
107,1,2:15.0,T. Maker misses free throw 2 of 2,,18,20
108,1,2:11.0,,Defensive rebound by L. Kornet,18,20
109,1,2:03.0,,Turnover by D. Dotson (bad pass),18,20
110,1,1:52.0,T. Maker misses 3-pt jump shot from 27 ft,,18,20
