,QUARTER,TIME_REMAINING,LA CLIPPERS_ACTION,WASHINGTON_ACTION,LA CLIPPERS_SCORE,WASHINGTON_SCORE
0,1,11:46.0,,T. Bryant makes 2-pt dunk from 2 ft (assist by B. Beal),0,2
1,1,11:30.0,T. Harris makes 3-pt jump shot from 26 ft,,3,2
2,1,11:06.0,,O. Porter misses 3-pt jump shot from 25 ft,3,2
3,1,11:01.0,Defensive rebound by T. Harris,,3,2
4,1,11:00.0,M. Gortat misses 2-pt layup from 2 ft (block by J. Wall),,3,2
5,1,11:00.0,Offensive rebound by Team,,3,2
6,1,10:58.0,T. Harris misses 2-pt jump shot from 15 ft,,3,2
7,1,10:54.0,,Defensive rebound by J. Wall,3,2
8,1,10:50.0,,J. Wall makes 3-pt jump shot from 25 ft,3,5
9,1,10:33.0,Turnover by A. Bradley (bad pass),,3,5
10,1,10:25.0,,J. Wall misses 3-pt jump shot from 25 ft,3,5
11,1,10:23.0,Defensive rebound by T. Harris,,3,5
12,1,10:16.0,M. Gortat misses 2-pt layup from 2 ft (block by O. Porter),,3,5
13,1,10:13.0,Offensive rebound by S. Gilgeous-Alexander,,3,5
14,1,10:07.0,Personal foul by J. Wall (drawn by S. Gilgeous-Alexander),,3,5
15,1,10:06.0,Personal foul by K. Oubre (drawn by T. Harris),,3,5
16,1,9:55.0,T. Harris makes 2-pt jump shot from 11 ft,,5,5
17,1,9:43.0,,Personal foul by A. Bradley (drawn by B. Beal),5,5
18,1,9:37.0,,B. Beal misses 2-pt jump shot from 6 ft,5,5
19,1,9:37.0,Defensive rebound by Team,,5,5
20,1,9:24.0,M. Gortat makes 2-pt dunk from 2 ft (assist by S. Gilgeous-Alexander),,7,5
21,1,9:11.0,,B. Beal misses 2-pt jump shot from 15 ft,7,5
22,1,9:08.0,Defensive rebound by M. Gortat,,7,5
23,1,8:53.0,M. Gortat misses 2-pt dunk from 3 ft (block by T. Bryant),,7,5
24,1,8:49.0,,Defensive rebound by T. Bryant,7,5
25,1,8:44.0,,T. Bryant makes 2-pt layup at rim (assist by J. Wall),7,7
26,1,8:21.0,T. Harris makes 3-pt jump shot from 26 ft (assist by D. Gallinari),,10,7
27,1,8:03.0,,K. Oubre misses 2-pt layup from 3 ft,10,7
28,1,8:00.0,Defensive rebound by T. Harris,,10,7
29,1,7:52.0,A. Bradley makes 2-pt jump shot from 19 ft,,12,7
30,1,7:32.0,,B. Beal makes 2-pt jump shot from 17 ft,12,9
31,1,7:17.0,A. Bradley makes 2-pt jump shot from 12 ft (assist by D. Gallinari),,14,9
32,1,7:04.0,,Turnover by T. Bryant (bad pass; steal by S. Gilgeous-Alexander),14,9
33,1,6:59.0,S. Gilgeous-Alexander makes 2-pt layup from 1 ft,,16,9
34,1,6:59.0,,Washington full timeout,16,9
35,1,6:41.0,,T. Bryant misses 3-pt jump shot from 22 ft,16,9
36,1,6:38.0,Defensive rebound by D. Gallinari,,16,9
37,1,6:28.0,Turnover by A. Bradley (bad pass; steal by O. Porter),,16,9
38,1,6:24.0,,J. Wall makes 2-pt dunk from 1 ft (assist by B. Beal),16,11
39,1,6:11.0,T. Harris makes 2-pt layup from 1 ft (assist by M. Gortat),,18,11
40,1,5:54.0,,K. Oubre makes 3-pt jump shot from 26 ft (assist by J. Wall),18,14
41,1,5:40.0,S. Gilgeous-Alexander makes 2-pt jump shot from 14 ft,,20,14
42,1,5:15.0,,K. Oubre misses 2-pt jump shot from 15 ft,20,14
43,1,5:12.0,Defensive rebound by M. Gortat,,20,14
44,1,5:05.0,Def 3 sec tech foul by Team,,20,14
45,1,5:05.0,D. Gallinari makes technical free throw,,21,14
46,1,5:05.0,,M. Morris enters the game for T. Bryant,21,14
47,1,4:51.0,D. Gallinari misses 3-pt jump shot from 27 ft,,21,14
48,1,4:49.0,,Defensive rebound by M. Morris,21,14
49,1,4:42.0,,J. Wall misses 2-pt jump shot from 14 ft,21,14
50,1,4:39.0,Defensive rebound by M. Gortat,,21,14
51,1,4:33.0,M. Gortat makes 2-pt layup from 3 ft (assist by T. Harris),,23,14
52,1,4:33.0,Shooting foul by K. Oubre (drawn by M. Gortat),,23,14
53,1,4:33.0,P. Beverley enters the game for A. Bradley,,23,14
54,1,4:33.0,,A. Rivers enters the game for K. Oubre,23,14
55,1,4:33.0,M. Gortat makes free throw 1 of 1,,24,14
56,1,4:26.0,,Shooting foul by M. Gortat (drawn by B. Beal),24,14
57,1,4:26.0,,B. Beal makes free throw 1 of 2,24,15
58,1,4:26.0,M. Harrell enters the game for M. Gortat,,24,15
59,1,4:26.0,,B. Beal makes free throw 2 of 2,24,16
60,1,4:02.0,M. Harrell misses 2-pt hook shot from 5 ft,,24,16
61,1,4:00.0,,Defensive rebound by O. Porter,24,16
62,1,3:54.0,,M. Morris misses 2-pt jump shot from 11 ft,24,16
63,1,3:50.0,Defensive rebound by T. Harris,,24,16
64,1,3:38.0,Shooting foul by B. Beal (drawn by D. Gallinari),,24,16
65,1,3:38.0,D. Gallinari makes free throw 1 of 2,,25,16
66,1,3:38.0,,J. Green enters the game for O. Porter,25,16
67,1,3:38.0,D. Gallinari makes free throw 2 of 2,,26,16
68,1,3:24.0,,M. Morris misses 3-pt jump shot from 25 ft,26,16
