,QUARTER,TIME_REMAINING,HOUSTON_ACTION,INDIANA_ACTION,HOUSTON_SCORE,INDIANA_SCORE
0,1,11:55.0,J. Ennis makes 2-pt layup from 2 ft,,2,0
1,1,11:35.0,,M. Turner misses 2-pt jump shot from 6 ft (block by C. Capela),2,0
2,1,11:35.0,,Offensive rebound by Team,2,0
3,1,11:30.0,,M. Turner misses 2-pt jump shot from 8 ft,2,0
4,1,11:28.0,Defensive rebound by C. Capela,,2,0
5,1,11:15.0,P. Tucker misses 3-pt jump shot from 25 ft,,2,0
6,1,11:11.0,,Defensive rebound by B. Bogdanović,2,0
7,1,10:52.0,,V. Oladipo makes 2-pt layup from 1 ft (assist by D. Collison),2,2
8,1,10:31.0,J. Harden makes 2-pt layup from 1 ft (assist by C. Capela),,4,2
9,1,10:24.0,,D. Collison makes 2-pt layup from 2 ft,4,4
10,1,10:12.0,J. Ennis misses 2-pt layup from 2 ft (block by M. Turner),,4,4
11,1,10:08.0,Offensive rebound by C. Capela,,4,4
12,1,10:08.0,C. Capela misses 2-pt layup from 4 ft,,4,4
13,1,10:04.0,Offensive rebound by C. Capela,,4,4
14,1,10:04.0,C. Capela makes 2-pt dunk at rim,,6,4
15,1,9:51.0,,T. Young misses 2-pt layup from 2 ft,6,4
16,1,9:48.0,,Offensive rebound by T. Young,6,4
17,1,9:48.0,,T. Young makes 2-pt layup from 1 ft,6,6
18,1,9:39.0,J. Ennis makes 2-pt layup from 2 ft (assist by C. Paul),,8,6
19,1,9:24.0,,Turnover by T. Young (bad pass; steal by P. Tucker),8,6
20,1,9:13.0,J. Harden makes 3-pt jump shot from 27 ft,,11,6
21,1,8:52.0,,Personal foul by J. Harden (drawn by M. Turner),11,6
22,1,8:45.0,,V. Oladipo makes 2-pt layup from 1 ft,11,8
23,1,8:38.0,Personal foul by V. Oladipo (drawn by C. Paul),,11,8
24,1,8:29.0,C. Capela misses 2-pt layup from 1 ft (block by M. Turner),,11,8
25,1,8:25.0,,Defensive rebound by T. Young,11,8
26,1,8:15.0,,Shooting foul by J. Ennis (drawn by B. Bogdanović),11,8
27,1,8:15.0,,B. Bogdanović makes free throw 1 of 3,11,9
28,1,8:15.0,,B. Bogdanović makes free throw 2 of 3,11,10
29,1,8:15.0,,B. Bogdanović misses free throw 3 of 3,11,10
30,1,8:14.0,Defensive rebound by J. Harden,,11,10
31,1,8:05.0,C. Capela makes 2-pt dunk from 1 ft (assist by C. Paul),,13,10
32,1,7:49.0,,T. Young misses 2-pt hook shot from 6 ft,13,10
33,1,7:47.0,Defensive rebound by C. Capela,,13,10
34,1,7:43.0,Personal foul by D. Collison (drawn by J. Harden),,13,10
35,1,7:27.0,J. Harden makes 3-pt jump shot from 27 ft,,16,10
36,1,7:12.0,,V. Oladipo misses 3-pt jump shot from 27 ft,16,10
37,1,7:10.0,Defensive rebound by C. Capela,,16,10
38,1,6:53.0,J. Ennis makes 3-pt jump shot from 28 ft (assist by J. Harden),,19,10
39,1,6:45.0,,Indiana full timeout,19,10
40,1,6:45.0,C. Anthony enters the game for C. Paul,,19,10
41,1,6:45.0,G. Green enters the game for P. Tucker,,19,10
42,1,6:38.0,,Indiana full timeout,19,10
43,1,6:30.0,,V. Oladipo makes 2-pt jump shot from 19 ft,19,12
44,1,6:13.0,C. Capela makes 2-pt dunk from 1 ft (assist by J. Harden),,21,12
45,1,5:52.0,,Shooting foul by J. Harden (drawn by M. Turner),21,12
46,1,5:52.0,,D. Sabonis enters the game for T. Young,21,12
47,1,5:52.0,,M. Turner makes free throw 1 of 2,21,13
48,1,5:52.0,,M. Turner misses free throw 2 of 2,21,13
49,1,5:52.0,,Offensive rebound by Team,21,13
50,1,5:51.0,Loose ball foul by C. Anthony (drawn by D. Sabonis),,21,13
51,1,5:40.0,,B. Bogdanović makes 3-pt jump shot from 27 ft,21,16
52,1,5:21.0,C. Anthony misses 3-pt jump shot from 28 ft,,21,16
53,1,5:18.0,,Defensive rebound by Team,21,16
54,1,5:18.0,G. Clark enters the game for J. Ennis,,21,16
55,1,4:59.0,,Turnover by M. Turner (lost ball; steal by G. Clark),21,16
56,1,4:38.0,J. Harden misses 3-pt jump shot from 27 ft,,21,16
57,1,4:35.0,,Defensive rebound by V. Oladipo,21,16
58,1,4:32.0,,V. Oladipo makes 2-pt layup at rim,21,18
59,1,4:32.0,,C. Joseph enters the game for B. Bogdanović,21,18
60,1,4:06.0,J. Harden makes 3-pt jump shot from 24 ft,,24,18
61,1,3:53.0,,D. Collison misses 2-pt layup from 1 ft (block by G. Clark),24,18
62,1,3:49.0,Defensive rebound by G. Green,,24,18
63,1,3:41.0,J. Harden misses 3-pt jump shot from 27 ft,,24,18
64,1,3:38.0,,Defensive rebound by D. Collison,24,18
65,1,3:24.0,,Turnover by V. Oladipo (bad pass),24,18
66,1,3:24.0,,T. Evans enters the game for D. Collison,24,18
67,1,3:10.0,Turnover by J. Harden (bad pass; steal by C. Joseph),,24,18
