,QUARTER,TIME_REMAINING,MINNESOTA_ACTION,BROOKLYN_ACTION,MINNESOTA_SCORE,BROOKLYN_SCORE
0,1,11:44.0,K. Towns misses 2-pt jump shot from 17 ft,,0,0
1,1,11:40.0,,Defensive rebound by D. Russell,0,0
2,1,11:18.0,,J. Dudley makes 2-pt jump shot from 5 ft (assist by J. Harris),0,2
3,1,11:02.0,A. Wiggins makes 3-pt jump shot from 26 ft (assist by T. Gibson),,3,2
4,1,10:36.0,,Turnover by J. Harris (bad pass; steal by T. Gibson),3,2
5,1,10:30.0,K. Towns misses 3-pt jump shot from 26 ft,,3,2
6,1,10:26.0,,Defensive rebound by A. Crabbe,3,2
7,1,10:10.0,,J. Dudley misses 3-pt jump shot from 26 ft,3,2
8,1,10:08.0,Defensive rebound by Team,,3,2
9,1,10:08.0,,Loose ball foul by J. Allen (drawn by A. Wiggins),3,2
10,1,9:54.0,A. Wiggins misses 2-pt jump shot from 17 ft,,3,2
11,1,9:51.0,,Defensive rebound by A. Crabbe,3,2
12,1,9:44.0,,J. Harris misses 3-pt jump shot from 26 ft,3,2
13,1,9:42.0,Defensive rebound by K. Towns,,3,2
14,1,9:31.0,K. Towns misses 3-pt jump shot from 23 ft,,3,2
15,1,9:28.0,,Defensive rebound by J. Harris,3,2
16,1,9:28.0,,Brooklyn full timeout,3,2
17,1,9:09.0,,A. Crabbe misses 3-pt jump shot from 26 ft,3,2
18,1,9:06.0,Defensive rebound by J. Teague,,3,2
19,1,8:59.0,J. Teague misses 2-pt jump shot from 6 ft,,3,2
20,1,8:55.0,Offensive rebound by T. Gibson,,3,2
21,1,8:55.0,T. Gibson makes 2-pt layup at rim,,5,2
22,1,8:44.0,,J. Allen misses 2-pt layup from 5 ft (block by K. Towns),5,2
23,1,8:42.0,,Offensive rebound by J. Allen,5,2
24,1,8:42.0,,Personal foul by K. Towns (drawn by J. Allen),5,2
25,1,8:35.0,,D. Russell misses 3-pt jump shot from 26 ft,5,2
26,1,8:33.0,Defensive rebound by T. Gibson,,5,2
27,1,8:23.0,T. Gibson makes 2-pt hook shot from 5 ft (assist by J. Teague),,7,2
28,1,8:11.0,,J. Harris makes 3-pt jump shot from 26 ft (assist by D. Russell),7,5
29,1,7:56.0,A. Wiggins makes 2-pt jump shot from 10 ft,,9,5
30,1,7:40.0,,D. Russell makes 2-pt jump shot from 15 ft (assist by J. Dudley),9,7
31,1,7:21.0,K. Towns makes 2-pt dunk from 1 ft (assist by J. Teague),,11,7
32,1,6:59.0,,Turnover by A. Crabbe (out of bounds lost ball),11,7
33,1,6:44.0,T. Gibson makes 3-pt jump shot from 22 ft (assist by J. Teague),,14,7
34,1,6:18.0,,D. Russell misses 3-pt jump shot from 27 ft,14,7
35,1,6:15.0,Defensive rebound by A. Wiggins,,14,7
36,1,6:00.0,T. Gibson misses 2-pt jump shot from 8 ft,,14,7
37,1,5:56.0,,Defensive rebound by D. Russell,14,7
38,1,5:47.0,,Shooting foul by K. Towns (drawn by D. Russell),14,7
39,1,5:47.0,,D. Russell makes free throw 1 of 2,14,8
40,1,5:47.0,G. Dieng enters the game for R. Covington,,14,8
41,1,5:47.0,D. Rose enters the game for K. Towns,,14,8
42,1,5:47.0,,S. Dinwiddie enters the game for J. Dudley,14,8
43,1,5:47.0,,R. Hollis-Jefferson enters the game for J. Harris,14,8
44,1,5:47.0,,D. Russell misses free throw 2 of 2,14,8
45,1,5:45.0,Defensive rebound by T. Gibson,,14,8
46,1,5:36.0,A. Wiggins misses 2-pt jump shot from 13 ft (block by A. Crabbe),,14,8
47,1,5:32.0,,Defensive rebound by J. Allen,14,8
48,1,5:23.0,,A. Crabbe makes 3-pt jump shot from 25 ft (assist by R. Hollis-Jefferson),14,11
49,1,5:10.0,Turnover by J. Teague (bad pass; steal by R. Hollis-Jefferson),,14,11
50,1,5:04.0,,A. Crabbe makes 3-pt jump shot from 23 ft (assist by D. Russell),14,14
51,1,4:54.0,Minnesota full timeout,,14,14
52,1,4:54.0,,D. Carroll enters the game for J. Allen,14,14
53,1,4:54.0,,E. Davis enters the game for A. Crabbe,14,14
54,1,4:44.0,G. Dieng misses 2-pt jump shot from 13 ft,,14,14
55,1,4:42.0,,Defensive rebound by D. Russell,14,14
56,1,4:31.0,,D. Russell misses 3-pt jump shot from 26 ft,14,14
57,1,4:27.0,Defensive rebound by J. Teague,,14,14
58,1,4:22.0,G. Dieng misses 2-pt jump shot from 18 ft,,14,14
59,1,4:15.0,,Defensive rebound by E. Davis,14,14
60,1,4:04.0,,S. Dinwiddie makes 3-pt jump shot from 25 ft (assist by E. Davis),14,17
61,1,3:46.0,J. Teague misses 3-pt jump shot from 26 ft,,14,17
62,1,3:41.0,,Defensive rebound by R. Hollis-Jefferson,14,17
63,1,3:36.0,,Turnover by D. Russell (lost ball; steal by G. Dieng),14,17
64,1,3:32.0,D. Rose makes 2-pt layup from 2 ft (assist by J. Teague),,16,17
65,1,3:20.0,,Shooting foul by T. Gibson (drawn by R. Hollis-Jefferson),16,17
66,1,3:20.0,,R. Hollis-Jefferson misses free throw 1 of 2,16,17
67,1,3:20.0,,Offensive rebound by Team,16,17
68,1,3:20.0,T. Jones enters the game for T. Gibson,,16,17
