,QUARTER,TIME_REMAINING,ORLANDO_ACTION,NEW YORK_ACTION,ORLANDO_SCORE,NEW YORK_SCORE
0,1,11:45.0,A. Gordon makes 2-pt layup from 1 ft (assist by N. Vučević),,2,0
1,1,11:29.0,,D. Dotson misses 2-pt jump shot from 16 ft,2,0
2,1,11:27.0,Defensive rebound by J. Isaac,,2,0
3,1,11:18.0,N. Vučević makes 2-pt layup from 2 ft (assist by D. Augustin),,4,0
4,1,11:08.0,,Shooting foul by D. Augustin (drawn by D. Smith),4,0
5,1,11:08.0,,D. Smith misses free throw 1 of 2,4,0
6,1,11:08.0,,Offensive rebound by Team,4,0
7,1,11:08.0,,D. Smith makes free throw 2 of 2,4,1
8,1,10:48.0,J. Isaac makes 3-pt jump shot from 23 ft (assist by N. Vučević),,7,1
9,1,10:35.0,,K. Knox misses 2-pt jump shot from 19 ft (block by A. Gordon),7,1
10,1,10:33.0,Defensive rebound by J. Isaac,,7,1
11,1,10:17.0,N. Vučević misses 2-pt hook shot from 5 ft,,7,1
12,1,10:15.0,,Defensive rebound by L. Thomas,7,1
13,1,10:08.0,,D. Smith misses 2-pt layup from 2 ft (block by N. Vučević),7,1
14,1,10:07.0,Defensive rebound by E. Fournier,,7,1
15,1,10:06.0,Turnover by E. Fournier (bad pass),,7,1
16,1,9:46.0,,K. Knox misses 2-pt layup from 2 ft,7,1
17,1,9:44.0,Defensive rebound by E. Fournier,,7,1
18,1,9:30.0,J. Isaac misses 2-pt dunk from 2 ft (block by D. Smith),,7,1
19,1,9:29.0,Offensive rebound by Team,,7,1
20,1,9:27.0,E. Fournier misses 3-pt jump shot from 23 ft,,7,1
21,1,9:25.0,,Defensive rebound by D. Dotson,7,1
22,1,9:17.0,,K. Knox misses 3-pt jump shot from 26 ft,7,1
23,1,9:15.0,,Offensive rebound by N. Vonleh,7,1
24,1,9:10.0,,L. Thomas misses 3-pt jump shot from 26 ft,7,1
25,1,9:08.0,Defensive rebound by D. Augustin,,7,1
26,1,9:05.0,Turnover by D. Augustin (lost ball; steal by D. Dotson),,7,1
27,1,9:02.0,,D. Dotson makes 2-pt layup from 1 ft,7,3
28,1,8:42.0,E. Fournier makes 2-pt layup from 6 ft,,9,3
29,1,8:35.0,,New York full timeout,9,3
30,1,8:26.0,,D. Dotson misses 2-pt jump shot from 17 ft,9,3
31,1,8:24.0,Defensive rebound by A. Gordon,,9,3
32,1,8:13.0,A. Gordon makes 2-pt layup from 2 ft (assist by N. Vučević),,11,3
33,1,8:13.0,Shooting foul by L. Thomas (drawn by A. Gordon),,11,3
34,1,8:13.0,A. Gordon makes free throw 1 of 1,,12,3
35,1,8:02.0,,D. Dotson misses 3-pt jump shot from 25 ft,12,3
36,1,8:00.0,,Offensive rebound by L. Thomas,12,3
37,1,7:56.0,,Shooting foul by A. Gordon (drawn by L. Thomas),12,3
38,1,7:56.0,,L. Thomas misses free throw 1 of 2,12,3
39,1,7:56.0,,Offensive rebound by Team,12,3
40,1,7:56.0,,L. Thomas makes free throw 2 of 2,12,4
41,1,7:42.0,N. Vučević makes 2-pt jump shot from 14 ft (assist by E. Fournier),,14,4
42,1,7:27.0,,D. Smith misses 2-pt jump shot from 17 ft,14,4
43,1,7:25.0,Defensive rebound by N. Vučević,,14,4
44,1,7:20.0,Turnover by D. Augustin (out of bounds lost ball),,14,4
45,1,7:20.0,,E. Mudiay enters the game for D. Dotson,14,4
46,1,7:20.0,,M. Robinson enters the game for N. Vonleh,14,4
47,1,7:12.0,,Turnover by L. Thomas (step out of bounds),14,4
48,1,7:05.0,Personal foul by L. Thomas (drawn by A. Gordon),,14,4
49,1,6:55.0,A. Gordon misses 3-pt jump shot from 26 ft,,14,4
50,1,6:53.0,,Defensive rebound by K. Knox,14,4
51,1,6:48.0,,K. Knox misses 2-pt layup from 2 ft (block by J. Isaac),14,4
52,1,6:47.0,,Offensive rebound by Team,14,4
53,1,6:47.0,,H. Ellenson enters the game for L. Thomas,14,4
54,1,6:34.0,,D. Smith misses 2-pt jump shot from 14 ft,14,4
55,1,6:32.0,,Offensive rebound by M. Robinson,14,4
56,1,6:30.0,,M. Robinson makes 2-pt dunk from 1 ft,14,6
