,QUARTER,TIME_REMAINING,WASHINGTON_ACTION,PORTLAND_ACTION,WASHINGTON_SCORE,PORTLAND_SCORE
0,1,11:48.0,,J. Layman makes 2-pt dunk at rim (assist by D. Lillard),0,2
1,1,11:31.0,O. Porter makes 2-pt jump shot from 17 ft,,2,2
2,1,11:20.0,,C. McCollum misses 2-pt jump shot from 3 ft,2,2
3,1,11:19.0,Defensive rebound by B. Beal,,2,2
4,1,11:08.0,M. Morris misses 3-pt jump shot from 24 ft,,2,2
5,1,11:06.0,,Defensive rebound by J. Nurkić,2,2
6,1,10:57.0,Violation by Team (kicked ball),,2,2
7,1,10:50.0,,C. McCollum misses 3-pt jump shot from 26 ft,2,2
8,1,10:47.0,,Offensive rebound by J. Nurkić,2,2
9,1,10:47.0,,J. Nurkić misses 2-pt layup from 1 ft,2,2
10,1,10:47.0,,Offensive rebound by Team,2,2
11,1,10:41.0,,Shooting foul by I. Mahinmi (drawn by D. Lillard),2,2
12,1,10:41.0,,D. Lillard makes free throw 1 of 2,2,3
13,1,10:41.0,,D. Lillard makes free throw 2 of 2,2,4
14,1,10:32.0,Personal foul by J. Layman (drawn by B. Beal),,2,4
15,1,10:24.0,Def 3 sec tech foul by Team,,2,4
16,1,10:24.0,B. Beal misses technical free throw,,2,4
17,1,10:24.0,Offensive rebound by Team,,2,4
18,1,10:20.0,B. Beal misses 2-pt jump shot from 20 ft,,2,4
19,1,10:17.0,Offensive rebound by M. Morris,,2,4
20,1,10:11.0,J. Wall misses 2-pt jump shot from 15 ft,,2,4
21,1,10:07.0,,Defensive rebound by A. Aminu,2,4
22,1,10:00.0,,A. Aminu misses 3-pt jump shot from 23 ft,2,4
23,1,9:58.0,Defensive rebound by M. Morris,,2,4
24,1,9:51.0,B. Beal makes 2-pt jump shot from 15 ft,,4,4
25,1,9:25.0,,C. McCollum misses 2-pt jump shot from 10 ft,4,4
26,1,9:23.0,Defensive rebound by B. Beal,,4,4
27,1,9:12.0,M. Morris makes 3-pt jump shot from 25 ft (assist by J. Wall),,7,4
28,1,8:54.0,,J. Nurkić makes 2-pt hook shot from 7 ft (assist by D. Lillard),7,6
29,1,8:35.0,I. Mahinmi misses 3-pt jump shot from 22 ft,,7,6
30,1,8:33.0,,Defensive rebound by A. Aminu,7,6
31,1,8:28.0,,J. Layman makes 2-pt dunk at rim (assist by J. Nurkić),7,8
32,1,8:11.0,M. Morris makes 3-pt jump shot from 24 ft (assist by I. Mahinmi),,10,8
33,1,8:00.0,,Shooting foul by I. Mahinmi (drawn by D. Lillard),10,8
34,1,8:00.0,,D. Lillard makes free throw 1 of 2,10,9
35,1,8:00.0,J. Smith enters the game for I. Mahinmi,,10,9
36,1,8:00.0,,D. Lillard misses free throw 2 of 2,10,9
37,1,7:57.0,,Offensive rebound by J. Nurkić,10,9
38,1,7:53.0,,A. Aminu makes 2-pt layup from 1 ft (assist by J. Nurkić),10,11
39,1,7:41.0,B. Beal makes 2-pt layup from 1 ft,,12,11
40,1,7:25.0,,C. McCollum misses 3-pt jump shot from 25 ft,12,11
41,1,7:24.0,Defensive rebound by O. Porter,,12,11
42,1,7:19.0,Turnover by J. Wall (traveling),,12,11
43,1,7:04.0,,Turnover by D. Lillard (bad pass),12,11
44,1,6:52.0,B. Beal misses 2-pt jump shot from 16 ft,,12,11
45,1,6:49.0,,Defensive rebound by J. Nurkić,12,11
46,1,6:41.0,,Turnover by J. Layman (out of bounds lost ball),12,11
47,1,6:41.0,,Portland full timeout,12,11
48,1,6:30.0,O. Porter misses 3-pt jump shot from 24 ft,,12,11
49,1,6:26.0,Offensive rebound by M. Morris,,12,11
50,1,6:24.0,Turnover by M. Morris (bad pass; steal by D. Lillard),,12,11
51,1,6:20.0,,Turnover by D. Lillard (bad pass; steal by O. Porter),12,11
52,1,6:16.0,M. Morris makes 2-pt dunk from 1 ft (assist by B. Beal),,14,11
53,1,5:50.0,,J. Nurkić makes 2-pt hook shot from 3 ft,14,13
54,1,5:38.0,J. Wall makes 2-pt layup from 2 ft,,16,13
55,1,5:25.0,,C. McCollum misses 2-pt layup from 1 ft,16,13
56,1,5:25.0,,Offensive rebound by Team,16,13
57,1,5:25.0,,E. Turner enters the game for J. Layman,16,13
58,1,5:20.0,,A. Aminu makes 2-pt dunk at rim,16,15
59,1,5:11.0,J. Wall misses 2-pt layup from 3 ft,,16,15
60,1,5:09.0,,Defensive rebound by E. Turner,16,15
61,1,5:02.0,,A. Aminu makes 3-pt jump shot from 25 ft (assist by C. McCollum),16,18
62,1,4:44.0,J. Smith makes 2-pt jump shot from 16 ft (assist by B. Beal),,18,18
63,1,4:27.0,,D. Lillard misses 3-pt jump shot from 26 ft,18,18
64,1,4:25.0,Defensive rebound by J. Smith,,18,18
65,1,4:19.0,O. Porter misses 2-pt layup from 2 ft,,18,18
66,1,4:17.0,,Defensive rebound by J. Nurkić,18,18
67,1,4:09.0,,Shooting foul by J. Smith (drawn by D. Lillard),18,18
68,1,4:09.0,,D. Lillard makes free throw 1 of 2,18,19
69,1,4:09.0,K. Oubre enters the game for O. Porter,,18,19
70,1,4:09.0,,D. Lillard makes free throw 2 of 2,18,20
71,1,4:00.0,J. Wall misses 2-pt layup from 2 ft,,18,20
72,1,3:57.0,Offensive rebound by J. Smith,,18,20
73,1,3:57.0,J. Smith misses 2-pt layup at rim,,18,20
74,1,3:56.0,,Defensive rebound by D. Lillard,18,20
75,1,3:49.0,,E. Turner misses 3-pt jump shot from 23 ft,18,20
76,1,3:46.0,,Offensive rebound by J. Nurkić,18,20
77,1,3:45.0,,Shooting foul by M. Morris (drawn by C. McCollum),18,20
78,1,3:45.0,,C. McCollum makes free throw 1 of 2,18,21
79,1,3:45.0,,Z. Collins enters the game for A. Aminu,18,21
80,1,3:45.0,,M. Harkless enters the game for J. Nurkić,18,21
81,1,3:45.0,,C. McCollum makes free throw 2 of 2,18,22
82,1,3:33.0,B. Beal misses 2-pt jump shot from 17 ft,,18,22
83,1,3:30.0,,Defensive rebound by M. Harkless,18,22
84,1,3:25.0,,D. Lillard makes 2-pt jump shot from 18 ft,18,24
85,1,3:25.0,,Shooting foul by B. Beal (drawn by D. Lillard),18,24
86,1,3:25.0,,D. Lillard makes free throw 1 of 1,18,25
87,1,3:23.0,Washington full timeout,,18,25
88,1,3:23.0,J. Green enters the game for B. Beal,,18,25
89,1,3:23.0,A. Rivers enters the game for M. Morris,,18,25
90,1,3:23.0,,S. Curry enters the game for D. Lillard,18,25
91,1,3:23.0,,N. Stauskas enters the game for C. McCollum,18,25
92,1,3:10.0,J. Wall misses 2-pt jump shot from 20 ft,,18,25
93,1,3:06.0,Offensive rebound by J. Smith,,18,25
94,1,3:05.0,K. Oubre makes 3-pt jump shot from 25 ft (assist by J. Smith),,21,25
95,1,2:47.0,,Turnover by Z. Collins (bad pass; steal by J. Wall),21,25
96,1,2:37.0,K. Oubre makes 2-pt jump shot from 4 ft (assist by A. Rivers),,23,25
97,1,2:15.0,,E. Turner misses 2-pt jump shot from 18 ft,23,25
98,1,2:13.0,Defensive rebound by J. Green,,23,25
99,1,2:08.0,Shooting foul by M. Harkless (drawn by J. Green),,23,25
100,1,2:08.0,J. Green makes free throw 1 of 2,,24,25
101,1,2:08.0,T. Satoranský enters the game for J. Wall,,24,25
102,1,2:08.0,J. Green makes free throw 2 of 2,,25,25
103,1,2:01.0,,E. Turner makes 2-pt layup from 2 ft (assist by N. Stauskas),25,27
104,1,1:51.0,A. Rivers misses 3-pt jump shot from 28 ft,,25,27
105,1,1:47.0,Offensive rebound by T. Satoranský,,25,27
106,1,1:47.0,T. Satoranský misses 2-pt layup at rim,,25,27
107,1,1:46.0,,Defensive rebound by M. Harkless,25,27
108,1,1:29.0,,Z. Collins misses 2-pt jump shot from 20 ft,25,27
109,1,1:28.0,Defensive rebound by T. Satoranský,,25,27
110,1,1:22.0,Shooting foul by Z. Collins (drawn by J. Smith),,25,27
111,1,1:22.0,J. Smith misses free throw 1 of 2,,25,27
112,1,1:22.0,Offensive rebound by Team,,25,27
113,1,1:22.0,J. Smith makes free throw 2 of 2,,26,27
114,1,1:11.0,,Z. Collins makes 2-pt hook shot from 7 ft (assist by E. Turner),26,29
115,1,0:58.0,K. Oubre misses 2-pt layup from 2 ft,,26,29
116,1,0:57.0,,Defensive rebound by N. Stauskas,26,29
117,1,0:52.0,,S. Curry makes 3-pt jump shot from 25 ft (assist by N. Stauskas),26,32
