,QUARTER,TIME_REMAINING,SAN ANTONIO_ACTION,CLEVELAND_ACTION,SAN ANTONIO_SCORE,CLEVELAND_SCORE
0,1,11:47.0,,L. Nance misses 2-pt jump shot from 10 ft,0,0
1,1,11:45.0,Defensive rebound by J. Poeltl,,0,0
2,1,11:37.0,D. White misses 2-pt jump shot from 19 ft,,0,0
3,1,11:31.0,Offensive rebound by D. White,,0,0
4,1,11:31.0,Turnover by D. White (bad pass; steal by B. Knight),,0,0
5,1,11:21.0,,C. Frye makes 3-pt jump shot from 28 ft (assist by B. Knight),0,3
6,1,11:06.0,B. Forbes misses 2-pt jump shot from 17 ft,,0,3
7,1,11:03.0,,Defensive rebound by L. Nance,0,3
8,1,10:52.0,,Turnover by C. Sexton (bad pass),0,3
9,1,10:39.0,Turnover by J. Poeltl (bad pass; steal by L. Nance),,0,3
10,1,10:35.0,,L. Nance makes 2-pt jump shot from 8 ft,0,5
11,1,10:13.0,J. Poeltl makes 2-pt jump shot from 20 ft (assist by B. Forbes),,2,5
12,1,9:52.0,,B. Knight misses 3-pt jump shot from 24 ft,2,5
13,1,9:49.0,Defensive rebound by J. Poeltl,,2,5
14,1,9:44.0,J. Poeltl makes 2-pt dunk from 1 ft (assist by D. DeRozan),,4,5
15,1,9:27.0,,C. Sexton makes 3-pt jump shot from 25 ft (assist by L. Nance),4,8
16,1,9:09.0,L. Aldridge misses 3-pt jump shot from 26 ft,,4,8
17,1,9:07.0,,Defensive rebound by C. Frye,4,8
18,1,8:58.0,,C. Frye misses 2-pt jump shot from 21 ft,4,8
19,1,8:56.0,Defensive rebound by L. Aldridge,,4,8
20,1,8:52.0,Personal foul by C. Osman (drawn by D. DeRozan),,4,8
21,1,8:46.0,D. DeRozan misses 2-pt jump shot from 20 ft,,4,8
22,1,8:42.0,Offensive rebound by L. Aldridge,,4,8
23,1,8:40.0,L. Aldridge misses 2-pt jump shot from 18 ft,,4,8
24,1,8:38.0,,Defensive rebound by C. Frye,4,8
25,1,8:34.0,,C. Sexton makes 2-pt layup from 1 ft,4,10
26,1,8:20.0,B. Forbes misses 3-pt jump shot from 27 ft,,4,10
27,1,8:18.0,,Defensive rebound by C. Frye,4,10
28,1,8:08.0,,C. Sexton misses 3-pt jump shot from 25 ft,4,10
29,1,8:05.0,Defensive rebound by B. Forbes,,4,10
30,1,7:57.0,J. Poeltl misses 2-pt jump shot from 13 ft,,4,10
31,1,7:54.0,,Defensive rebound by L. Nance,4,10
32,1,7:47.0,,B. Knight misses 2-pt layup from 4 ft,4,10
33,1,7:42.0,Defensive rebound by B. Forbes,,4,10
34,1,7:33.0,L. Aldridge makes 2-pt layup from 1 ft (assist by D. DeRozan),,6,10
35,1,7:11.0,,C. Osman misses 2-pt jump shot from 8 ft,6,10
36,1,7:09.0,Defensive rebound by D. DeRozan,,6,10
37,1,7:04.0,B. Forbes makes 3-pt jump shot from 25 ft (assist by D. DeRozan),,9,10
38,1,6:49.0,,Turnover by B. Knight (bad pass; steal by J. Poeltl),9,10
39,1,6:40.0,L. Aldridge makes 2-pt jump shot from 19 ft,,11,10
40,1,6:40.0,Shooting foul by L. Nance (drawn by L. Aldridge),,11,10
41,1,6:40.0,,Cleveland full timeout,11,10
42,1,6:40.0,,Technical foul by L. Nance,11,10
43,1,6:40.0,L. Aldridge makes technical free throw,,12,10
44,1,6:40.0,L. Aldridge makes free throw 1 of 1,,13,10
45,1,6:17.0,,C. Osman misses 3-pt jump shot from 24 ft,13,10
46,1,6:15.0,Defensive rebound by J. Poeltl,,13,10
47,1,6:07.0,B. Forbes makes 3-pt jump shot from 26 ft (assist by D. DeRozan),,16,10
48,1,5:41.0,,C. Frye misses 3-pt jump shot from 26 ft,16,10
49,1,5:38.0,Defensive rebound by D. White,,16,10
50,1,5:29.0,Turnover by D. White (lost ball; steal by L. Nance),,16,10
51,1,5:27.0,,Shooting foul by B. Forbes (drawn by B. Knight),16,10
52,1,5:27.0,,B. Knight makes free throw 1 of 2,16,11
53,1,5:27.0,R. Gay enters the game for J. Poeltl,,16,11
54,1,5:27.0,P. Mills enters the game for D. White,,16,11
55,1,5:27.0,,K. Love enters the game for L. Nance,16,11
56,1,5:27.0,,B. Knight makes free throw 2 of 2,16,12
57,1,5:10.0,L. Aldridge misses 2-pt jump shot from 8 ft,,16,12
58,1,5:08.0,Offensive rebound by L. Aldridge,,16,12
59,1,5:07.0,P. Mills misses 3-pt jump shot from 23 ft,,16,12
60,1,5:04.0,,Defensive rebound by K. Love,16,12
61,1,4:52.0,,C. Sexton makes 2-pt layup from 1 ft (assist by K. Love),16,14
62,1,4:33.0,Turnover by L. Aldridge (bad pass),,16,14
63,1,4:33.0,D. Bertāns enters the game for D. DeRozan,,16,14
64,1,4:33.0,,J. Clarkson enters the game for C. Frye,16,14
65,1,4:33.0,,D. Nwaba enters the game for B. Knight,16,14
66,1,4:12.0,,J. Clarkson misses 2-pt jump shot from 12 ft,16,14
67,1,4:10.0,Defensive rebound by R. Gay,,16,14
68,1,3:53.0,R. Gay misses 3-pt jump shot from 24 ft,,16,14
69,1,3:50.0,,Defensive rebound by K. Love,16,14
70,1,3:50.0,L. Walker enters the game for B. Forbes,,16,14
71,1,3:50.0,,A. Žižić enters the game for C. Osman,16,14
72,1,3:33.0,,K. Love makes 2-pt jump shot from 15 ft,16,16
73,1,3:21.0,R. Gay makes 2-pt layup from 1 ft,,18,16
74,1,2:55.0,,J. Clarkson misses 2-pt jump shot from 13 ft,18,16
75,1,2:52.0,Defensive rebound by R. Gay,,18,16
76,1,2:39.0,Turnover by R. Gay (bad pass; steal by K. Love),,18,16
77,1,2:34.0,,A. Žižić makes 2-pt layup at rim (assist by C. Sexton),18,18
78,1,2:34.0,San Antonio full timeout,,18,18
79,1,2:34.0,J. Poeltl enters the game for L. Aldridge,,18,18
80,1,2:17.0,J. Poeltl makes 2-pt layup from 1 ft (assist by L. Walker),,20,18
81,1,1:59.0,,Turnover by D. Nwaba (bad pass),20,18
82,1,1:46.0,D. Bertāns misses 3-pt jump shot from 30 ft,,20,18
83,1,1:42.0,,Defensive rebound by A. Žižić,20,18
84,1,1:39.0,,C. Sexton makes 2-pt layup at rim,20,20
85,1,1:19.0,R. Gay makes 2-pt jump shot from 16 ft,,22,20
86,1,1:19.0,Shooting foul by D. Nwaba (drawn by R. Gay),,22,20
87,1,1:19.0,R. Gay misses free throw 1 of 1,,22,20
88,1,1:17.0,,Defensive rebound by K. Love,22,20
