,QUARTER,TIME_REMAINING,NEW ORLEANS_ACTION,GOLDEN STATE_ACTION,NEW ORLEANS_SCORE,GOLDEN STATE_SCORE
0,1,11:48.0,J. Holiday makes 3-pt jump shot from 26 ft (assist by A. Davis),,3,0
1,1,11:40.0,,Turnover by D. Green (bad pass),3,0
2,1,11:14.0,A. Davis misses 2-pt jump shot from 21 ft,,3,0
3,1,11:12.0,Offensive rebound by E. Payton,,3,0
4,1,11:05.0,E. Payton makes 2-pt hook shot from 10 ft,,5,0
5,1,10:53.0,,K. Durant makes 3-pt jump shot from 27 ft (assist by D. Green),5,3
6,1,10:38.0,J. Randle makes 2-pt jump shot from 11 ft,,7,3
7,1,10:31.0,,K. Thompson makes 2-pt layup from 2 ft (assist by D. Green),7,5
8,1,10:31.0,,Shooting foul by E. Moore (drawn by K. Thompson),7,5
9,1,10:31.0,,K. Thompson makes free throw 1 of 1,7,6
10,1,10:21.0,A. Davis misses 2-pt layup from 2 ft,,7,6
11,1,10:20.0,,Defensive rebound by K. Durant,7,6
12,1,10:10.0,,K. Looney misses 2-pt hook shot from 8 ft,7,6
13,1,10:09.0,Defensive rebound by E. Payton,,7,6
14,1,10:04.0,E. Payton misses 2-pt layup from 5 ft (block by D. Green),,7,6
15,1,10:03.0,Offensive rebound by Team,,7,6
16,1,10:02.0,Turnover by E. Payton (bad pass; steal by K. Looney),,7,6
17,1,9:56.0,,S. Curry misses 3-pt jump shot from 30 ft,7,6
18,1,9:54.0,Defensive rebound by A. Davis,,7,6
19,1,9:44.0,Shooting foul by S. Curry (drawn by J. Holiday),,7,6
20,1,9:44.0,J. Holiday makes free throw 1 of 2,,8,6
21,1,9:44.0,J. Holiday makes free throw 2 of 2,,9,6
22,1,9:30.0,,K. Durant misses 2-pt jump shot from 5 ft (block by A. Davis),9,6
23,1,9:28.0,,Offensive rebound by Team,9,6
24,1,9:26.0,,Shooting foul by E. Payton (drawn by S. Curry),9,6
25,1,9:26.0,,S. Curry makes free throw 1 of 2,9,7
26,1,9:26.0,,S. Curry makes free throw 2 of 2,9,8
27,1,9:21.0,Personal foul by K. Looney (drawn by A. Davis),,9,8
28,1,9:17.0,E. Moore makes 2-pt jump shot from 11 ft (assist by E. Payton),,11,8
29,1,9:08.0,,K. Looney makes 2-pt dunk from 1 ft (assist by D. Green),11,10
30,1,8:54.0,J. Randle misses 2-pt jump shot from 12 ft,,11,10
31,1,8:53.0,,Defensive rebound by K. Looney,11,10
32,1,8:47.0,,K. Thompson misses 2-pt jump shot from 20 ft,11,10
