,QUARTER,TIME_REMAINING,MILWAUKEE_ACTION,LA LAKERS_ACTION,MILWAUKEE_SCORE,LA LAKERS_SCORE
0,1,11:46.0,B. Lopez makes 2-pt hook shot from 3 ft (assist by G. Antetokounmpo),,2,0
1,1,11:33.0,,L. James makes 3-pt jump shot from 24 ft (assist by R. Rondo),2,3
2,1,11:16.0,Turnover by B. Lopez (lost ball; steal by L. James),,2,3
3,1,11:11.0,,K. Kuzma misses 2-pt jump shot from 9 ft,2,3
4,1,11:09.0,,Offensive rebound by B. Ingram,2,3
5,1,11:06.0,,R. Rondo misses 3-pt jump shot from 25 ft,2,3
6,1,11:03.0,Defensive rebound by G. Antetokounmpo,,2,3
7,1,10:58.0,K. Middleton makes 2-pt jump shot from 10 ft (assist by G. Antetokounmpo),,4,3
8,1,10:43.0,,B. Ingram makes 2-pt jump shot from 14 ft (assist by L. James),4,5
9,1,10:29.0,Turnover by B. Lopez (lost ball; steal by R. Rondo),,4,5
10,1,10:21.0,,Turnover by K. Kuzma (off goaltending),4,5
11,1,10:12.0,Def 3 sec tech foul by Team,,4,5
12,1,10:12.0,K. Middleton makes technical free throw,,5,5
13,1,10:00.0,K. Middleton misses 2-pt jump shot from 12 ft,,5,5
14,1,9:56.0,Offensive rebound by K. Middleton,,5,5
15,1,9:56.0,Offensive foul by G. Antetokounmpo (drawn by K. Kuzma),,5,5
16,1,9:56.0,Turnover by G. Antetokounmpo (offensive foul),,5,5
17,1,9:47.0,,L. James misses 3-pt jump shot from 25 ft,5,5
18,1,9:45.0,,Offensive rebound by R. Rondo,5,5
19,1,9:41.0,,R. Rondo misses 3-pt jump shot from 26 ft,5,5
20,1,9:39.0,Defensive rebound by E. Bledsoe,,5,5
21,1,9:35.0,E. Bledsoe makes 2-pt layup from 3 ft,,7,5
22,1,9:35.0,Shooting foul by B. Ingram (drawn by E. Bledsoe),,7,5
23,1,9:35.0,E. Bledsoe makes free throw 1 of 1,,8,5
24,1,9:26.0,,R. Rondo misses 3-pt jump shot from 26 ft,8,5
