,QUARTER,TIME_REMAINING,GOLDEN STATE_ACTION,LA CLIPPERS_ACTION,GOLDEN STATE_SCORE,LA CLIPPERS_SCORE
0,1,11:47.0,S. Curry misses 2-pt jump shot from 17 ft,,0,0
1,1,11:44.0,,Defensive rebound by D. Gallinari,0,0
2,1,11:30.0,,Offensive foul by L. Shamet (drawn by K. Durant),0,0
3,1,11:30.0,,Turnover by L. Shamet (offensive foul),0,0
4,1,11:18.0,K. Durant makes 2-pt jump shot from 18 ft (assist by A. Bogut),,2,0
5,1,11:02.0,,S. Gilgeous-Alexander misses 2-pt jump shot from 11 ft,2,0
6,1,11:00.0,Defensive rebound by A. Bogut,,2,0
7,1,10:58.0,Personal foul by P. Beverley (drawn by K. Durant),,2,0
8,1,10:55.0,Offensive foul by K. Durant (drawn by P. Beverley),,2,0
9,1,10:55.0,Turnover by K. Durant (offensive foul),,2,0
10,1,10:44.0,,Turnover by I. Zubac (offensive foul),2,0
11,1,10:44.0,,Offensive foul by I. Zubac (drawn by K. Durant),2,0
12,1,10:30.0,K. Durant makes 2-pt jump shot from 17 ft,,4,0
13,1,10:21.0,,Personal foul by K. Durant (drawn by P. Beverley),4,0
14,1,10:06.0,,Turnover by D. Gallinari (bad pass; steal by K. Durant),4,0
15,1,10:03.0,Turnover by K. Durant (lost ball; steal by S. Gilgeous-Alexander),,4,0
16,1,9:55.0,,S. Gilgeous-Alexander makes 3-pt jump shot from 25 ft (assist by D. Gallinari),4,3
17,1,9:41.0,K. Durant makes 2-pt jump shot from 19 ft (assist by A. Bogut),,6,3
18,1,9:33.0,,L. Shamet misses 3-pt jump shot from 25 ft (block by D. Green),6,3
19,1,9:33.0,Defensive rebound by K. Durant,,6,3
20,1,9:27.0,S. Curry makes 3-pt jump shot from 26 ft (assist by K. Durant),,9,3
21,1,9:08.0,,Shooting foul by A. Bogut (drawn by I. Zubac),9,3
22,1,9:08.0,,I. Zubac makes free throw 1 of 2,9,4
23,1,9:08.0,,I. Zubac misses free throw 2 of 2,9,4
24,1,9:05.0,Defensive rebound by D. Green,,9,4
25,1,9:02.0,K. Thompson misses 2-pt jump shot from 12 ft (block by S. Gilgeous-Alexander),,9,4
26,1,8:58.0,,Defensive rebound by I. Zubac,9,4
27,1,8:49.0,,S. Gilgeous-Alexander misses 3-pt jump shot from 25 ft,9,4
28,1,8:46.0,Defensive rebound by Team,,9,4
29,1,8:30.0,A. Bogut makes 2-pt dunk from 2 ft (assist by K. Durant),,11,4
30,1,8:14.0,,D. Gallinari misses 2-pt jump shot from 15 ft,11,4
31,1,8:11.0,Defensive rebound by S. Curry,,11,4
32,1,8:06.0,Turnover by S. Curry (lost ball; steal by P. Beverley),,11,4
33,1,7:56.0,,D. Gallinari misses 2-pt layup from 2 ft,11,4
34,1,7:56.0,,Offensive rebound by Team,11,4
35,1,7:56.0,,J. Green enters the game for I. Zubac,11,4
36,1,7:43.0,,Turnover by P. Beverley (bad pass; steal by D. Green),11,4
37,1,7:35.0,K. Thompson misses 2-pt jump shot from 10 ft,,11,4
38,1,7:33.0,,Defensive rebound by P. Beverley,11,4
39,1,7:26.0,,J. Green makes 2-pt layup from 1 ft (assist by S. Gilgeous-Alexander),11,6
40,1,7:17.0,Turnover by K. Durant (bad pass),,11,6
41,1,7:03.0,,Personal foul by K. Thompson (drawn by D. Gallinari),11,6
42,1,6:48.0,,Turnover by Team (shot clock),11,6
43,1,6:48.0,,LA Clippers full timeout,11,6
44,1,6:37.0,K. Durant makes 2-pt jump shot from 10 ft (assist by K. Thompson),,13,6
45,1,6:23.0,,P. Beverley makes 2-pt jump shot from 7 ft (assist by D. Gallinari),13,8
46,1,6:23.0,,Shooting foul by S. Curry (drawn by P. Beverley),13,8
47,1,6:23.0,,P. Beverley makes free throw 1 of 1,13,9
48,1,6:04.0,K. Durant makes 2-pt jump shot from 19 ft,,15,9
49,1,5:53.0,,P. Beverley misses 3-pt jump shot from 25 ft,15,9
50,1,5:53.0,Defensive rebound by A. Bogut,,15,9
51,1,5:35.0,S. Curry misses 2-pt layup from 2 ft,,15,9
52,1,5:29.0,Offensive rebound by A. Bogut,,15,9
53,1,5:29.0,A. Bogut misses 2-pt layup at rim,,15,9
54,1,5:28.0,Offensive rebound by A. Bogut,,15,9
55,1,5:28.0,A. Bogut makes 2-pt layup at rim,,17,9
56,1,5:11.0,,D. Gallinari misses 3-pt jump shot from 25 ft,17,9
57,1,5:09.0,Defensive rebound by K. Thompson,,17,9
58,1,5:00.0,Shooting foul by D. Gallinari (drawn by K. Durant),,17,9
59,1,5:00.0,K. Durant makes free throw 1 of 2,,18,9
60,1,5:00.0,A. Iguodala enters the game for A. Bogut,,18,9
61,1,5:00.0,K. Looney enters the game for K. Thompson,,18,9
62,1,5:00.0,,M. Harrell enters the game for D. Gallinari,18,9
63,1,5:00.0,,L. Williams enters the game for L. Shamet,18,9
64,1,5:00.0,K. Durant makes free throw 2 of 2,,19,9
65,1,4:37.0,,P. Beverley misses 2-pt layup from 1 ft,19,9
66,1,4:35.0,Defensive rebound by S. Curry,,19,9
