,QUARTER,TIME_REMAINING,ORLANDO_ACTION,ATLANTA_ACTION,ORLANDO_SCORE,ATLANTA_SCORE
0,1,11:48.0,,D. Dedmon misses 3-pt jump shot from 25 ft,0,0
1,1,11:45.0,Defensive rebound by E. Fournier,,0,0
2,1,11:31.0,Shooting foul by T. Prince (drawn by A. Gordon),,0,0
3,1,11:31.0,A. Gordon misses free throw 1 of 2,,0,0
4,1,11:31.0,Offensive rebound by Team,,0,0
5,1,11:31.0,A. Gordon makes free throw 2 of 2,,1,0
6,1,11:10.0,,T. Prince makes 2-pt jump shot from 16 ft (assist by T. Young),1,2
7,1,10:57.0,Turnover by N. Vučević (bad pass),,1,2
8,1,10:48.0,,K. Huerter makes 2-pt dunk from 1 ft (assist by T. Young),1,4
9,1,10:34.0,J. Isaac misses 2-pt jump shot from 21 ft,,1,4
10,1,10:31.0,Offensive rebound by N. Vučević,,1,4
11,1,10:24.0,A. Gordon misses 2-pt layup from 4 ft (block by T. Prince),,1,4
12,1,10:24.0,Offensive rebound by Team,,1,4
13,1,10:20.0,E. Fournier makes 2-pt jump shot from 21 ft (assist by D. Augustin),,3,4
14,1,10:04.0,,T. Prince makes 3-pt jump shot from 24 ft (assist by T. Young),3,7
15,1,9:49.0,E. Fournier misses 2-pt jump shot from 13 ft,,3,7
16,1,9:47.0,,Defensive rebound by J. Collins,3,7
17,1,9:41.0,,D. Dedmon misses 2-pt dunk from 1 ft,3,7
18,1,9:39.0,Defensive rebound by N. Vučević,,3,7
19,1,9:31.0,N. Vučević makes 2-pt jump shot from 10 ft (assist by D. Augustin),,5,7
20,1,9:05.0,,J. Collins misses 2-pt layup from 3 ft (block by N. Vučević),5,7
21,1,9:03.0,Defensive rebound by E. Fournier,,5,7
22,1,8:53.0,N. Vučević makes 2-pt hook shot from 10 ft (assist by A. Gordon),,7,7
23,1,8:30.0,,D. Dedmon makes 3-pt jump shot from 23 ft (assist by T. Prince),7,10
24,1,8:11.0,N. Vučević misses 2-pt layup from 2 ft (block by J. Collins),,7,10
25,1,8:11.0,Offensive rebound by Team,,7,10
26,1,8:09.0,Turnover by A. Gordon (bad pass; steal by T. Prince),,7,10
27,1,8:06.0,,Shooting foul by A. Gordon (drawn by J. Collins),7,10
28,1,8:06.0,,J. Collins makes free throw 1 of 2,7,11
29,1,8:06.0,,J. Collins makes free throw 2 of 2,7,12
30,1,7:49.0,N. Vučević makes 2-pt hook shot from 6 ft (assist by E. Fournier),,9,12
31,1,7:35.0,,T. Young makes 3-pt jump shot from 26 ft,9,15
32,1,7:27.0,Orlando full timeout,,9,15
33,1,7:12.0,D. Augustin makes 3-pt jump shot from 25 ft (assist by N. Vučević),,12,15
34,1,6:55.0,,Turnover by T. Young (bad pass; steal by J. Isaac),12,15
35,1,6:50.0,A. Gordon makes 2-pt dunk from 1 ft (assist by D. Augustin),,14,15
36,1,6:34.0,,J. Collins makes 2-pt layup from 1 ft (assist by T. Young),14,17
37,1,6:15.0,N. Vučević misses 3-pt jump shot from 25 ft,,14,17
38,1,6:11.0,,Defensive rebound by T. Young,14,17
39,1,6:03.0,,J. Collins makes 2-pt layup from 1 ft (assist by T. Young),14,19
40,1,5:48.0,A. Gordon makes 3-pt jump shot from 25 ft (assist by N. Vučević),,17,19
41,1,5:28.0,,K. Huerter makes 2-pt jump shot from 10 ft,17,21
42,1,5:12.0,J. Isaac makes 2-pt dunk from 1 ft (assist by D. Augustin),,19,21
43,1,4:45.0,,J. Collins misses 2-pt layup from 2 ft,19,21
44,1,4:44.0,Defensive rebound by Team,,19,21
45,1,4:44.0,I. Briscoe enters the game for D. Augustin,,19,21
46,1,4:44.0,W. Iwundu enters the game for A. Gordon,,19,21
47,1,4:44.0,,D. Bembry enters the game for J. Collins,19,21
48,1,4:44.0,,O. Spellman enters the game for K. Huerter,19,21
49,1,4:32.0,E. Fournier misses 2-pt layup from 2 ft,,19,21
50,1,4:26.0,Offensive rebound by N. Vučević,,19,21
51,1,4:26.0,N. Vučević misses 2-pt layup at rim,,19,21
52,1,4:25.0,,Defensive rebound by D. Dedmon,19,21
53,1,4:20.0,,T. Young misses 2-pt jump shot from 11 ft,19,21
54,1,4:18.0,Defensive rebound by N. Vučević,,19,21
55,1,4:13.0,N. Vučević makes 3-pt jump shot from 26 ft (assist by E. Fournier),,22,21
56,1,3:48.0,,O. Spellman misses 3-pt jump shot from 23 ft,22,21
57,1,3:46.0,Defensive rebound by W. Iwundu,,22,21
58,1,3:41.0,J. Isaac misses 3-pt jump shot from 25 ft,,22,21
59,1,3:38.0,,Defensive rebound by D. Dedmon,22,21
60,1,3:28.0,,Turnover by T. Young (bad pass),22,21
61,1,3:28.0,T. Ross enters the game for E. Fournier,,22,21
62,1,3:28.0,,A. Len enters the game for D. Dedmon,22,21
63,1,3:28.0,,J. Lin enters the game for T. Young,22,21
64,1,3:15.0,N. Vučević makes 2-pt hook shot from 8 ft (assist by W. Iwundu),,24,21
65,1,3:00.0,,Shooting foul by J. Isaac (drawn by A. Len),24,21
66,1,3:00.0,,A. Len makes free throw 1 of 2,24,22
67,1,3:00.0,K. Birch enters the game for J. Isaac,,24,22
68,1,3:00.0,A. Gordon enters the game for N. Vučević,,24,22
69,1,3:00.0,,K. Bazemore enters the game for T. Prince,24,22
70,1,3:00.0,,A. Len makes free throw 2 of 2,24,23
71,1,2:44.0,Turnover by T. Ross (bad pass; steal by O. Spellman),,24,23
72,1,2:32.0,,Offensive foul by A. Len (drawn by I. Briscoe),24,23
73,1,2:32.0,,Turnover by A. Len (offensive foul),24,23
74,1,2:32.0,,Atlanta full timeout,24,23
75,1,2:23.0,T. Ross misses 2-pt jump shot from 20 ft,,24,23
76,1,2:19.0,,Defensive rebound by O. Spellman,24,23
77,1,2:07.0,,D. Bembry makes 2-pt dunk from 1 ft (assist by J. Lin),24,25
78,1,1:54.0,Offensive foul by I. Briscoe (drawn by J. Lin),,24,25
79,1,1:54.0,Turnover by I. Briscoe (offensive foul),,24,25
80,1,1:46.0,,Personal foul by I. Briscoe (drawn by J. Lin),24,25
