,QUARTER,TIME_REMAINING,WASHINGTON_ACTION,CHICAGO_ACTION,WASHINGTON_SCORE,CHICAGO_SCORE
0,1,11:47.0,,O. Porter makes 2-pt jump shot from 19 ft (assist by K. Dunn),0,2
1,1,11:27.0,T. Bryant makes 2-pt jump shot from 18 ft (assist by T. Satoranský),,2,2
2,1,11:11.0,,R. Lopez makes 2-pt layup from 2 ft (assist by K. Dunn),2,4
3,1,11:02.0,T. Satoranský misses 2-pt jump shot from 21 ft,,2,4
4,1,10:59.0,,Defensive rebound by L. Markkanen,2,4
5,1,10:46.0,,O. Porter makes 2-pt layup from 2 ft,2,6
6,1,10:37.0,T. Ariza misses 3-pt jump shot from 26 ft,,2,6
7,1,10:33.0,,Defensive rebound by L. Markkanen,2,6
8,1,10:31.0,,Personal foul by T. Satoranský (drawn by K. Dunn),2,6
9,1,10:23.0,,R. Lopez makes 2-pt hook shot from 2 ft (assist by O. Porter),2,8
10,1,10:10.0,T. Satoranský misses 2-pt layup from 2 ft,,2,8
11,1,10:08.0,,Defensive rebound by R. Lopez,2,8
12,1,10:00.0,,Z. LaVine makes 2-pt layup from 3 ft,2,10
13,1,9:54.0,Washington full timeout,,2,10
14,1,9:36.0,T. Satoranský makes 2-pt layup from 2 ft (assist by T. Ariza),,4,10
15,1,9:20.0,,R. Lopez misses 2-pt hook shot from 2 ft,4,10
16,1,9:16.0,Defensive rebound by T. Bryant,,4,10
17,1,9:13.0,T. Ariza makes 3-pt jump shot from 26 ft (assist by J. Green),,7,10
18,1,8:50.0,,R. Lopez misses 2-pt layup from 1 ft (block by T. Bryant),7,10
19,1,8:50.0,Defensive rebound by J. Green,,7,10
20,1,8:47.0,,Violation by Team (kicked ball),7,10
21,1,8:37.0,T. Ariza makes 3-pt jump shot from 23 ft (assist by B. Beal),,10,10
22,1,8:23.0,,Turnover by Z. LaVine (lost ball; steal by B. Beal),10,10
23,1,8:18.0,B. Beal misses 2-pt jump shot from 16 ft,,10,10
24,1,8:15.0,,Defensive rebound by Z. LaVine,10,10
25,1,8:09.0,,Z. LaVine misses 2-pt jump shot from 6 ft,10,10
26,1,8:04.0,,Z. LaVine makes 2-pt layup at rim,10,12
