,QUARTER,TIME_REMAINING,PORTLAND_ACTION,ATLANTA_ACTION,PORTLAND_SCORE,ATLANTA_SCORE
0,1,11:47.0,,J. Collins misses 3-pt jump shot from 25 ft,0,0
1,1,11:45.0,,Offensive rebound by K. Huerter,0,0
2,1,11:32.0,,J. Collins makes 2-pt dunk from 1 ft (assist by T. Young),0,2
3,1,11:09.0,D. Lillard makes 3-pt jump shot from 25 ft,,3,2
4,1,11:00.0,,T. Young makes 3-pt jump shot from 34 ft (assist by J. Collins),3,5
5,1,10:43.0,M. Harkless misses 3-pt jump shot from 25 ft,,3,5
6,1,10:41.0,,Defensive rebound by T. Young,3,5
7,1,10:37.0,,J. Anderson misses 3-pt jump shot from 25 ft,3,5
8,1,10:34.0,Defensive rebound by D. Lillard,,3,5
9,1,10:31.0,J. Layman makes 2-pt dunk from 1 ft (assist by D. Lillard),,5,5
10,1,10:18.0,,T. Young misses 2-pt jump shot from 6 ft (block by D. Lillard),5,5
11,1,10:18.0,,Offensive rebound by Team,5,5
12,1,10:14.0,,T. Young makes 2-pt jump shot from 12 ft,5,7
13,1,9:52.0,E. Freedom makes 2-pt layup from 3 ft (assist by D. Lillard),,7,7
14,1,9:27.0,,J. Anderson misses 2-pt jump shot from 18 ft,7,7
15,1,9:23.0,Defensive rebound by E. Freedom,,7,7
16,1,9:19.0,Shooting foul by J. Collins (drawn by A. Aminu),,7,7
17,1,9:19.0,A. Aminu makes free throw 1 of 2,,8,7
18,1,9:19.0,A. Aminu makes free throw 2 of 2,,9,7
19,1,9:10.0,,Turnover by K. Huerter (lost ball; steal by J. Layman),9,7
20,1,9:10.0,Personal take foul by K. Huerter (drawn by J. Layman),,9,7
21,1,8:54.0,D. Lillard makes 2-pt jump shot from 19 ft,,11,7
22,1,8:42.0,,T. Young makes 2-pt jump shot from 7 ft,11,9
23,1,8:29.0,M. Harkless misses 2-pt jump shot from 18 ft,,11,9
24,1,8:24.0,,Defensive rebound by J. Anderson,11,9
25,1,8:22.0,,T. Young misses 3-pt jump shot from 31 ft,11,9
26,1,8:18.0,Defensive rebound by M. Harkless,,11,9
27,1,8:11.0,A. Aminu makes 2-pt layup at rim (assist by D. Lillard),,13,9
28,1,7:58.0,,K. Huerter makes 2-pt jump shot from 12 ft (assist by J. Collins),13,11
29,1,7:45.0,D. Lillard misses 2-pt layup from 2 ft (block by J. Anderson),,13,11
30,1,7:42.0,,Defensive rebound by K. Huerter,13,11
31,1,7:39.0,,K. Huerter misses 3-pt jump shot from 25 ft,13,11
32,1,7:36.0,Defensive rebound by J. Layman,,13,11
33,1,7:23.0,E. Freedom makes 2-pt layup from 2 ft,,15,11
34,1,7:03.0,,J. Collins misses 2-pt jump shot from 12 ft,15,11
35,1,7:00.0,Defensive rebound by A. Aminu,,15,11
36,1,6:51.0,D. Lillard makes 3-pt jump shot from 27 ft,,18,11
37,1,6:36.0,,J. Anderson misses 2-pt jump shot from 11 ft,18,11
38,1,6:36.0,Defensive rebound by M. Harkless,,18,11
39,1,6:30.0,M. Harkless makes 2-pt layup from 1 ft,,20,11
40,1,6:30.0,,Atlanta full timeout,20,11
41,1,6:30.0,,K. Bazemore enters the game for J. Anderson,20,11
42,1,6:30.0,,D. Bembry enters the game for D. Dedmon,20,11
43,1,6:30.0,,D. Davis enters the game for K. Huerter,20,11
