,QUARTER,TIME_REMAINING,MINNESOTA_ACTION,NEW YORK_ACTION,MINNESOTA_SCORE,NEW YORK_SCORE
0,1,11:39.0,,L. Kornet misses 3-pt jump shot from 25 ft,0,0
1,1,11:36.0,Defensive rebound by J. Teague,,0,0
2,1,11:17.0,J. Teague misses 3-pt jump shot from 25 ft,,0,0
3,1,11:13.0,,Defensive rebound by D. Smith,0,0
4,1,10:55.0,,L. Kornet misses 2-pt layup from 2 ft (block by J. Teague),0,0
5,1,10:52.0,Defensive rebound by D. Šarić,,0,0
6,1,10:43.0,J. Teague misses 2-pt jump shot from 11 ft,,0,0
7,1,10:40.0,,Defensive rebound by D. Jordan,0,0
8,1,10:32.0,,D. Smith misses 3-pt jump shot from 27 ft (block by J. Okogie),0,0
9,1,10:28.0,Defensive rebound by A. Wiggins,,0,0
10,1,10:25.0,T. Gibson misses 2-pt layup from 2 ft,,0,0
11,1,10:23.0,,Defensive rebound by D. Jordan,0,0
12,1,10:17.0,,D. Dotson makes 3-pt jump shot from 26 ft (assist by D. Smith),0,3
13,1,9:59.0,A. Wiggins makes 3-pt jump shot from 24 ft (assist by J. Teague),,3,3
14,1,9:30.0,,Turnover by Team (shot clock),3,3
15,1,9:18.0,Turnover by J. Teague (bad pass; steal by D. Smith),,3,3
16,1,9:13.0,,K. Knox misses 2-pt layup from 3 ft (block by A. Wiggins),3,3
17,1,9:11.0,Defensive rebound by J. Okogie,,3,3
18,1,8:59.0,Shooting foul by L. Kornet (drawn by D. Šarić),,3,3
19,1,8:59.0,D. Šarić makes free throw 1 of 2,,4,3
20,1,8:59.0,D. Šarić makes free throw 2 of 2,,5,3
21,1,8:46.0,,L. Kornet misses 3-pt jump shot from 26 ft,5,3
22,1,8:43.0,Defensive rebound by J. Okogie,,5,3
23,1,8:29.0,T. Gibson makes 2-pt jump shot from 13 ft,,7,3
24,1,8:12.0,,D. Dotson makes 2-pt jump shot from 19 ft,7,5
25,1,8:00.0,Shooting foul by K. Knox (drawn by A. Wiggins),,7,5
26,1,8:00.0,A. Wiggins makes free throw 1 of 2,,8,5
27,1,8:00.0,A. Wiggins makes free throw 2 of 2,,9,5
28,1,7:48.0,,D. Dotson misses 2-pt layup from 1 ft,9,5
29,1,7:45.0,,Offensive rebound by D. Dotson,9,5
30,1,7:42.0,,D. Dotson makes 3-pt jump shot from 23 ft (assist by K. Knox),9,8
31,1,7:32.0,J. Okogie misses 2-pt jump shot from 19 ft,,9,8
32,1,7:30.0,,Defensive rebound by L. Kornet,9,8
33,1,7:28.0,,D. Dotson makes 3-pt jump shot from 27 ft (assist by D. Smith),9,11
34,1,7:12.0,D. Šarić makes 3-pt jump shot from 26 ft (assist by J. Teague),,12,11
35,1,6:54.0,,Turnover by D. Dotson (lost ball; steal by A. Wiggins),12,11
36,1,6:51.0,Shooting foul by L. Kornet (drawn by A. Wiggins),,12,11
37,1,6:51.0,,New York full timeout,12,11
38,1,6:51.0,,N. Vonleh enters the game for L. Kornet,12,11
39,1,6:51.0,A. Wiggins makes free throw 1 of 2,,13,11
40,1,6:51.0,A. Wiggins misses free throw 2 of 2,,13,11
41,1,6:48.0,Offensive rebound by A. Wiggins,,13,11
42,1,6:40.0,J. Teague makes 2-pt jump shot from 14 ft (assist by T. Gibson),,15,11
43,1,6:28.0,,Shooting foul by D. Šarić (drawn by D. Smith),15,11
44,1,6:28.0,,D. Smith misses free throw 1 of 2,15,11
45,1,6:28.0,,Offensive rebound by Team,15,11
46,1,6:28.0,,D. Smith makes free throw 2 of 2,15,12
47,1,6:13.0,A. Wiggins misses 2-pt jump shot from 14 ft (block by D. Jordan),,15,12
48,1,6:10.0,,Defensive rebound by K. Knox,15,12
49,1,6:06.0,,D. Smith makes 2-pt dunk from 1 ft,15,14
50,1,5:54.0,T. Gibson misses 2-pt jump shot from 10 ft,,15,14
51,1,5:51.0,,Defensive rebound by D. Jordan,15,14
52,1,5:41.0,,D. Jordan makes 2-pt layup at rim (assist by D. Smith),15,16
53,1,5:37.0,Turnover by D. Šarić (bad pass; steal by N. Vonleh),,15,16
54,1,5:32.0,,Turnover by D. Smith (bad pass; steal by J. Okogie),15,16
55,1,5:26.0,T. Gibson makes 2-pt dunk from 1 ft (assist by J. Okogie),,17,16
56,1,5:14.0,,D. Dotson makes 3-pt jump shot from 28 ft (assist by D. Smith),17,19
57,1,5:14.0,,Shooting foul by J. Okogie (drawn by D. Dotson),17,19
58,1,5:14.0,D. Rose enters the game for J. Okogie,,17,19
59,1,5:14.0,,D. Dotson makes free throw 1 of 1,17,20
60,1,4:54.0,J. Teague makes 2-pt layup from 2 ft (assist by A. Wiggins),,19,20
61,1,4:38.0,,N. Vonleh makes 2-pt hook shot from 5 ft,19,22
62,1,4:27.0,D. Rose misses 2-pt jump shot from 7 ft,,19,22
63,1,4:25.0,,Defensive rebound by D. Jordan,19,22
64,1,4:21.0,,D. Dotson makes 3-pt jump shot from 26 ft,19,25
65,1,4:20.0,Minnesota full timeout,,19,25
66,1,4:20.0,L. Deng enters the game for D. Šarić,,19,25
67,1,4:20.0,,E. Mudiay enters the game for D. Smith,19,25
68,1,4:08.0,T. Gibson makes 2-pt layup from 1 ft (assist by J. Teague),,21,25
69,1,3:45.0,,D. Jordan makes 2-pt jump shot from 1 ft,21,27
70,1,3:36.0,J. Teague misses 2-pt jump shot from 16 ft,,21,27
71,1,3:31.0,,Defensive rebound by Team,21,27
72,1,3:31.0,T. Jones enters the game for J. Teague,,21,27
73,1,3:31.0,,A. Trier enters the game for K. Knox,21,27
74,1,3:10.0,,E. Mudiay misses 2-pt jump shot from 10 ft,21,27
75,1,3:08.0,Defensive rebound by A. Wiggins,,21,27
76,1,3:01.0,A. Wiggins makes 2-pt jump shot from 14 ft,,23,27
