,QUARTER,TIME_REMAINING,TORONTO_ACTION,OKLAHOMA CITY_ACTION,TORONTO_SCORE,OKLAHOMA CITY_SCORE
0,1,11:35.0,F. VanVleet makes 2-pt jump shot from 12 ft (assist by D. Green),,2,0
1,1,11:28.0,,P. George misses 3-pt jump shot from 25 ft,2,0
2,1,11:25.0,Defensive rebound by K. Leonard,,2,0
3,1,11:15.0,P. Siakam misses 2-pt jump shot from 3 ft,,2,0
4,1,11:13.0,,Defensive rebound by P. George,2,0
5,1,11:05.0,,J. Grant misses 2-pt jump shot from 11 ft,2,0
6,1,11:03.0,,Offensive rebound by S. Adams,2,0
7,1,10:58.0,,J. Grant makes 2-pt layup from 2 ft (assist by P. George),2,2
8,1,10:42.0,D. Green makes 3-pt jump shot from 25 ft (assist by K. Leonard),,5,2
9,1,10:23.0,,T. Ferguson makes 3-pt jump shot from 24 ft (assist by R. Westbrook),5,5
10,1,10:03.0,F. VanVleet misses 3-pt jump shot from 23 ft,,5,5
11,1,10:01.0,Offensive rebound by P. Siakam,,5,5
12,1,9:49.0,M. Gasol makes 2-pt jump shot from 6 ft (assist by D. Green),,7,5
13,1,9:40.0,,Turnover by P. George (out of bounds lost ball),7,5
14,1,9:28.0,Turnover by P. Siakam (out of bounds lost ball),,7,5
15,1,9:16.0,,R. Westbrook makes 3-pt jump shot from 24 ft (assist by J. Grant),7,8
16,1,9:00.0,Personal foul by T. Ferguson (drawn by K. Leonard),,7,8
17,1,8:46.0,Turnover by F. VanVleet (bad pass; steal by S. Adams),,7,8
18,1,8:43.0,,Turnover by R. Westbrook (bad pass; steal by F. VanVleet),7,8
19,1,8:35.0,M. Gasol misses 3-pt jump shot from 25 ft,,7,8
20,1,8:31.0,,Defensive rebound by J. Grant,7,8
21,1,8:26.0,,R. Westbrook misses 2-pt jump shot from 15 ft,7,8
22,1,8:25.0,,Offensive rebound by S. Adams,7,8
23,1,8:25.0,,S. Adams misses 2-pt layup at rim,7,8
24,1,8:23.0,Defensive rebound by K. Leonard,,7,8
25,1,8:13.0,K. Leonard makes 3-pt jump shot from 26 ft,,10,8
26,1,8:04.0,,Shooting foul by D. Green (drawn by P. George),10,8
27,1,8:04.0,,P. George makes free throw 1 of 2,10,9
28,1,8:04.0,,P. George misses free throw 2 of 2,10,9
29,1,8:00.0,Defensive rebound by M. Gasol,,10,9
30,1,7:56.0,F. VanVleet makes 2-pt layup from 2 ft,,12,9
31,1,7:48.0,,T. Ferguson misses 3-pt jump shot from 23 ft,12,9
32,1,7:46.0,,Offensive rebound by Team,12,9
33,1,7:46.0,,Personal foul by F. VanVleet (drawn by S. Adams),12,9
34,1,7:39.0,,R. Westbrook makes 2-pt jump shot from 7 ft,12,11
35,1,7:33.0,Turnover by P. Siakam (bad pass),,12,11
36,1,7:22.0,,J. Grant misses 2-pt layup from 6 ft (block by M. Gasol),12,11
37,1,7:20.0,Defensive rebound by D. Green,,12,11
38,1,7:15.0,Turnover by D. Green (bad pass; steal by P. George),,12,11
39,1,7:12.0,,P. George makes 2-pt layup from 2 ft,12,13
40,1,7:12.0,,Shooting foul by F. VanVleet (drawn by P. George),12,13
41,1,7:12.0,,P. George misses free throw 1 of 1,12,13
42,1,7:10.0,Defensive rebound by P. Siakam,,12,13
43,1,6:52.0,Shooting foul by R. Westbrook (drawn by F. VanVleet),,12,13
44,1,6:52.0,,Oklahoma City full timeout,12,13
45,1,6:52.0,F. VanVleet makes free throw 1 of 2,,13,13
46,1,6:52.0,F. VanVleet makes free throw 2 of 2,,14,13
47,1,6:42.0,,R. Westbrook makes 2-pt layup from 2 ft,14,15
48,1,6:22.0,D. Green makes 3-pt jump shot from 26 ft (assist by K. Leonard),,17,15
49,1,6:07.0,,Turnover by R. Westbrook (bad pass; steal by K. Leonard),17,15
50,1,6:01.0,P. Siakam makes 2-pt dunk from 1 ft (assist by F. VanVleet),,19,15
51,1,5:49.0,,P. George makes 2-pt layup from 1 ft,19,17
52,1,5:28.0,F. VanVleet misses 2-pt jump shot from 14 ft,,19,17
53,1,5:26.0,,Defensive rebound by J. Grant,19,17
54,1,5:20.0,,J. Grant misses 3-pt jump shot from 25 ft,19,17
55,1,5:17.0,Defensive rebound by P. Siakam,,19,17
56,1,5:06.0,P. Siakam makes 2-pt jump shot from 3 ft,,21,17
57,1,4:44.0,,S. Adams makes 2-pt hook shot from 5 ft (assist by J. Grant),21,19
58,1,4:25.0,K. Leonard misses 3-pt jump shot from 26 ft,,21,19
59,1,4:23.0,,Defensive rebound by J. Grant,21,19
60,1,4:11.0,,S. Adams makes 2-pt hook shot from 6 ft,21,21
61,1,3:55.0,D. Green makes 3-pt jump shot from 25 ft (assist by K. Leonard),,24,21
62,1,3:39.0,,Personal foul by M. Gasol (drawn by T. Ferguson),24,21
63,1,3:39.0,O. Anunoby enters the game for K. Leonard,,24,21
64,1,3:39.0,N. Powell enters the game for F. VanVleet,,24,21
65,1,3:39.0,,D. Schröder enters the game for P. George,24,21
66,1,3:31.0,,R. Westbrook misses 2-pt jump shot from 13 ft,24,21
67,1,3:26.0,Defensive rebound by N. Powell,,24,21
68,1,3:09.0,P. Siakam misses 2-pt layup from 1 ft,,24,21
69,1,3:08.0,,Defensive rebound by J. Grant,24,21
70,1,3:03.0,,R. Westbrook makes 2-pt layup from 2 ft,24,23
71,1,3:02.0,Toronto full timeout,,24,23
72,1,3:02.0,S. Ibaka enters the game for M. Gasol,,24,23
73,1,3:02.0,,M. Morris enters the game for J. Grant,24,23
74,1,2:50.0,P. Siakam makes 2-pt layup from 5 ft (assist by D. Green),,26,23
75,1,2:36.0,,T. Ferguson misses 3-pt jump shot from 22 ft,26,23
76,1,2:34.0,,Offensive rebound by S. Adams,26,23
77,1,2:28.0,,T. Ferguson makes 2-pt layup from 2 ft (assist by S. Adams),26,25
78,1,2:20.0,O. Anunoby makes 3-pt jump shot from 23 ft (assist by P. Siakam),,29,25
79,1,1:58.0,,Personal foul by P. Siakam (drawn by D. Schröder),29,25
80,1,1:58.0,J. Lin enters the game for D. Green,,29,25
81,1,1:58.0,,P. George enters the game for S. Adams,29,25
82,1,1:58.0,,A. Nader enters the game for T. Ferguson,29,25
83,1,1:58.0,,N. Noel enters the game for R. Westbrook,29,25
84,1,1:58.0,,D. Schröder misses free throw 1 of 2,29,25
85,1,1:58.0,,Offensive rebound by Team,29,25
86,1,1:58.0,,D. Schröder makes free throw 2 of 2,29,26
87,1,1:49.0,Personal foul by P. George (drawn by P. Siakam),,29,26
88,1,1:41.0,P. Siakam makes 2-pt layup from 2 ft,,31,26
89,1,1:29.0,,D. Schröder misses 2-pt jump shot from 6 ft,31,26
