,QUARTER,TIME_REMAINING,NEW YORK_ACTION,BOSTON_ACTION,NEW YORK_SCORE,BOSTON_SCORE
0,1,11:43.0,,M. Morris makes 2-pt jump shot from 15 ft (assist by J. Tatum),0,2
1,1,11:21.0,T. Hardaway misses 3-pt jump shot from 26 ft,,0,2
2,1,11:19.0,,Defensive rebound by K. Irving,0,2
3,1,11:05.0,,M. Morris makes 2-pt hook shot from 8 ft (assist by A. Horford),0,4
4,1,10:40.0,M. Hezonja misses 3-pt jump shot from 25 ft,,0,4
5,1,10:36.0,,Defensive rebound by A. Horford,0,4
6,1,10:31.0,,K. Irving makes 2-pt jump shot from 6 ft,0,6
7,1,10:15.0,Turnover by T. Hardaway (lost ball; steal by M. Morris),,0,6
8,1,10:11.0,,J. Tatum misses 3-pt jump shot from 25 ft,0,6
9,1,10:08.0,,Offensive rebound by K. Irving,0,6
10,1,10:04.0,,M. Morris misses 3-pt jump shot from 26 ft,0,6
11,1,10:00.0,Defensive rebound by M. Hezonja,,0,6
12,1,9:52.0,M. Hezonja misses 2-pt layup from 4 ft,,0,6
13,1,9:51.0,Offensive rebound by E. Freedom,,0,6
14,1,9:50.0,E. Freedom makes 2-pt layup from 1 ft,,2,6
15,1,9:36.0,,K. Irving misses 2-pt jump shot from 21 ft,2,6
16,1,9:34.0,Defensive rebound by N. Vonleh,,2,6
17,1,9:24.0,Personal foul by J. Tatum (drawn by E. Freedom),,2,6
18,1,9:16.0,Turnover by T. Hardaway (bad pass; steal by M. Smart),,2,6
19,1,9:11.0,,M. Smart makes 2-pt layup at rim,2,8
20,1,8:53.0,Turnover by N. Vonleh (traveling),,2,8
21,1,8:38.0,,A. Horford misses 2-pt hook shot from 4 ft,2,8
22,1,8:37.0,Defensive rebound by E. Freedom,,2,8
23,1,8:30.0,E. Freedom makes 2-pt dunk from 1 ft (assist by E. Mudiay),,4,8
24,1,8:09.0,,J. Tatum makes 2-pt jump shot from 9 ft (assist by A. Horford),4,10
25,1,7:58.0,Personal foul by A. Horford (drawn by T. Hardaway),,4,10
26,1,7:48.0,T. Hardaway makes 3-pt jump shot from 25 ft (assist by E. Mudiay),,7,10
27,1,7:32.0,,J. Tatum makes 2-pt jump shot from 13 ft (assist by K. Irving),7,12
28,1,7:15.0,E. Freedom makes 2-pt layup from 2 ft,,9,12
29,1,7:04.0,,K. Irving makes 2-pt jump shot from 6 ft,9,14
30,1,6:50.0,Personal foul by M. Smart (drawn by N. Vonleh),,9,14
31,1,6:50.0,,Boston full timeout,9,14
32,1,6:45.0,E. Mudiay makes 2-pt jump shot from 16 ft,,11,14
33,1,6:23.0,,J. Tatum makes 3-pt jump shot from 25 ft (assist by M. Smart),11,17
34,1,6:03.0,T. Hardaway makes 3-pt jump shot from 27 ft (assist by E. Freedom),,14,17
35,1,5:50.0,,K. Irving makes 2-pt jump shot from 21 ft,14,19
36,1,5:26.0,N. Vonleh makes 2-pt hook shot from 6 ft,,16,19
37,1,5:20.0,,K. Irving makes 3-pt jump shot from 28 ft,16,22
38,1,4:58.0,N. Vonleh makes 3-pt jump shot from 27 ft (assist by M. Hezonja),,19,22
39,1,4:46.0,,K. Irving misses 3-pt jump shot from 26 ft,19,22
40,1,4:43.0,Defensive rebound by M. Hezonja,,19,22
41,1,4:40.0,Turnover by M. Hezonja (bad pass),,19,22
42,1,4:40.0,K. Knox enters the game for M. Hezonja,,19,22
43,1,4:40.0,,J. Brown enters the game for M. Morris,19,22
44,1,4:40.0,,G. Hayward enters the game for M. Smart,19,22
45,1,4:25.0,,J. Tatum misses 2-pt jump shot from 6 ft,19,22
46,1,4:23.0,Defensive rebound by E. Freedom,,19,22
47,1,4:11.0,E. Mudiay misses 3-pt jump shot from 23 ft,,19,22
48,1,4:07.0,,Defensive rebound by A. Horford,19,22
49,1,3:57.0,,J. Brown makes 2-pt layup from 2 ft (assist by A. Horford),19,24
50,1,3:57.0,,Shooting foul by E. Freedom (drawn by J. Brown),19,24
51,1,3:57.0,M. Robinson enters the game for E. Freedom,,19,24
52,1,3:57.0,,J. Brown makes free throw 1 of 1,19,25
53,1,3:49.0,E. Mudiay misses 2-pt layup from 3 ft,,19,25
54,1,3:44.0,M. Robinson makes 2-pt layup at rim,,21,25
55,1,3:44.0,Offensive rebound by M. Robinson,,21,25
56,1,3:36.0,,Shooting foul by M. Robinson (drawn by J. Brown),21,25
57,1,3:36.0,A. Trier enters the game for T. Hardaway,,21,25
58,1,3:36.0,,A. Baynes enters the game for A. Horford,21,25
59,1,3:36.0,,D. Theis enters the game for J. Tatum,21,25
60,1,3:36.0,,J. Brown makes free throw 1 of 2,21,26
61,1,3:36.0,,J. Brown makes free throw 2 of 2,21,27
62,1,3:27.0,Personal foul by J. Brown (drawn by A. Trier),,21,27
63,1,3:17.0,A. Trier makes 2-pt jump shot from 14 ft (assist by K. Knox),,23,27
64,1,3:02.0,,Personal foul by A. Trier (drawn by J. Brown),23,27
65,1,2:57.0,,G. Hayward makes 3-pt jump shot from 26 ft (assist by K. Irving),23,30
66,1,2:40.0,Turnover by M. Robinson (3 sec),,23,30
67,1,2:40.0,New York full timeout,,23,30
