,QUARTER,TIME_REMAINING,BROOKLYN_ACTION,DETROIT_ACTION,BROOKLYN_SCORE,DETROIT_SCORE
0,1,11:49.0,,Turnover by A. Drummond (lost ball; steal by C. LeVert),0,0
1,1,11:45.0,,Loose ball foul by L. Kennard (drawn by C. LeVert),0,0
2,1,11:39.0,Personal foul by B. Brown (drawn by C. LeVert),,0,0
3,1,11:28.0,J. Allen makes 2-pt dunk at rim (assist by D. Russell),,2,0
4,1,11:19.0,,A. Drummond misses 2-pt jump shot from 19 ft,2,0
5,1,11:15.0,Defensive rebound by J. Harris,,2,0
6,1,11:10.0,C. LeVert misses 2-pt layup from 7 ft (block by B. Brown),,2,0
7,1,11:05.0,,Defensive rebound by B. Brown,2,0
8,1,10:59.0,,L. Kennard misses 2-pt jump shot from 21 ft,2,0
9,1,10:56.0,Defensive rebound by D. Russell,,2,0
10,1,10:50.0,J. Allen misses 2-pt layup from 3 ft,,2,0
11,1,10:45.0,Offensive rebound by J. Dudley,,2,0
12,1,10:38.0,D. Russell misses 2-pt layup from 2 ft,,2,0
13,1,10:35.0,Offensive rebound by J. Allen,,2,0
14,1,10:30.0,D. Russell makes 2-pt jump shot from 14 ft,,4,0
15,1,10:12.0,,Turnover by A. Drummond (lost ball; steal by D. Russell),4,0
16,1,10:05.0,C. LeVert makes 2-pt dunk from 1 ft (assist by D. Russell),,6,0
17,1,9:56.0,,Personal foul by D. Russell (drawn by R. Jackson),6,0
18,1,9:45.0,,Turnover by B. Brown (traveling),6,0
19,1,9:28.0,J. Allen makes 2-pt layup from 3 ft (assist by J. Dudley),,8,0
20,1,9:28.0,,Detroit full timeout,8,0
21,1,9:23.0,,R. Jackson misses 2-pt layup from 5 ft,8,0
22,1,9:22.0,Defensive rebound by Team,,8,0
23,1,9:04.0,J. Harris misses 3-pt jump shot from 28 ft,,8,0
24,1,9:00.0,,Defensive rebound by A. Drummond,8,0
25,1,8:59.0,,Personal foul by J. Harris (drawn by B. Griffin),8,0
26,1,8:54.0,,L. Kennard makes 2-pt layup from 3 ft (assist by B. Griffin),8,2
