,QUARTER,TIME_REMAINING,HOUSTON_ACTION,GOLDEN STATE_ACTION,HOUSTON_SCORE,GOLDEN STATE_SCORE
0,1,11:46.0,Turnover by C. Capela (traveling),,0,0
1,1,11:30.0,,A. Iguodala makes 2-pt jump shot from 12 ft,0,2
2,1,11:22.0,Offensive foul by J. Harden (drawn by K. Durant),,0,2
3,1,11:22.0,Turnover by J. Harden (offensive foul),,0,2
4,1,11:06.0,,Shooting foul by P. Tucker (drawn by A. Iguodala),0,2
5,1,11:06.0,,A. Iguodala makes free throw 1 of 2,0,3
6,1,11:06.0,,A. Iguodala misses free throw 2 of 2,0,3
7,1,11:05.0,Defensive rebound by J. Harden,,0,3
8,1,10:42.0,Turnover by E. Gordon (bad pass),,0,3
9,1,10:35.0,,A. Iguodala makes 3-pt jump shot from 23 ft (assist by S. Curry),0,6
10,1,10:09.0,J. Harden misses 2-pt jump shot from 7 ft,,0,6
11,1,10:08.0,Offensive rebound by C. Capela,,0,6
12,1,10:08.0,C. Capela makes 2-pt layup at rim,,2,6
13,1,9:56.0,,Turnover by D. Green (bad pass; steal by C. Paul),2,6
14,1,9:49.0,Turnover by C. Paul (bad pass; steal by K. Durant),,2,6
15,1,9:43.0,,K. Thompson makes 2-pt layup from 1 ft (assist by K. Durant),2,8
16,1,9:30.0,J. Harden misses 2-pt layup from 2 ft (block by K. Durant),,2,8
17,1,9:29.0,Offensive rebound by Team,,2,8
18,1,9:18.0,P. Tucker makes 3-pt jump shot from 23 ft (assist by C. Capela),,5,8
19,1,9:08.0,,K. Thompson misses 3-pt jump shot from 29 ft,5,8
20,1,9:06.0,Defensive rebound by P. Tucker,,5,8
21,1,8:47.0,Turnover by J. Harden (bad pass; steal by S. Curry),,5,8
22,1,8:41.0,,K. Durant misses 2-pt layup from 3 ft,5,8
23,1,8:40.0,,Offensive rebound by D. Green,5,8
24,1,8:35.0,,D. Green makes 2-pt layup from 1 ft,5,10
25,1,8:31.0,Shooting foul by D. Green (drawn by C. Capela),,5,10
26,1,8:31.0,C. Capela misses free throw 1 of 2,,5,10
27,1,8:31.0,Offensive rebound by Team,,5,10
28,1,8:31.0,,Golden State full timeout,5,10
29,1,8:31.0,,J. Jerebko enters the game for S. Curry,5,10
30,1,8:31.0,C. Capela makes free throw 2 of 2,,6,10
31,1,8:09.0,,K. Durant makes 2-pt jump shot from 18 ft (assist by D. Green),6,12
32,1,7:48.0,C. Paul makes 2-pt jump shot from 17 ft (assist by P. Tucker),,8,12
33,1,7:31.0,,A. Iguodala misses 3-pt jump shot from 26 ft,8,12
34,1,7:29.0,Defensive rebound by P. Tucker,,8,12
35,1,7:20.0,Turnover by C. Paul (bad pass; steal by D. Green),,8,12
36,1,7:13.0,,K. Thompson misses 2-pt jump shot from 18 ft,8,12
37,1,7:12.0,,Offensive rebound by J. Jerebko,8,12
38,1,7:12.0,,J. Jerebko makes 2-pt dunk from 1 ft,8,14
39,1,6:52.0,,Violation by Team (kicked ball),8,14
40,1,6:52.0,D. House enters the game for C. Paul,,8,14
41,1,6:43.0,J. Harden misses 2-pt layup from 7 ft,,8,14
42,1,6:42.0,,Defensive rebound by J. Jerebko,8,14
43,1,6:32.0,,K. Durant makes 3-pt jump shot from 23 ft (assist by D. Green),8,17
44,1,6:27.0,Houston full timeout,,8,17
