,QUARTER,TIME_REMAINING,INDIANA_ACTION,SACRAMENTO_ACTION,INDIANA_SCORE,SACRAMENTO_SCORE
0,1,11:40.0,,Turnover by D. Fox (bad pass),0,0
1,1,11:24.0,Shooting foul by I. Shumpert (drawn by B. Bogdanović),,0,0
2,1,11:24.0,B. Bogdanović makes free throw 1 of 2,,1,0
3,1,11:24.0,B. Bogdanović makes free throw 2 of 2,,2,0
4,1,11:15.0,,B. Hield makes 3-pt jump shot from 25 ft (assist by D. Fox),2,3
5,1,10:59.0,Turnover by D. Collison (bad pass),,2,3
6,1,10:51.0,,W. Cauley-Stein misses 2-pt hook shot from 3 ft,2,3
7,1,10:48.0,Defensive rebound by D. Collison,,2,3
8,1,10:38.0,D. Collison misses 2-pt layup from 4 ft,,2,3
9,1,10:36.0,,Defensive rebound by D. Fox,2,3
10,1,10:31.0,,I. Shumpert misses 2-pt jump shot from 23 ft,2,3
11,1,10:28.0,,Offensive rebound by W. Cauley-Stein,2,3
12,1,10:28.0,,N. Bjelica makes 2-pt layup from 2 ft (assist by W. Cauley-Stein),2,5
13,1,10:08.0,B. Bogdanović makes 2-pt layup from 2 ft (assist by M. Turner),,4,5
14,1,9:59.0,,D. Fox misses 3-pt jump shot from 26 ft,4,5
15,1,9:56.0,Defensive rebound by M. Turner,,4,5
16,1,9:48.0,T. Evans makes 2-pt layup from 3 ft,,6,5
17,1,9:38.0,,I. Shumpert misses 2-pt jump shot from 19 ft,6,5
18,1,9:33.0,Defensive rebound by M. Turner,,6,5
19,1,9:28.0,T. Evans misses 2-pt jump shot from 23 ft,,6,5
20,1,9:25.0,,Defensive rebound by N. Bjelica,6,5
21,1,9:16.0,,W. Cauley-Stein misses 2-pt hook shot from 3 ft,6,5
22,1,9:16.0,Defensive rebound by M. Turner,,6,5
23,1,9:08.0,Personal foul by W. Cauley-Stein (drawn by B. Bogdanović),,6,5
24,1,8:58.0,Turnover by B. Bogdanović (lost ball; steal by D. Fox),,6,5
25,1,8:53.0,,B. Hield misses 3-pt jump shot from 25 ft,6,5
26,1,8:52.0,,Offensive rebound by Team,6,5
27,1,8:52.0,Loose ball foul by M. Turner (drawn by N. Bjelica),,6,5
28,1,8:49.0,,Personal foul by B. Bogdanović (drawn by I. Shumpert),6,5
29,1,8:41.0,,W. Cauley-Stein misses 2-pt layup from 2 ft,6,5
30,1,8:37.0,Defensive rebound by M. Turner,,6,5
31,1,8:25.0,B. Bogdanović misses 2-pt jump shot from 7 ft,,6,5
32,1,8:23.0,,Defensive rebound by I. Shumpert,6,5
33,1,8:17.0,,I. Shumpert makes 2-pt jump shot from 16 ft,6,7
34,1,8:04.0,M. Turner makes 2-pt dunk from 2 ft (assist by D. Collison),,8,7
35,1,7:51.0,,I. Shumpert misses 2-pt layup from 2 ft (block by M. Turner),8,7
36,1,7:47.0,,Offensive rebound by N. Bjelica,8,7
37,1,7:46.0,,N. Bjelica makes 2-pt layup from 3 ft,8,9
38,1,7:26.0,B. Bogdanović makes 2-pt layup from 2 ft,,10,9
39,1,7:16.0,,Personal foul by T. Young (drawn by N. Bjelica),10,9
40,1,7:02.0,,N. Bjelica makes 2-pt jump shot from 4 ft (assist by B. Hield),10,11
41,1,6:35.0,T. Evans makes 3-pt jump shot from 25 ft (assist by D. Collison),,13,11
42,1,6:19.0,,N. Bjelica misses 3-pt jump shot from 26 ft,13,11
43,1,6:17.0,Defensive rebound by T. Evans,,13,11
