,QUARTER,TIME_REMAINING,SAN ANTONIO_ACTION,ATLANTA_ACTION,SAN ANTONIO_SCORE,ATLANTA_SCORE
0,1,11:42.0,D. White misses 2-pt jump shot from 12 ft,,0,0
1,1,11:39.0,,Defensive rebound by A. Len,0,0
2,1,11:27.0,,T. Young misses 2-pt jump shot from 22 ft,0,0
3,1,11:23.0,Defensive rebound by D. DeRozan,,0,0
4,1,11:20.0,Turnover by D. DeRozan (bad pass),,0,0
5,1,11:11.0,,T. Prince makes 3-pt jump shot from 26 ft (assist by J. Collins),0,3
6,1,10:50.0,Turnover by B. Forbes (lost ball; steal by T. Young),,0,3
7,1,10:47.0,,T. Young misses 2-pt layup from 3 ft (block by D. White),0,3
8,1,10:47.0,Defensive rebound by Team,,0,3
9,1,10:28.0,L. Aldridge misses 2-pt jump shot from 19 ft,,0,3
10,1,10:26.0,,Defensive rebound by T. Prince,0,3
11,1,10:20.0,,A. Len makes 3-pt jump shot from 25 ft (assist by T. Young),0,6
12,1,10:04.0,L. Aldridge makes 2-pt jump shot from 19 ft (assist by D. White),,2,6
13,1,9:50.0,,K. Huerter misses 3-pt jump shot from 23 ft,2,6
14,1,9:47.0,Defensive rebound by R. Gay,,2,6
15,1,9:35.0,L. Aldridge makes 2-pt jump shot from 20 ft (assist by D. DeRozan),,4,6
16,1,9:19.0,,J. Collins misses 3-pt jump shot from 25 ft,4,6
17,1,9:15.0,Defensive rebound by D. White,,4,6
18,1,9:10.0,D. White makes 2-pt layup from 1 ft,,6,6
19,1,8:53.0,,T. Young misses 2-pt jump shot from 11 ft,6,6
20,1,8:50.0,,Offensive rebound by A. Len,6,6
21,1,8:48.0,,K. Huerter misses 3-pt jump shot from 27 ft,6,6
22,1,8:46.0,Defensive rebound by L. Aldridge,,6,6
23,1,8:37.0,R. Gay makes 2-pt jump shot from 11 ft,,8,6
24,1,8:37.0,Shooting foul by J. Collins (drawn by R. Gay),,8,6
25,1,8:37.0,R. Gay makes free throw 1 of 1,,9,6
26,1,8:30.0,,Personal foul by D. White (drawn by T. Young),9,6
27,1,8:26.0,,J. Collins makes 2-pt layup from 1 ft (assist by A. Len),9,8
28,1,8:15.0,L. Aldridge makes 2-pt jump shot from 20 ft (assist by D. DeRozan),,11,8
29,1,8:02.0,,T. Young makes 2-pt jump shot from 10 ft,11,10
30,1,7:49.0,D. White makes 2-pt dunk from 1 ft (assist by D. DeRozan),,13,10
31,1,7:33.0,,J. Collins makes 2-pt layup from 2 ft (assist by T. Young),13,12
32,1,7:20.0,D. DeRozan misses 2-pt layup from 1 ft,,13,12
33,1,7:18.0,,Defensive rebound by T. Young,13,12
34,1,7:15.0,,Shooting foul by L. Aldridge (drawn by A. Len),13,12
35,1,7:15.0,,A. Len makes free throw 1 of 2,13,13
36,1,7:15.0,,K. Bazemore enters the game for J. Collins,13,13
37,1,7:15.0,,V. Carter enters the game for K. Huerter,13,13
