,QUARTER,TIME_REMAINING,MILWAUKEE_ACTION,PHILADELPHIA_ACTION,MILWAUKEE_SCORE,PHILADELPHIA_SCORE
0,1,11:47.0,B. Lopez misses 3-pt jump shot from 25 ft,,0,0
1,1,11:43.0,,Defensive rebound by T. Harris,0,0
2,1,11:37.0,,J. Redick makes 3-pt jump shot from 24 ft (assist by B. Simmons),0,3
3,1,11:29.0,Shooting foul by B. Simmons (drawn by G. Antetokounmpo),,0,3
4,1,11:29.0,G. Antetokounmpo makes free throw 1 of 2,,1,3
5,1,11:29.0,G. Antetokounmpo makes free throw 2 of 2,,2,3
6,1,11:07.0,,T. Harris makes 2-pt jump shot from 5 ft (assist by J. Embiid),2,5
7,1,10:53.0,K. Middleton makes 3-pt jump shot from 27 ft (assist by S. Brown),,5,5
8,1,10:40.0,,J. Redick misses 2-pt jump shot from 20 ft,5,5
9,1,10:38.0,Defensive rebound by B. Lopez,,5,5
10,1,10:27.0,G. Antetokounmpo misses 3-pt jump shot from 26 ft,,5,5
11,1,10:23.0,,Defensive rebound by T. Harris,5,5
12,1,10:16.0,,J. Embiid misses 2-pt layup from 2 ft (block by G. Antetokounmpo),5,5
13,1,10:14.0,Defensive rebound by G. Antetokounmpo,,5,5
14,1,10:11.0,Shooting foul by T. Harris (drawn by G. Antetokounmpo),,5,5
15,1,10:11.0,G. Antetokounmpo makes free throw 1 of 2,,6,5
16,1,10:11.0,G. Antetokounmpo makes free throw 2 of 2,,7,5
17,1,9:52.0,,J. Embiid misses 2-pt hook shot from 3 ft,7,5
18,1,9:50.0,Defensive rebound by G. Antetokounmpo,,7,5
19,1,9:47.0,K. Middleton makes 3-pt jump shot from 26 ft (assist by G. Antetokounmpo),,10,5
20,1,9:36.0,,J. Embiid misses 3-pt jump shot from 26 ft,10,5
21,1,9:33.0,Defensive rebound by Team,,10,5
22,1,9:25.0,G. Antetokounmpo makes 3-pt jump shot from 25 ft,,13,5
23,1,9:24.0,Technical foul by E. Bledsoe,,13,5
24,1,9:24.0,Technical foul by E. Bledsoe,,13,5
25,1,9:24.0,E. Bledsoe ejected from game,,13,5
26,1,9:24.0,G. Hill enters the game for E. Bledsoe,,13,5
27,1,9:24.0,,Technical foul by M. Scott,13,5
28,1,9:24.0,,Technical foul by J. Embiid,13,5
29,1,9:11.0,,Turnover by J. Embiid (lost ball; steal by K. Middleton),13,5
30,1,9:09.0,Shooting foul by T. Harris (drawn by G. Antetokounmpo),,13,5
31,1,9:09.0,G. Antetokounmpo makes free throw 1 of 2,,14,5
32,1,9:09.0,G. Antetokounmpo misses free throw 2 of 2,,14,5
33,1,9:07.0,,Defensive rebound by T. Harris,14,5
34,1,8:59.0,,T. Harris misses 2-pt layup from 4 ft (block by B. Lopez),14,5
35,1,8:55.0,Defensive rebound by B. Lopez,,14,5
36,1,8:51.0,K. Middleton misses 2-pt jump shot from 9 ft,,14,5
37,1,8:48.0,,Defensive rebound by B. Simmons,14,5
38,1,8:41.0,,Personal foul by K. Middleton (drawn by J. Embiid),14,5
39,1,8:37.0,,T. Harris makes 2-pt jump shot from 15 ft (assist by J. Embiid),14,7
40,1,8:09.0,S. Brown misses 2-pt layup from 2 ft,,14,7
41,1,8:09.0,,Defensive rebound by J. Embiid,14,7
42,1,8:09.0,,Personal foul by G. Antetokounmpo (drawn by J. Embiid),14,7
43,1,8:09.0,P. Connaughton enters the game for G. Antetokounmpo,,14,7
44,1,8:02.0,,J. Redick makes 3-pt jump shot from 25 ft (assist by B. Simmons),14,10
45,1,8:01.0,Milwaukee full timeout,,14,10
46,1,7:46.0,Turnover by S. Brown (bad pass; steal by J. Redick),,14,10
47,1,7:43.0,,Personal take foul by G. Hill (drawn by B. Simmons),14,10
48,1,7:37.0,,T. Harris misses 2-pt jump shot from 7 ft,14,10
49,1,7:34.0,Defensive rebound by G. Hill,,14,10
50,1,7:32.0,K. Middleton makes 2-pt jump shot from 17 ft (assist by G. Hill),,16,10
51,1,7:22.0,,J. Embiid misses 3-pt jump shot from 26 ft,16,10
52,1,7:19.0,Defensive rebound by P. Connaughton,,16,10
53,1,7:06.0,K. Middleton misses 3-pt jump shot from 25 ft,,16,10
54,1,7:02.0,,Defensive rebound by T. Harris,16,10
55,1,6:54.0,,J. Embiid misses 2-pt jump shot from 10 ft,16,10
56,1,6:50.0,Defensive rebound by G. Hill,,16,10
57,1,6:36.0,K. Middleton misses 2-pt jump shot from 19 ft,,16,10
58,1,6:33.0,,Defensive rebound by J. Redick,16,10
59,1,6:28.0,,J. Embiid misses 3-pt jump shot from 26 ft,16,10
60,1,6:25.0,Defensive rebound by B. Lopez,,16,10
61,1,6:20.0,S. Brown misses 3-pt jump shot from 27 ft,,16,10
62,1,6:17.0,,Defensive rebound by J. Embiid,16,10
63,1,6:11.0,,Shooting foul by B. Lopez (drawn by J. Embiid),16,10
64,1,6:11.0,,J. Embiid makes free throw 1 of 2,16,11
65,1,6:11.0,G. Antetokounmpo enters the game for K. Middleton,,16,11
66,1,6:11.0,,J. Bolden enters the game for J. Redick,16,11
67,1,6:11.0,,T. McConnell enters the game for M. Scott,16,11
68,1,6:11.0,,S. Milton enters the game for B. Simmons,16,11
69,1,6:11.0,,J. Embiid makes free throw 2 of 2,16,12
70,1,5:56.0,G. Hill makes 2-pt jump shot from 17 ft,,18,12
71,1,5:38.0,,J. Embiid makes 2-pt hook shot from 4 ft,18,14
72,1,5:21.0,G. Antetokounmpo makes 2-pt hook shot from 6 ft,,20,14
73,1,5:10.0,,T. McConnell misses 2-pt jump shot from 11 ft,20,14
74,1,5:06.0,Defensive rebound by P. Connaughton,,20,14
75,1,5:02.0,Shooting foul by J. Embiid (drawn by G. Antetokounmpo),,20,14
76,1,5:02.0,G. Antetokounmpo makes free throw 1 of 2,,21,14
77,1,5:02.0,G. Antetokounmpo makes free throw 2 of 2,,22,14
78,1,4:39.0,,T. Harris misses 3-pt jump shot from 43 ft,22,14
79,1,4:39.0,Defensive rebound by Team,,22,14
80,1,4:25.0,S. Brown misses 2-pt layup from 7 ft (block by J. Embiid),,22,14
81,1,4:22.0,,Defensive rebound by T. Harris,22,14
82,1,4:19.0,,T. McConnell makes 2-pt jump shot from 9 ft (assist by T. Harris),22,16
83,1,4:06.0,B. Lopez misses 3-pt jump shot from 26 ft,,22,16
84,1,4:04.0,,Defensive rebound by T. McConnell,22,16
85,1,4:02.0,,Philadelphia full timeout,22,16
86,1,4:02.0,E. İlyasova enters the game for S. Brown,,22,16
87,1,4:02.0,D. Wilson enters the game for B. Lopez,,22,16
88,1,3:49.0,,T. Harris misses 2-pt jump shot from 11 ft,22,16
89,1,3:45.0,,Offensive rebound by J. Embiid,22,16
90,1,3:38.0,,T. McConnell misses 2-pt jump shot from 12 ft,22,16
91,1,3:35.0,Defensive rebound by G. Hill,,22,16
92,1,3:29.0,G. Hill misses 3-pt jump shot from 26 ft,,22,16
93,1,3:26.0,,Defensive rebound by J. Embiid,22,16
94,1,3:19.0,,J. Embiid makes 2-pt jump shot from 16 ft (assist by T. McConnell),22,18
95,1,3:04.0,G. Antetokounmpo misses 2-pt dunk from 3 ft,,22,18
96,1,3:01.0,,Defensive rebound by T. Harris,22,18
97,1,2:57.0,,Offensive foul by T. Harris (drawn by E. İlyasova),22,18
98,1,2:57.0,,Turnover by T. Harris (offensive foul),22,18
99,1,2:57.0,,B. Marjanović enters the game for J. Embiid,22,18
100,1,2:57.0,,J. Redick enters the game for T. Harris,22,18
101,1,2:57.0,,B. Simmons enters the game for T. McConnell,22,18
102,1,2:57.0,,Z. Smith enters the game for S. Milton,22,18
103,1,2:38.0,E. İlyasova makes 3-pt jump shot from 26 ft (assist by D. Wilson),,25,18
104,1,2:24.0,,Z. Smith makes 3-pt jump shot from 25 ft (assist by B. Simmons),25,21
105,1,2:24.0,T. Frazier enters the game for G. Antetokounmpo,,25,21
106,1,2:24.0,K. Middleton enters the game for G. Hill,,25,21
107,1,2:00.0,Personal foul by B. Marjanović (drawn by K. Middleton),,25,21
108,1,2:00.0,K. Middleton misses free throw 1 of 2,,25,21
109,1,2:00.0,Offensive rebound by Team,,25,21
110,1,2:00.0,K. Middleton makes free throw 2 of 2,,26,21
111,1,1:38.0,,B. Simmons misses 2-pt hook shot from 9 ft,26,21
112,1,1:36.0,Defensive rebound by K. Middleton,,26,21
113,1,1:32.0,P. Connaughton makes 2-pt dunk from 1 ft (assist by T. Frazier),,28,21
114,1,1:26.0,,Personal foul by T. Frazier (drawn by Z. Smith),28,21
115,1,1:26.0,,Z. Smith misses free throw 1 of 2,28,21
116,1,1:26.0,,Offensive rebound by Team,28,21
117,1,1:26.0,,Z. Smith makes free throw 2 of 2,28,22
118,1,1:13.0,D. Wilson misses 3-pt jump shot from 26 ft,,28,22
119,1,1:12.0,,Defensive rebound by J. Bolden,28,22
120,1,1:05.0,,B. Marjanović makes 2-pt layup from 2 ft (assist by B. Simmons),28,24
121,1,0:52.0,Turnover by K. Middleton (out of bounds lost ball),,28,24
122,1,0:39.0,,J. Redick misses 3-pt jump shot from 26 ft,28,24
123,1,0:36.0,Defensive rebound by D. Wilson,,28,24
124,1,0:32.0,Turnover by K. Middleton (bad pass),,28,24
125,1,0:32.0,Loose ball foul by E. İlyasova (drawn by Z. Smith),,28,24
126,1,0:32.0,,Z. Smith makes free throw 1 of 2,28,25
127,1,0:32.0,,Z. Smith makes free throw 2 of 2,28,26
128,1,0:10.0,K. Middleton misses 2-pt jump shot from 23 ft,,28,26
129,1,0:08.0,,Defensive rebound by J. Bolden,28,26
130,1,0:08.0,,Turnover by J. Bolden (traveling),28,26
131,1,0:01.0,K. Middleton makes 2-pt jump shot from 9 ft,,30,26
132,2,11:55.0,,Turnover by Z. Smith (out of bounds lost ball),30,26
133,2,11:55.0,,J. Embiid enters the game for B. Marjanović,30,26
134,2,11:46.0,Shooting foul by S. Milton (drawn by P. Connaughton),,30,26
135,2,11:46.0,P. Connaughton makes free throw 1 of 2,,31,26
136,2,11:46.0,P. Connaughton makes free throw 2 of 2,,32,26
137,2,11:27.0,,J. Embiid misses 2-pt jump shot from 10 ft (block by G. Antetokounmpo),32,26
138,2,11:26.0,,Offensive rebound by J. Embiid,32,26
139,2,11:23.0,,M. Scott makes 3-pt jump shot from 25 ft (assist by J. Embiid),32,29
140,2,11:12.0,E. İlyasova misses 3-pt jump shot from 26 ft,,32,29
141,2,11:05.0,,Defensive rebound by Z. Smith,32,29
142,2,10:54.0,,B. Simmons misses 2-pt hook shot from 10 ft,32,29
143,2,10:52.0,Defensive rebound by P. Connaughton,,32,29
144,2,10:47.0,Turnover by K. Middleton (bad pass; steal by J. Embiid),,32,29
145,2,10:47.0,Loose ball foul by G. Antetokounmpo (drawn by J. Embiid),,32,29
146,2,10:31.0,,Personal foul by E. İlyasova (drawn by J. Embiid),32,29
147,2,10:24.0,,Z. Smith misses 2-pt dunk from 2 ft (block by G. Antetokounmpo),32,29
148,2,10:21.0,Defensive rebound by G. Antetokounmpo,,32,29
149,2,10:19.0,G. Antetokounmpo misses 2-pt layup from 4 ft (block by S. Milton),,32,29
150,2,10:16.0,Offensive rebound by Team,,32,29
151,2,10:08.0,G. Antetokounmpo makes 2-pt jump shot from 11 ft (assist by K. Middleton),,34,29
152,2,9:49.0,,Z. Smith misses 2-pt layup from 3 ft,34,29
153,2,9:48.0,,Offensive rebound by J. Embiid,34,29
154,2,9:48.0,,Personal foul by T. Frazier (drawn by J. Embiid),34,29
155,2,9:42.0,,S. Milton misses 2-pt jump shot from 14 ft,34,29
156,2,9:38.0,Defensive rebound by G. Antetokounmpo,,34,29
157,2,9:34.0,G. Antetokounmpo misses 3-pt jump shot from 26 ft,,34,29
158,2,9:30.0,,Defensive rebound by M. Scott,34,29
159,2,9:24.0,,J. Embiid makes 3-pt jump shot from 26 ft (assist by B. Simmons),34,32
160,2,9:17.0,Milwaukee full timeout,,34,32
161,2,9:17.0,S. Brown enters the game for P. Connaughton,,34,32
162,2,9:17.0,G. Hill enters the game for T. Frazier,,34,32
163,2,9:17.0,B. Lopez enters the game for E. İlyasova,,34,32
164,2,9:17.0,D. Wilson enters the game for K. Middleton,,34,32
165,2,8:58.0,B. Lopez misses 3-pt jump shot from 26 ft,,34,32
166,2,8:55.0,,Defensive rebound by Z. Smith,34,32
167,2,8:49.0,,J. Embiid misses 3-pt jump shot from 26 ft,34,32
168,2,8:45.0,Defensive rebound by D. Wilson,,34,32
169,2,8:38.0,D. Wilson misses 2-pt jump shot from 18 ft,,34,32
170,2,8:37.0,,Defensive rebound by J. Embiid,34,32
171,2,8:27.0,,J. Embiid misses 2-pt jump shot from 14 ft,34,32
172,2,8:24.0,Defensive rebound by D. Wilson,,34,32
173,2,8:10.0,G. Antetokounmpo makes 2-pt hook shot from 7 ft (assist by G. Hill),,36,32
174,2,8:02.0,,Turnover by B. Simmons (bad pass; steal by D. Wilson),36,32
175,2,7:57.0,Personal foul by Z. Smith (drawn by G. Antetokounmpo),,36,32
176,2,7:57.0,P. Connaughton enters the game for G. Antetokounmpo,,36,32
177,2,7:57.0,,T. Harris enters the game for B. Simmons,36,32
178,2,7:57.0,,T. McConnell enters the game for Z. Smith,36,32
179,2,7:51.0,G. Hill misses 2-pt layup from 2 ft,,36,32
180,2,7:49.0,,Defensive rebound by J. Embiid,36,32
181,2,7:37.0,,Turnover by S. Milton (step out of bounds),36,32
182,2,7:19.0,D. Wilson makes 2-pt hook shot from 6 ft (assist by G. Hill),,38,32
183,2,7:17.0,,Philadelphia full timeout,38,32
184,2,7:04.0,,S. Milton misses 3-pt jump shot from 23 ft,38,32
185,2,7:01.0,Defensive rebound by S. Brown,,38,32
186,2,6:48.0,S. Brown misses 2-pt jump shot from 7 ft,,38,32
187,2,6:46.0,,Defensive rebound by M. Scott,38,32
188,2,6:34.0,,T. Harris makes 2-pt layup from 4 ft,38,34
189,2,6:23.0,S. Brown makes 2-pt jump shot from 16 ft (assist by B. Lopez),,40,34
190,2,5:58.0,,J. Embiid makes 2-pt layup at rim (assist by T. McConnell),40,36
191,2,5:50.0,B. Lopez misses 3-pt jump shot from 26 ft,,40,36
192,2,5:47.0,,Defensive rebound by T. Harris,40,36
193,2,5:39.0,,T. Harris makes 2-pt jump shot from 16 ft (assist by J. Embiid),40,38
194,2,5:12.0,Turnover by Team (shot clock),,40,38
