,QUARTER,TIME_REMAINING,PHOENIX_ACTION,CHARLOTTE_ACTION,PHOENIX_SCORE,CHARLOTTE_SCORE
0,1,11:34.0,,J. Lamb makes 2-pt jump shot from 15 ft,0,2
1,1,11:08.0,D. Booker misses 3-pt jump shot from 30 ft,,0,2
2,1,11:06.0,,Defensive rebound by N. Batum,0,2
3,1,11:02.0,,Shooting foul by D. Melton (drawn by N. Batum),0,2
4,1,11:02.0,,N. Batum makes free throw 1 of 2,0,3
5,1,11:02.0,,N. Batum makes free throw 2 of 2,0,4
6,1,10:43.0,D. Booker misses 2-pt jump shot from 13 ft,,0,4
7,1,10:40.0,,Defensive rebound by K. Walker,0,4
8,1,10:34.0,,J. Lamb makes 3-pt jump shot from 27 ft (assist by N. Batum),0,7
9,1,10:20.0,D. Melton makes 3-pt jump shot from 25 ft (assist by D. Booker),,3,7
10,1,9:55.0,,Turnover by M. Williams (bad pass),3,7
11,1,9:46.0,M. Bridges misses 3-pt jump shot from 24 ft,,3,7
12,1,9:43.0,,Defensive rebound by K. Walker,3,7
13,1,9:29.0,,B. Biyombo makes 2-pt layup from 2 ft (assist by J. Lamb),3,9
14,1,9:23.0,D. Booker misses 3-pt jump shot from 26 ft,,3,9
15,1,9:19.0,,Defensive rebound by K. Walker,3,9
16,1,9:12.0,,K. Walker makes 2-pt layup from 2 ft,3,11
17,1,8:51.0,M. Bridges misses 3-pt jump shot from 24 ft,,3,11
18,1,8:48.0,,Defensive rebound by J. Lamb,3,11
19,1,8:41.0,,K. Walker misses 2-pt layup from 2 ft,3,11
20,1,8:39.0,,Offensive rebound by B. Biyombo,3,11
21,1,8:38.0,,M. Williams makes 3-pt jump shot from 25 ft (assist by B. Biyombo),3,14
22,1,8:38.0,Phoenix full timeout,,3,14
23,1,8:22.0,T. Warren makes 2-pt layup from 2 ft (assist by D. Booker),,5,14
24,1,7:57.0,,K. Walker makes 3-pt jump shot from 28 ft (assist by J. Lamb),5,17
25,1,7:42.0,D. Ayton misses 2-pt jump shot from 16 ft,,5,17
26,1,7:39.0,,Defensive rebound by B. Biyombo,5,17
27,1,7:35.0,,Shooting foul by D. Ayton (drawn by N. Batum),5,17
28,1,7:35.0,,N. Batum makes free throw 1 of 2,5,18
29,1,7:35.0,,N. Batum makes free throw 2 of 2,5,19
30,1,7:17.0,M. Bridges misses 3-pt jump shot from 23 ft,,5,19
31,1,7:13.0,,Defensive rebound by J. Lamb,5,19
32,1,7:08.0,,B. Biyombo makes 2-pt dunk from 2 ft (assist by J. Lamb),5,21
33,1,6:52.0,Shooting foul by N. Batum (drawn by D. Booker),,5,21
34,1,6:52.0,D. Booker makes free throw 1 of 2,,6,21
35,1,6:52.0,J. Jackson enters the game for M. Bridges,,6,21
36,1,6:52.0,D. Booker makes free throw 2 of 2,,7,21
37,1,6:41.0,,K. Walker misses 2-pt layup from 2 ft (block by D. Ayton),7,21
38,1,6:37.0,,Offensive rebound by B. Biyombo,7,21
39,1,6:37.0,,B. Biyombo misses 2-pt layup from 2 ft (block by D. Melton),7,21
40,1,6:37.0,Defensive rebound by D. Ayton,,7,21
41,1,6:31.0,Shooting foul by M. Williams (drawn by T. Warren),,7,21
42,1,6:31.0,T. Warren makes free throw 1 of 2,,8,21
43,1,6:31.0,T. Warren makes free throw 2 of 2,,9,21
44,1,6:31.0,,M. Kidd-Gilchrist enters the game for M. Williams,9,21
45,1,6:18.0,,Away from play foul by D. Ayton (drawn by J. Lamb),9,21
46,1,6:18.0,,J. Lamb makes free throw 1 of 1,9,22
47,1,6:07.0,,K. Walker makes 2-pt jump shot from 15 ft (assist by N. Batum),9,24
48,1,5:47.0,Shooting foul by N. Batum (drawn by D. Booker),,9,24
49,1,5:47.0,D. Booker makes free throw 1 of 2,,10,24
50,1,5:47.0,R. Holmes enters the game for D. Ayton,,10,24
51,1,5:47.0,,M. Bridges enters the game for N. Batum,10,24
52,1,5:47.0,,W. Hernangómez enters the game for B. Biyombo,10,24
