,QUARTER,TIME_REMAINING,CLEVELAND_ACTION,PHOENIX_ACTION,CLEVELAND_SCORE,PHOENIX_SCORE
0,1,11:41.0,Personal foul by E. Okobo (drawn by T. Thompson),,0,0
1,1,11:35.0,C. Sexton misses 2-pt jump shot from 16 ft,,0,0
2,1,11:32.0,,Defensive rebound by R. Holmes,0,0
3,1,11:18.0,,D. Bender misses 3-pt jump shot from 23 ft,0,0
4,1,11:15.0,Defensive rebound by T. Thompson,,0,0
5,1,10:58.0,T. Thompson misses 2-pt hook shot from 7 ft,,0,0
6,1,10:56.0,,Defensive rebound by D. Bender,0,0
7,1,10:43.0,,D. Bender makes 2-pt layup at rim (assist by D. Booker),0,2
8,1,10:16.0,L. Nance misses 2-pt jump shot from 21 ft,,0,2
9,1,10:14.0,,Defensive rebound by M. Bridges,0,2
10,1,10:08.0,,M. Bridges misses 2-pt layup from 1 ft,0,2
11,1,10:07.0,Defensive rebound by L. Nance,,0,2
12,1,10:00.0,Turnover by L. Nance (off goaltending),,0,2
13,1,9:52.0,,Personal foul by B. Knight (drawn by D. Booker),0,2
14,1,9:49.0,,D. Booker makes 2-pt jump shot from 12 ft (assist by M. Bridges),0,4
15,1,9:34.0,B. Knight misses 2-pt layup from 2 ft (block by R. Holmes),,0,4
16,1,9:31.0,Offensive rebound by T. Thompson,,0,4
17,1,9:30.0,T. Thompson makes 2-pt layup at rim,,2,4
18,1,9:27.0,,Offensive foul by D. Booker (drawn by C. Osman),2,4
19,1,9:27.0,,Turnover by D. Booker (offensive foul),2,4
20,1,9:10.0,C. Sexton makes 2-pt jump shot from 13 ft,,4,4
21,1,8:54.0,,E. Okobo makes 3-pt jump shot from 25 ft (assist by D. Bender),4,7
22,1,8:42.0,C. Sexton misses 3-pt jump shot from 26 ft,,4,7
23,1,8:40.0,,Defensive rebound by R. Holmes,4,7
24,1,8:25.0,,R. Holmes misses 2-pt hook shot from 12 ft,4,7
25,1,8:25.0,Defensive rebound by L. Nance,,4,7
26,1,8:17.0,C. Sexton misses 3-pt jump shot from 26 ft,,4,7
27,1,8:17.0,,Defensive rebound by R. Holmes,4,7
28,1,8:04.0,,D. Bender misses 3-pt jump shot from 23 ft,4,7
29,1,8:01.0,Defensive rebound by L. Nance,,4,7
30,1,7:43.0,C. Osman misses 2-pt jump shot from 3 ft (block by M. Bridges),,4,7
31,1,7:41.0,,Defensive rebound by R. Holmes,4,7
32,1,7:32.0,,Turnover by E. Okobo (bad pass; steal by L. Nance),4,7
33,1,7:17.0,C. Sexton makes 2-pt layup from 1 ft,,6,7
34,1,6:59.0,,M. Bridges makes 3-pt jump shot from 23 ft (assist by D. Booker),6,10
35,1,6:39.0,B. Knight misses 3-pt jump shot from 27 ft,,6,10
36,1,6:36.0,,Defensive rebound by E. Okobo,6,10
37,1,6:30.0,,D. Booker misses 3-pt jump shot from 26 ft,6,10
38,1,6:28.0,Defensive rebound by L. Nance,,6,10
39,1,6:21.0,Personal foul by R. Holmes (drawn by T. Thompson),,6,10
40,1,6:21.0,,Phoenix full timeout,6,10
41,1,6:21.0,,J. Jackson enters the game for D. Bender,6,10
42,1,6:12.0,Loose ball foul by L. Nance (drawn by M. Bridges),,6,10
43,1,6:12.0,Turnover by L. Nance (turnover),,6,10
44,1,5:57.0,,M. Bridges makes 3-pt jump shot from 25 ft (assist by D. Booker),6,13
45,1,5:57.0,,Shooting foul by C. Osman (drawn by M. Bridges),6,13
46,1,5:57.0,,M. Bridges makes free throw 1 of 1,6,14
47,1,5:35.0,L. Nance makes 2-pt hook shot from 10 ft (assist by C. Osman),,8,14
48,1,5:12.0,,R. Holmes makes 2-pt hook shot from 7 ft (assist by D. Booker),8,16
49,1,5:12.0,,Shooting foul by L. Nance (drawn by R. Holmes),8,16
50,1,5:12.0,J. Clarkson enters the game for B. Knight,,8,16
51,1,5:12.0,A. Žižić enters the game for T. Thompson,,8,16
52,1,5:12.0,,R. Holmes makes free throw 1 of 1,8,17
53,1,4:58.0,C. Sexton misses 2-pt jump shot from 12 ft,,8,17
54,1,4:55.0,Offensive rebound by A. Žižić,,8,17
55,1,4:55.0,A. Žižić makes 2-pt layup at rim,,10,17
