,QUARTER,TIME_REMAINING,HOUSTON_ACTION,ATLANTA_ACTION,HOUSTON_SCORE,ATLANTA_SCORE
0,1,11:37.0,Shooting foul by T. Prince (drawn by J. Harden),,0,0
1,1,11:37.0,J. Harden makes free throw 1 of 3,,1,0
2,1,11:37.0,J. Harden makes free throw 2 of 3,,2,0
3,1,11:37.0,J. Harden makes free throw 3 of 3,,3,0
4,1,11:19.0,,T. Young misses 3-pt jump shot from 27 ft,3,0
5,1,11:15.0,Defensive rebound by C. Capela,,3,0
6,1,11:07.0,J. Harden misses 3-pt jump shot from 25 ft,,3,0
7,1,11:04.0,,Defensive rebound by J. Collins,3,0
8,1,11:01.0,,K. Huerter misses 3-pt jump shot from 26 ft,3,0
9,1,10:56.0,Defensive rebound by J. Harden,,3,0
10,1,10:51.0,E. Gordon misses 3-pt jump shot from 24 ft,,3,0
11,1,10:47.0,,Defensive rebound by K. Huerter,3,0
12,1,10:42.0,,D. Dedmon misses 2-pt layup from 5 ft (block by P. Tucker),3,0
13,1,10:38.0,Defensive rebound by C. Capela,,3,0
14,1,10:36.0,C. Capela makes 2-pt layup from 2 ft (assist by C. Paul),,5,0
15,1,10:24.0,,J. Collins makes 2-pt dunk from 1 ft (assist by T. Young),5,2
16,1,10:06.0,J. Harden misses 3-pt jump shot from 25 ft,,5,2
17,1,10:04.0,,Defensive rebound by K. Huerter,5,2
18,1,9:56.0,,Shooting foul by J. Harden (drawn by J. Collins),5,2
19,1,9:56.0,,J. Collins makes free throw 1 of 2,5,3
20,1,9:56.0,,J. Collins misses free throw 2 of 2,5,3
21,1,9:54.0,Defensive rebound by P. Tucker,,5,3
22,1,9:41.0,P. Tucker misses 3-pt jump shot from 23 ft,,5,3
23,1,9:38.0,,Defensive rebound by J. Collins,5,3
24,1,9:26.0,,T. Prince misses 3-pt jump shot from 25 ft,5,3
25,1,9:21.0,Defensive rebound by C. Paul,,5,3
26,1,9:15.0,C. Capela makes 2-pt layup from 1 ft (assist by C. Paul),,7,3
27,1,8:59.0,,T. Prince makes 2-pt layup from 1 ft (assist by T. Young),7,5
28,1,8:53.0,Offensive foul by P. Tucker (drawn by T. Prince),,7,5
29,1,8:53.0,Turnover by P. Tucker (offensive foul),,7,5
30,1,8:44.0,,J. Collins misses 3-pt jump shot from 23 ft,7,5
31,1,8:41.0,Defensive rebound by C. Capela,,7,5
32,1,8:31.0,C. Capela makes 2-pt dunk from 1 ft (assist by J. Harden),,9,5
33,1,8:14.0,,Turnover by D. Dedmon (bad pass; steal by C. Paul),9,5
34,1,7:53.0,C. Paul misses 3-pt jump shot from 25 ft,,9,5
35,1,7:50.0,,Defensive rebound by T. Prince,9,5
36,1,7:46.0,,T. Prince misses 2-pt jump shot from 20 ft,9,5
37,1,7:42.0,Defensive rebound by C. Capela,,9,5
38,1,7:27.0,C. Paul misses 3-pt jump shot from 25 ft,,9,5
39,1,7:23.0,,Defensive rebound by J. Collins,9,5
40,1,7:15.0,,D. Dedmon makes 3-pt jump shot from 23 ft (assist by K. Huerter),9,8
41,1,6:56.0,C. Capela misses 2-pt layup from 2 ft,,9,8
42,1,6:54.0,,Defensive rebound by D. Dedmon,9,8
43,1,6:47.0,,T. Young makes 2-pt layup from 6 ft,9,10
44,1,6:35.0,Turnover by C. Capela (lost ball; steal by T. Young),,9,10
45,1,6:35.0,,Personal foul by P. Tucker (drawn by T. Young),9,10
46,1,6:35.0,,Atlanta full timeout,9,10
47,1,6:35.0,D. House enters the game for E. Gordon,,9,10
48,1,6:35.0,A. Rivers enters the game for C. Paul,,9,10
49,1,6:21.0,,Turnover by T. Young (lost ball; steal by J. Harden),9,10
50,1,6:17.0,D. House makes 3-pt jump shot from 23 ft (assist by J. Harden),,12,10
51,1,5:57.0,,J. Collins misses 2-pt jump shot from 8 ft,12,10
52,1,5:54.0,Defensive rebound by J. Harden,,12,10
53,1,5:37.0,D. House misses 3-pt jump shot from 23 ft,,12,10
54,1,5:34.0,,Defensive rebound by D. Dedmon,12,10
55,1,5:20.0,,D. Dedmon misses 3-pt jump shot from 25 ft,12,10
56,1,5:16.0,Defensive rebound by J. Harden,,12,10
57,1,5:13.0,C. Capela makes 2-pt layup from 1 ft (assist by D. House),,14,10
58,1,5:13.0,Shooting foul by D. Dedmon (drawn by C. Capela),,14,10
59,1,5:13.0,,J. Adams enters the game for D. Dedmon,14,10
60,1,5:13.0,,K. Bazemore enters the game for K. Huerter,14,10
61,1,5:13.0,,A. Len enters the game for T. Young,14,10
62,1,5:13.0,C. Capela makes free throw 1 of 1,,15,10
63,1,4:52.0,,Turnover by T. Prince (bad pass; steal by P. Tucker),15,10
64,1,4:48.0,J. Harden misses 2-pt layup from 1 ft,,15,10
65,1,4:44.0,,Defensive rebound by K. Bazemore,15,10
66,1,4:39.0,,J. Collins makes 2-pt layup from 1 ft (assist by J. Adams),15,12
67,1,4:24.0,Shooting foul by T. Prince (drawn by J. Harden),,15,12
68,1,4:24.0,J. Harden makes free throw 1 of 2,,16,12
69,1,4:24.0,K. Faried enters the game for C. Capela,,16,12
70,1,4:24.0,G. Green enters the game for P. Tucker,,16,12
71,1,4:24.0,,D. Bembry enters the game for J. Collins,16,12
72,1,4:24.0,,V. Carter enters the game for T. Prince,16,12
73,1,4:24.0,J. Harden makes free throw 2 of 2,,17,12
74,1,4:10.0,,V. Carter makes 3-pt jump shot from 23 ft (assist by K. Bazemore),17,15
75,1,3:49.0,J. Harden misses 3-pt jump shot from 25 ft,,17,15
76,1,3:47.0,,Defensive rebound by D. Bembry,17,15
77,1,3:44.0,,K. Bazemore makes 2-pt layup from 1 ft (assist by D. Bembry),17,17
78,1,3:32.0,G. Green misses 3-pt jump shot from 22 ft,,17,17
