,QUARTER,TIME_REMAINING,MILWAUKEE_ACTION,INDIANA_ACTION,MILWAUKEE_SCORE,INDIANA_SCORE
0,1,11:40.0,Turnover by E. Bledsoe (bad pass; steal by B. Bogdanović),,0,0
1,1,11:25.0,,M. Turner makes 3-pt jump shot from 27 ft (assist by D. Collison),0,3
2,1,10:57.0,G. Antetokounmpo misses 2-pt layup from 1 ft,,0,3
3,1,10:55.0,Offensive rebound by G. Antetokounmpo,,0,3
4,1,10:54.0,G. Antetokounmpo makes 2-pt layup at rim,,2,3
5,1,10:26.0,,T. Young misses 2-pt jump shot from 18 ft,2,3
6,1,10:23.0,Defensive rebound by K. Middleton,,2,3
7,1,10:11.0,E. Bledsoe misses 2-pt jump shot from 4 ft,,2,3
8,1,10:08.0,,Defensive rebound by M. Turner,2,3
9,1,9:54.0,,M. Turner misses 2-pt jump shot from 9 ft,2,3
10,1,9:51.0,Defensive rebound by M. Brogdon,,2,3
11,1,9:46.0,K. Middleton misses 3-pt jump shot from 27 ft,,2,3
12,1,9:43.0,,Defensive rebound by T. Young,2,3
13,1,9:34.0,,W. Matthews misses 3-pt jump shot from 26 ft,2,3
14,1,9:31.0,Defensive rebound by G. Antetokounmpo,,2,3
15,1,9:26.0,B. Lopez makes 3-pt jump shot from 26 ft (assist by G. Antetokounmpo),,5,3
16,1,9:08.0,,B. Bogdanović makes 2-pt jump shot from 16 ft,5,5
17,1,8:44.0,B. Lopez misses 3-pt jump shot from 27 ft,,5,5
18,1,8:41.0,,Defensive rebound by W. Matthews,5,5
19,1,8:34.0,,Turnover by D. Collison (bad pass; steal by G. Antetokounmpo),5,5
20,1,8:29.0,G. Antetokounmpo makes 2-pt layup at rim,,7,5
21,1,8:13.0,,Turnover by T. Young (bad pass; steal by G. Antetokounmpo),7,5
22,1,8:08.0,M. Brogdon makes 2-pt layup at rim (assist by G. Antetokounmpo),,9,5
23,1,7:53.0,,W. Matthews misses 2-pt jump shot from 16 ft,9,5
24,1,7:50.0,Defensive rebound by G. Antetokounmpo,,9,5
25,1,7:38.0,K. Middleton makes 3-pt jump shot from 27 ft (assist by G. Antetokounmpo),,12,5
26,1,7:19.0,,Shooting foul by B. Lopez (drawn by B. Bogdanović),12,5
27,1,7:19.0,,B. Bogdanović makes free throw 1 of 2,12,6
28,1,7:19.0,S. Brown enters the game for M. Brogdon,,12,6
29,1,7:19.0,,B. Bogdanović makes free throw 2 of 2,12,7
30,1,7:04.0,K. Middleton misses 2-pt jump shot from 16 ft,,12,7
31,1,7:01.0,,Defensive rebound by M. Turner,12,7
32,1,6:52.0,,W. Matthews makes 2-pt jump shot from 18 ft (assist by M. Turner),12,9
33,1,6:39.0,G. Antetokounmpo makes 2-pt dunk from 1 ft (assist by K. Middleton),,14,9
34,1,6:39.0,Shooting foul by B. Bogdanović (drawn by G. Antetokounmpo),,14,9
35,1,6:39.0,,Indiana full timeout,14,9
36,1,6:39.0,G. Antetokounmpo makes free throw 1 of 1,,15,9
37,1,6:21.0,,D. Collison makes 3-pt jump shot from 23 ft (assist by B. Bogdanović),15,12
38,1,6:07.0,Shooting foul by W. Matthews (drawn by G. Antetokounmpo),,15,12
39,1,6:07.0,G. Antetokounmpo makes free throw 1 of 2,,16,12
40,1,6:07.0,G. Antetokounmpo makes free throw 2 of 2,,17,12
41,1,5:47.0,,B. Bogdanović misses 2-pt jump shot from 13 ft,17,12
42,1,5:44.0,Defensive rebound by S. Brown,,17,12
43,1,5:27.0,K. Middleton misses 3-pt jump shot from 23 ft,,17,12
44,1,5:24.0,,Defensive rebound by D. Collison,17,12
45,1,5:12.0,,Shooting foul by B. Lopez (drawn by M. Turner),17,12
46,1,5:12.0,,M. Turner makes free throw 1 of 2,17,13
47,1,5:12.0,G. Hill enters the game for E. Bledsoe,,17,13
48,1,5:12.0,E. İlyasova enters the game for B. Lopez,,17,13
49,1,5:12.0,,M. Turner makes free throw 2 of 2,17,14
50,1,4:54.0,E. İlyasova misses 2-pt jump shot from 18 ft,,17,14
51,1,4:50.0,,Defensive rebound by T. Young,17,14
52,1,4:41.0,,M. Turner makes 2-pt jump shot from 18 ft (assist by D. Collison),17,16
53,1,4:20.0,,Violation by Team (kicked ball),17,16
54,1,4:20.0,,D. Sabonis enters the game for M. Turner,17,16
55,1,4:13.0,G. Antetokounmpo misses 3-pt jump shot from 26 ft,,17,16
56,1,4:10.0,,Defensive rebound by D. Collison,17,16
57,1,4:00.0,,T. Young misses 2-pt layup from 1 ft,17,16
58,1,3:58.0,Defensive rebound by E. İlyasova,,17,16
