,QUARTER,TIME_REMAINING,SACRAMENTO_ACTION,ATLANTA_ACTION,SACRAMENTO_SCORE,ATLANTA_SCORE
0,1,11:41.0,,T. Prince misses 2-pt jump shot from 11 ft,0,0
1,1,11:38.0,Defensive rebound by I. Shumpert,,0,0
2,1,11:24.0,N. Bjelica misses 2-pt jump shot from 8 ft,,0,0
3,1,11:19.0,,Defensive rebound by T. Prince,0,0
4,1,11:10.0,,V. Carter makes 3-pt jump shot from 28 ft (assist by T. Young),0,3
5,1,10:56.0,D. Fox misses 2-pt jump shot from 22 ft,,0,3
6,1,10:53.0,,Defensive rebound by T. Prince,0,3
7,1,10:45.0,,Turnover by T. Prince (bad pass; steal by W. Cauley-Stein),0,3
8,1,10:39.0,N. Bjelica makes 2-pt layup from 1 ft (assist by B. Hield),,2,3
9,1,10:29.0,,T. Young makes 2-pt layup from 2 ft,2,5
10,1,10:22.0,D. Fox makes 2-pt layup from 1 ft,,4,5
11,1,10:12.0,,Shooting foul by W. Cauley-Stein (drawn by A. Len),4,5
12,1,10:12.0,,A. Len misses free throw 1 of 2,4,5
13,1,10:12.0,,Offensive rebound by Team,4,5
14,1,10:12.0,,A. Len makes free throw 2 of 2,4,6
15,1,10:02.0,Turnover by D. Fox (bad pass; steal by T. Prince),,4,6
16,1,9:58.0,,K. Bazemore makes 2-pt layup from 1 ft (assist by T. Prince),4,8
17,1,9:51.0,N. Bjelica makes 3-pt jump shot from 26 ft (assist by B. Hield),,7,8
18,1,9:43.0,,T. Prince misses 2-pt layup from 4 ft (block by I. Shumpert),7,8
19,1,9:43.0,Defensive rebound by I. Shumpert,,7,8
20,1,9:31.0,N. Bjelica misses 3-pt jump shot from 27 ft,,7,8
21,1,9:27.0,,Defensive rebound by T. Young,7,8
22,1,9:20.0,,V. Carter misses 3-pt jump shot from 25 ft,7,8
23,1,9:16.0,,Offensive rebound by A. Len,7,8
24,1,9:15.0,,A. Len makes 2-pt jump shot from 17 ft,7,10
25,1,8:56.0,W. Cauley-Stein misses 2-pt layup from 2 ft,,7,10
26,1,8:52.0,,Defensive rebound by T. Prince,7,10
