,QUARTER,TIME_REMAINING,DALLAS_ACTION,NEW YORK_ACTION,DALLAS_SCORE,NEW YORK_SCORE
0,1,11:45.0,D. Jordan makes 2-pt hook shot from 4 ft (assist by L. Dončić),,2,0
1,1,11:29.0,,T. Hardaway makes 3-pt jump shot from 25 ft (assist by K. Knox),2,3
2,1,11:19.0,L. Dončić misses 3-pt jump shot from 26 ft,,2,3
3,1,11:18.0,,Defensive rebound by Team,2,3
4,1,11:08.0,,K. Knox misses 2-pt jump shot from 21 ft,2,3
5,1,11:06.0,Defensive rebound by L. Dončić,,2,3
6,1,11:00.0,L. Dončić makes 2-pt jump shot from 15 ft,,4,3
7,1,10:41.0,,T. Burke misses 3-pt jump shot from 23 ft,4,3
8,1,10:39.0,Defensive rebound by D. Smith,,4,3
9,1,10:33.0,W. Matthews makes 3-pt jump shot from 22 ft (assist by D. Smith),,7,3
10,1,10:20.0,,L. Thomas misses 3-pt jump shot from 24 ft,7,3
11,1,10:18.0,Defensive rebound by D. Jordan,,7,3
12,1,10:09.0,H. Barnes misses 2-pt jump shot from 20 ft,,7,3
13,1,10:07.0,,Defensive rebound by N. Vonleh,7,3
14,1,9:59.0,,N. Vonleh misses 2-pt layup from 1 ft,7,3
15,1,9:57.0,Defensive rebound by D. Smith,,7,3
16,1,9:45.0,D. Smith misses 3-pt jump shot from 27 ft,,7,3
17,1,9:43.0,,Defensive rebound by T. Hardaway,7,3
18,1,9:37.0,,K. Knox misses 3-pt jump shot from 25 ft,7,3
19,1,9:36.0,Defensive rebound by Team,,7,3
20,1,9:24.0,L. Dončić makes 2-pt dunk from 1 ft,,9,3
21,1,9:17.0,,New York full timeout,9,3
22,1,9:04.0,,K. Knox misses 2-pt jump shot from 22 ft,9,3
23,1,9:02.0,,Offensive rebound by N. Vonleh,9,3
24,1,9:00.0,,N. Vonleh makes 2-pt dunk at rim,9,5
25,1,8:32.0,L. Dončić misses 2-pt jump shot from 4 ft,,9,5
26,1,8:30.0,,Defensive rebound by N. Vonleh,9,5
27,1,8:23.0,,K. Knox misses 3-pt jump shot from 26 ft,9,5
28,1,8:21.0,Defensive rebound by H. Barnes,,9,5
29,1,8:09.0,Turnover by H. Barnes (back court),,9,5
30,1,7:59.0,,T. Hardaway misses 3-pt jump shot from 26 ft,9,5
31,1,7:57.0,Defensive rebound by D. Jordan,,9,5
32,1,7:43.0,D. Smith makes 2-pt layup from 1 ft,,11,5
33,1,7:32.0,,T. Burke makes 2-pt jump shot from 13 ft,11,7
34,1,7:09.0,W. Matthews makes 3-pt jump shot from 24 ft (assist by D. Smith),,14,7
35,1,6:59.0,,T. Burke makes 2-pt layup from 1 ft,14,9
36,1,6:44.0,Turnover by D. Smith (bad pass),,14,9
37,1,6:33.0,,L. Thomas makes 2-pt dunk at rim (assist by N. Vonleh),14,11
38,1,6:17.0,Turnover by D. Smith (bad pass; steal by T. Hardaway),,14,11
39,1,6:11.0,,T. Hardaway misses 3-pt jump shot from 25 ft,14,11
40,1,6:09.0,Defensive rebound by D. Jordan,,14,11
41,1,5:59.0,H. Barnes misses 3-pt jump shot from 23 ft,,14,11
42,1,5:57.0,,Defensive rebound by K. Knox,14,11
43,1,5:50.0,,New York full timeout,14,11
44,1,5:50.0,D. Finney-Smith enters the game for L. Dončić,,14,11
45,1,5:50.0,,M. Robinson enters the game for N. Vonleh,14,11
46,1,5:40.0,,Turnover by T. Hardaway (bad pass; steal by D. Finney-Smith),14,11
47,1,5:34.0,W. Matthews misses 3-pt jump shot from 26 ft,,14,11
48,1,5:32.0,,Defensive rebound by T. Hardaway,14,11
49,1,5:24.0,,Shooting foul by D. Finney-Smith (drawn by M. Robinson),14,11
50,1,5:24.0,,M. Robinson misses free throw 1 of 2,14,11
51,1,5:24.0,,Offensive rebound by Team,14,11
52,1,5:24.0,,M. Robinson misses free throw 2 of 2,14,11
53,1,5:22.0,Defensive rebound by D. Finney-Smith,,14,11
54,1,5:09.0,H. Barnes makes 3-pt jump shot from 26 ft (assist by W. Matthews),,17,11
55,1,4:51.0,,T. Hardaway misses 2-pt jump shot from 19 ft,17,11
56,1,4:49.0,Defensive rebound by W. Matthews,,17,11
57,1,4:38.0,Shooting foul by M. Robinson (drawn by H. Barnes),,17,11
58,1,4:38.0,,D. Dotson enters the game for T. Hardaway,17,11
59,1,4:38.0,,A. Trier enters the game for K. Knox,17,11
60,1,4:38.0,H. Barnes makes free throw 1 of 2,,18,11
61,1,4:38.0,H. Barnes makes free throw 2 of 2,,19,11
62,1,4:18.0,,T. Burke makes 2-pt jump shot from 19 ft,19,13
63,1,3:56.0,W. Matthews misses 2-pt jump shot from 11 ft,,19,13
64,1,3:54.0,Offensive rebound by Team,,19,13
65,1,3:47.0,H. Barnes misses 3-pt jump shot from 23 ft,,19,13
66,1,3:45.0,,Defensive rebound by M. Robinson,19,13
67,1,3:32.0,,L. Thomas misses 2-pt dunk from 1 ft,19,13
68,1,3:30.0,Defensive rebound by D. Jordan,,19,13
69,1,3:19.0,D. Smith makes 2-pt layup from 2 ft,,21,13
70,1,3:19.0,,Violation by Team (def goaltending),21,13
71,1,3:05.0,,L. Thomas makes 3-pt jump shot from 23 ft (assist by T. Burke),21,16
72,1,2:39.0,D. Smith misses 3-pt jump shot from 23 ft,,21,16
73,1,2:37.0,,Defensive rebound by M. Robinson,21,16
74,1,2:33.0,,T. Burke makes 2-pt layup from 1 ft,21,18
75,1,2:33.0,,Shooting foul by D. Smith (drawn by T. Burke),21,18
76,1,2:33.0,L. Dončić enters the game for H. Barnes,,21,18
77,1,2:33.0,D. Harris enters the game for D. Jordan,,21,18
78,1,2:33.0,M. Kleber enters the game for W. Matthews,,21,18
79,1,2:33.0,D. Nowitzki enters the game for D. Smith,,21,18
80,1,2:33.0,,M. Hezonja enters the game for L. Thomas,21,18
81,1,2:33.0,,T. Burke misses free throw 1 of 1,21,18
82,1,2:31.0,Defensive rebound by M. Kleber,,21,18
83,1,2:14.0,D. Harris misses 3-pt jump shot from 26 ft,,21,18
84,1,2:12.0,,Defensive rebound by T. Burke,21,18
85,1,1:58.0,,A. Trier misses 2-pt jump shot from 18 ft,21,18
86,1,1:56.0,Defensive rebound by D. Finney-Smith,,21,18
87,1,1:54.0,Personal foul by D. Dotson (drawn by L. Dončić),,21,18
88,1,1:54.0,,K. Allen enters the game for T. Burke,21,18
89,1,1:46.0,D. Finney-Smith makes 3-pt jump shot from 24 ft (assist by L. Dončić),,24,18
90,1,1:30.0,,Turnover by A. Trier (traveling),24,18
91,1,1:23.0,L. Dončić misses 3-pt jump shot from 25 ft,,24,18
92,1,1:21.0,,Defensive rebound by A. Trier,24,18
93,1,1:14.0,,Shooting foul by L. Dončić (drawn by M. Robinson),24,18
94,1,1:14.0,,M. Robinson misses free throw 1 of 2,24,18
95,1,1:14.0,,Offensive rebound by Team,24,18
96,1,1:14.0,,M. Robinson misses free throw 2 of 2,24,18
97,1,1:12.0,Defensive rebound by M. Kleber,,24,18
98,1,0:58.0,L. Dončić misses 3-pt jump shot from 26 ft (block by M. Robinson),,24,18
99,1,0:56.0,,Defensive rebound by A. Trier,24,18
100,1,0:47.0,,Turnover by M. Robinson (out of bounds lost ball),24,18
101,1,0:27.0,L. Dončić misses 2-pt jump shot from 21 ft,,24,18
102,1,0:25.0,,Defensive rebound by A. Trier,24,18
103,1,0:24.0,Loose ball foul by D. Finney-Smith (drawn by A. Trier),,24,18
104,1,0:24.0,,A. Trier makes free throw 1 of 2,24,19
105,1,0:24.0,D. Powell enters the game for D. Finney-Smith,,24,19
106,1,0:24.0,,A. Trier makes free throw 2 of 2,24,20
107,1,0:00.0,L. Dončić misses 3-pt jump shot from 23 ft,,24,20
108,1,0:00.0,Offensive rebound by Team,,24,20
109,2,11:49.0,,Shooting foul by D. Powell (drawn by M. Hezonja),24,20
110,2,11:49.0,,M. Hezonja makes free throw 1 of 2,24,21
111,2,11:49.0,,M. Hezonja makes free throw 2 of 2,24,22
112,2,11:32.0,L. Dončić misses 2-pt layup from 1 ft,,24,22
113,2,11:30.0,Offensive rebound by L. Dončić,,24,22
114,2,11:30.0,L. Dončić misses 2-pt layup at rim,,24,22
115,2,11:28.0,,Defensive rebound by D. Dotson,24,22
116,2,11:21.0,,A. Trier misses 3-pt jump shot from 23 ft,24,22
117,2,11:19.0,,Offensive rebound by M. Robinson,24,22
118,2,11:15.0,,M. Robinson makes 2-pt layup at rim,24,24
119,2,11:02.0,D. Nowitzki makes 3-pt jump shot from 25 ft (assist by D. Harris),,27,24
120,2,10:38.0,,A. Trier makes 2-pt jump shot from 19 ft (assist by M. Hezonja),27,26
121,2,10:27.0,L. Dončić makes 2-pt layup from 1 ft,,29,26
122,2,10:18.0,,Personal foul by D. Nowitzki (drawn by M. Robinson),29,26
123,2,10:05.0,,Shooting foul by D. Harris (drawn by A. Trier),29,26
124,2,10:05.0,,A. Trier makes free throw 1 of 2,29,27
125,2,10:05.0,,A. Trier makes free throw 2 of 2,29,28
126,2,9:54.0,Shooting foul by K. Allen (drawn by D. Nowitzki),,29,28
127,2,9:54.0,D. Nowitzki makes free throw 1 of 2,,30,28
128,2,9:54.0,D. Nowitzki makes free throw 2 of 2,,31,28
129,2,9:42.0,,M. Hezonja misses 2-pt jump shot from 7 ft,31,28
130,2,9:40.0,Defensive rebound by D. Powell,,31,28
131,2,9:23.0,D. Nowitzki makes 2-pt jump shot from 9 ft,,33,28
132,2,9:02.0,,D. Dotson makes 2-pt layup from 1 ft (assist by A. Trier),33,30
133,2,8:44.0,Personal foul by D. Dotson (drawn by D. Nowitzki),,33,30
134,2,8:34.0,D. Nowitzki makes 2-pt jump shot from 13 ft,,35,30
135,2,8:16.0,,Turnover by A. Trier (bad pass),35,30
136,2,8:02.0,D. Nowitzki misses 2-pt jump shot from 23 ft,,35,30
137,2,8:00.0,,Defensive rebound by A. Trier,35,30
138,2,7:52.0,,D. Dotson misses 2-pt jump shot from 17 ft,35,30
139,2,7:50.0,Defensive rebound by L. Dončić,,35,30
140,2,7:43.0,L. Dončić misses 3-pt jump shot from 26 ft,,35,30
141,2,7:41.0,,Defensive rebound by K. Allen,35,30
142,2,7:35.0,,M. Hezonja makes 3-pt jump shot from 25 ft (assist by K. Allen),35,33
143,2,7:33.0,Dallas full timeout,,35,33
144,2,7:33.0,H. Barnes enters the game for L. Dončić,,35,33
145,2,7:33.0,D. Finney-Smith enters the game for D. Harris,,35,33
146,2,7:33.0,D. Jordan enters the game for M. Kleber,,35,33
147,2,7:33.0,W. Matthews enters the game for D. Nowitzki,,35,33
148,2,7:33.0,D. Smith enters the game for D. Powell,,35,33
149,2,7:33.0,,T. Hardaway enters the game for D. Dotson,35,33
150,2,7:33.0,,K. Knox enters the game for M. Robinson,35,33
151,2,7:33.0,,N. Vonleh enters the game for A. Trier,35,33
152,2,7:15.0,Turnover by H. Barnes (bad pass; steal by M. Hezonja),,35,33
153,2,7:12.0,,K. Knox makes 2-pt layup from 1 ft (assist by K. Allen),35,35
154,2,7:12.0,,Shooting foul by W. Matthews (drawn by K. Knox),35,35
155,2,7:12.0,,K. Knox makes free throw 1 of 1,35,36
156,2,6:56.0,Personal foul by K. Allen (drawn by H. Barnes),,35,36
157,2,6:53.0,Personal foul by K. Allen (drawn by H. Barnes),,35,36
158,2,6:53.0,,T. Burke enters the game for K. Allen,35,36
159,2,6:43.0,H. Barnes makes 2-pt layup from 1 ft (assist by D. Smith),,37,36
160,2,6:30.0,,K. Knox makes 2-pt jump shot from 13 ft,37,38
161,2,6:13.0,Turnover by D. Jordan (3 sec),,37,38
162,2,5:55.0,,N. Vonleh misses 2-pt jump shot from 13 ft,37,38
163,2,5:53.0,Defensive rebound by D. Jordan,,37,38
164,2,5:37.0,D. Smith misses 3-pt jump shot from 26 ft,,37,38
165,2,5:35.0,,Defensive rebound by T. Hardaway,37,38
166,2,5:25.0,,T. Hardaway misses 2-pt jump shot from 15 ft,37,38
167,2,5:23.0,Defensive rebound by D. Smith,,37,38
168,2,5:18.0,D. Smith makes 2-pt dunk at rim,,39,38
169,2,4:58.0,,K. Knox makes 2-pt jump shot from 8 ft,39,40
170,2,4:45.0,Shooting foul by K. Knox (drawn by D. Smith),,39,40
171,2,4:45.0,D. Smith makes free throw 1 of 2,,40,40
172,2,4:45.0,D. Smith makes free throw 2 of 2,,41,40
173,2,4:29.0,,K. Knox misses 2-pt jump shot from 20 ft,41,40
174,2,4:27.0,Defensive rebound by H. Barnes,,41,40
175,2,4:19.0,Turnover by D. Smith (lost ball; steal by N. Vonleh),,41,40
176,2,4:14.0,,M. Hezonja makes 2-pt layup from 1 ft,41,42
177,2,3:58.0,W. Matthews makes 3-pt jump shot from 25 ft (assist by D. Smith),,44,42
178,2,3:38.0,,T. Burke misses 2-pt layup from 1 ft,44,42
179,2,3:36.0,Defensive rebound by H. Barnes,,44,42
180,2,3:23.0,Def 3 sec tech foul by Team,,44,42
181,2,3:23.0,H. Barnes makes technical free throw,,45,42
182,2,3:11.0,W. Matthews misses 3-pt jump shot from 23 ft,,45,42
183,2,3:09.0,,Defensive rebound by N. Vonleh,45,42
184,2,2:55.0,,M. Hezonja misses 3-pt jump shot from 26 ft,45,42
185,2,2:53.0,Defensive rebound by W. Matthews,,45,42
186,2,2:40.0,D. Smith misses 2-pt jump shot from 22 ft (block by T. Burke),,45,42
187,2,2:40.0,Offensive rebound by D. Smith,,45,42
188,2,2:35.0,D. Finney-Smith misses 3-pt jump shot from 26 ft,,45,42
189,2,2:33.0,,Defensive rebound by M. Hezonja,45,42
190,2,2:27.0,,K. Knox misses 2-pt hook shot from 11 ft,45,42
191,2,2:25.0,Defensive rebound by D. Jordan,,45,42
192,2,2:17.0,W. Matthews makes 3-pt jump shot from 23 ft (assist by D. Smith),,48,42
193,2,2:05.0,,New York full timeout,48,42
194,2,2:05.0,,M. Robinson enters the game for N. Vonleh,48,42
195,2,1:55.0,,T. Burke makes 3-pt jump shot from 26 ft (assist by T. Hardaway),48,45
