,QUARTER,TIME_REMAINING,NEW YORK_ACTION,UTAH_ACTION,NEW YORK_SCORE,UTAH_SCORE
0,1,11:48.0,,R. Gobert makes 2-pt dunk from 2 ft (assist by D. Exum),0,2
1,1,11:28.0,E. Mudiay makes 2-pt jump shot from 19 ft (assist by L. Kornet),,2,2
2,1,11:17.0,,D. Mitchell misses 3-pt jump shot from 25 ft,2,2
3,1,11:14.0,Defensive rebound by L. Kornet,,2,2
4,1,11:03.0,Turnover by T. Hardaway (bad pass; steal by D. Favors),,2,2
5,1,10:59.0,,J. Ingles misses 3-pt jump shot from 26 ft,2,2
6,1,10:55.0,,Offensive rebound by D. Mitchell,2,2
7,1,10:52.0,,R. Gobert makes 2-pt dunk from 2 ft (assist by D. Favors),2,4
8,1,10:33.0,T. Hardaway makes 2-pt jump shot from 8 ft (assist by L. Kornet),,4,4
9,1,10:22.0,,D. Favors makes 2-pt layup from 1 ft (assist by J. Ingles),4,6
10,1,10:02.0,T. Hardaway misses 2-pt jump shot from 20 ft,,4,6
11,1,9:58.0,,Defensive rebound by J. Ingles,4,6
12,1,9:46.0,,D. Exum makes 2-pt layup from 6 ft (assist by D. Favors),4,8
13,1,9:36.0,E. Mudiay misses 2-pt jump shot from 15 ft,,4,8
14,1,9:35.0,,Defensive rebound by Team,4,8
15,1,9:35.0,Loose ball foul by N. Vonleh (drawn by R. Gobert),,4,8
16,1,9:20.0,,R. Gobert makes 2-pt dunk from 1 ft (assist by D. Mitchell),4,10
17,1,9:20.0,,Shooting foul by N. Vonleh (drawn by R. Gobert),4,10
18,1,9:20.0,,R. Gobert makes free throw 1 of 1,4,11
19,1,9:14.0,New York full timeout,,4,11
20,1,9:14.0,L. Thomas enters the game for N. Vonleh,,4,11
21,1,9:09.0,Personal foul by D. Mitchell (drawn by K. Knox),,4,11
22,1,8:56.0,T. Hardaway misses 3-pt jump shot from 28 ft,,4,11
23,1,8:53.0,,Defensive rebound by R. Gobert,4,11
24,1,8:49.0,,D. Mitchell misses 3-pt jump shot from 26 ft,4,11
25,1,8:44.0,Defensive rebound by E. Mudiay,,4,11
26,1,8:39.0,L. Kornet misses 3-pt jump shot from 25 ft,,4,11
27,1,8:36.0,,Defensive rebound by R. Gobert,4,11
28,1,8:28.0,,Turnover by J. Ingles (bad pass),4,11
29,1,8:19.0,L. Kornet makes 3-pt jump shot from 27 ft (assist by E. Mudiay),,7,11
30,1,8:00.0,,Shooting foul by L. Kornet (drawn by J. Ingles),7,11
31,1,8:00.0,,J. Ingles makes free throw 1 of 2,7,12
32,1,8:00.0,,J. Ingles makes free throw 2 of 2,7,13
33,1,7:47.0,E. Mudiay makes 2-pt jump shot from 8 ft,,9,13
34,1,7:39.0,,Personal foul by E. Mudiay (drawn by D. Exum),9,13
35,1,7:22.0,,D. Favors misses 3-pt jump shot from 23 ft,9,13
36,1,7:19.0,Defensive rebound by L. Kornet,,9,13
37,1,7:19.0,,K. Korver enters the game for J. Ingles,9,13
38,1,6:57.0,E. Mudiay misses 2-pt jump shot from 13 ft,,9,13
39,1,6:55.0,,Defensive rebound by D. Favors,9,13
40,1,6:46.0,,D. Favors makes 2-pt dunk from 2 ft (assist by D. Exum),9,15
41,1,6:34.0,Shooting foul by K. Korver (drawn by K. Knox),,9,15
