,QUARTER,TIME_REMAINING,PHOENIX_ACTION,BROOKLYN_ACTION,PHOENIX_SCORE,BROOKLYN_SCORE
0,1,11:43.0,,J. Allen misses 2-pt layup from 4 ft (block by D. Ayton),0,0
1,1,11:43.0,Defensive rebound by Team,,0,0
2,1,11:26.0,D. Booker misses 2-pt jump shot from 18 ft,,0,0
3,1,11:22.0,,Defensive rebound by R. Kurucs,0,0
4,1,11:04.0,,D. Russell misses 2-pt jump shot from 22 ft,0,0
5,1,11:00.0,Defensive rebound by T. Warren,,0,0
6,1,10:54.0,D. Ayton makes 2-pt layup from 2 ft (assist by M. Bridges),,2,0
7,1,10:41.0,,Personal foul by D. Melton (drawn by J. Allen),2,0
8,1,10:36.0,,J. Harris makes 3-pt jump shot from 25 ft (assist by R. Kurucs),2,3
9,1,10:17.0,D. Ayton misses 2-pt layup from 3 ft,,2,3
10,1,10:14.0,,Defensive rebound by R. Hollis-Jefferson,2,3
11,1,10:06.0,,Turnover by R. Hollis-Jefferson (lost ball; steal by M. Bridges),2,3
12,1,9:56.0,Turnover by M. Bridges (bad pass; steal by R. Hollis-Jefferson),,2,3
13,1,9:53.0,,R. Kurucs misses 2-pt hook shot from 8 ft,2,3
14,1,9:51.0,Defensive rebound by D. Ayton,,2,3
15,1,9:48.0,Turnover by D. Booker (lost ball; steal by D. Russell),,2,3
16,1,9:48.0,,Shooting foul by T. Warren (drawn by R. Kurucs),2,3
17,1,9:48.0,,R. Kurucs makes free throw 1 of 2,2,4
18,1,9:48.0,,R. Kurucs makes free throw 2 of 2,2,5
19,1,9:34.0,Turnover by D. Ayton (offensive foul),,2,5
20,1,9:34.0,Offensive foul by D. Ayton (drawn by D. Russell),,2,5
21,1,9:22.0,,J. Allen makes 2-pt layup from 2 ft (assist by J. Harris),2,7
22,1,9:22.0,,Shooting foul by T. Warren (drawn by J. Allen),2,7
23,1,9:22.0,,J. Allen misses free throw 1 of 1,2,7
24,1,9:19.0,Defensive rebound by T. Warren,,2,7
25,1,9:13.0,T. Warren misses 2-pt layup from 1 ft,,2,7
26,1,9:08.0,Offensive rebound by D. Ayton,,2,7
27,1,9:08.0,D. Ayton makes 2-pt layup at rim,,4,7
28,1,8:58.0,,D. Russell makes 2-pt layup from 2 ft (assist by J. Allen),4,9
29,1,8:47.0,Personal foul by J. Harris (drawn by D. Ayton),,4,9
30,1,8:41.0,D. Ayton makes 2-pt hook shot from 8 ft (assist by D. Booker),,6,9
31,1,8:31.0,,Turnover by D. Russell (lost ball; steal by M. Bridges),6,9
32,1,8:21.0,T. Warren makes 2-pt layup from 2 ft,,8,9
