,QUARTER,TIME_REMAINING,MINNESOTA_ACTION,NEW ORLEANS_ACTION,MINNESOTA_SCORE,NEW ORLEANS_SCORE
0,1,11:41.0,,E. Payton misses 2-pt jump shot from 9 ft,0,0
1,1,11:36.0,,Offensive rebound by J. Okafor,0,0
2,1,11:36.0,,J. Okafor misses 2-pt layup from 1 ft,0,0
3,1,11:33.0,Defensive rebound by T. Gibson,,0,0
4,1,11:19.0,K. Towns misses 2-pt hook shot from 7 ft,,0,0
5,1,11:16.0,,Defensive rebound by J. Holiday,0,0
6,1,11:10.0,,J. Holiday misses 2-pt layup from 3 ft,0,0
7,1,11:04.0,,Offensive rebound by J. Okafor,0,0
8,1,11:04.0,,J. Okafor misses 2-pt layup from 1 ft,0,0
9,1,11:04.0,,Offensive rebound by J. Okafor,0,0
10,1,11:02.0,,J. Okafor makes 2-pt layup from 3 ft,0,2
11,1,10:38.0,T. Gibson makes 2-pt jump shot from 5 ft,,2,2
12,1,10:19.0,,J. Okafor makes 2-pt jump shot from 5 ft,2,4
13,1,10:09.0,Personal foul by J. Okafor (drawn by K. Towns),,2,4
14,1,9:58.0,K. Towns misses 2-pt hook shot from 7 ft,,2,4
15,1,9:55.0,Offensive rebound by K. Towns,,2,4
16,1,9:52.0,R. Covington makes 2-pt jump shot from 12 ft (assist by T. Gibson),,4,4
17,1,9:41.0,,J. Holiday misses 2-pt layup from 2 ft,4,4
18,1,9:39.0,Defensive rebound by K. Towns,,4,4
19,1,9:28.0,K. Towns misses 3-pt jump shot from 25 ft,,4,4
20,1,9:24.0,Offensive rebound by A. Wiggins,,4,4
21,1,9:23.0,A. Wiggins misses 2-pt layup from 3 ft,,4,4
22,1,9:20.0,,Defensive rebound by E. Payton,4,4
23,1,9:16.0,,Personal foul by K. Towns (drawn by J. Okafor),4,4
24,1,9:05.0,,J. Okafor misses 2-pt layup from 3 ft,4,4
25,1,9:02.0,,Offensive rebound by J. Okafor,4,4
26,1,8:54.0,,J. Okafor misses 2-pt hook shot from 3 ft,4,4
27,1,8:51.0,Defensive rebound by K. Towns,,4,4
28,1,8:46.0,T. Jones misses 2-pt jump shot from 9 ft,,4,4
29,1,8:41.0,,Defensive rebound by J. Randle,4,4
30,1,8:37.0,,E. Payton makes 2-pt layup from 2 ft,4,6
31,1,8:21.0,T. Gibson makes 2-pt jump shot from 14 ft (assist by T. Jones),,6,6
32,1,7:59.0,,J. Randle makes 2-pt layup from 2 ft (assist by J. Holiday),6,8
33,1,7:48.0,Personal foul by J. Okafor (drawn by K. Towns),,6,8
34,1,7:44.0,K. Towns misses 2-pt jump shot from 7 ft (block by J. Okafor),,6,8
35,1,7:44.0,Offensive rebound by K. Towns,,6,8
36,1,7:41.0,K. Towns makes 2-pt layup from 3 ft,,8,8
37,1,7:41.0,Shooting foul by J. Okafor (drawn by K. Towns),,8,8
38,1,7:41.0,,C. Diallo enters the game for J. Okafor,8,8
39,1,7:41.0,K. Towns makes free throw 1 of 1,,9,8
40,1,7:32.0,,J. Randle misses 3-pt jump shot from 25 ft,9,8
41,1,7:29.0,,Offensive rebound by C. Diallo,9,8
42,1,7:25.0,,J. Randle misses 2-pt layup from 2 ft (block by R. Covington),9,8
43,1,7:21.0,,Offensive rebound by J. Randle,9,8
44,1,7:21.0,,J. Randle misses 2-pt layup from 2 ft,9,8
45,1,7:21.0,Defensive rebound by T. Gibson,,9,8
46,1,7:12.0,T. Gibson makes 2-pt layup from 2 ft (assist by K. Towns),,11,8
47,1,7:01.0,,J. Holiday misses 2-pt jump shot from 16 ft,11,8
48,1,6:59.0,Defensive rebound by K. Towns,,11,8
