,QUARTER,TIME_REMAINING,DETROIT_ACTION,BROOKLYN_ACTION,DETROIT_SCORE,BROOKLYN_SCORE
0,1,11:36.0,,C. LeVert misses 3-pt jump shot from 23 ft,0,0
1,1,11:29.0,Defensive rebound by S. Johnson,,0,0
2,1,11:27.0,A. Drummond misses 3-pt jump shot from 25 ft,,0,0
3,1,11:24.0,,Defensive rebound by J. Dudley,0,0
4,1,11:18.0,,J. Harris misses 2-pt layup from 2 ft,0,0
5,1,11:14.0,Defensive rebound by B. Griffin,,0,0
6,1,11:09.0,S. Johnson misses 3-pt jump shot from 25 ft,,0,0
7,1,11:06.0,,Defensive rebound by J. Allen,0,0
8,1,10:55.0,,J. Dudley misses 3-pt jump shot from 24 ft,0,0
9,1,10:53.0,Defensive rebound by R. Jackson,,0,0
10,1,10:47.0,R. Jackson misses 2-pt jump shot from 6 ft,,0,0
11,1,10:45.0,,Defensive rebound by J. Allen,0,0
12,1,10:35.0,,D. Russell misses 2-pt layup from 2 ft,0,0
13,1,10:32.0,Defensive rebound by B. Griffin,,0,0
14,1,10:30.0,Shooting foul by J. Allen (drawn by B. Griffin),,0,0
15,1,10:30.0,B. Griffin misses free throw 1 of 2,,0,0
16,1,10:30.0,Offensive rebound by Team,,0,0
17,1,10:30.0,B. Griffin makes free throw 2 of 2,,1,0
18,1,10:20.0,,Turnover by J. Allen (lost ball; steal by B. Griffin),1,0
19,1,10:08.0,R. Bullock misses 2-pt jump shot from 16 ft,,1,0
20,1,10:05.0,,Defensive rebound by C. LeVert,1,0
21,1,9:59.0,,D. Russell misses 3-pt jump shot from 26 ft,1,0
22,1,9:55.0,Defensive rebound by S. Johnson,,1,0
23,1,9:37.0,B. Griffin misses 3-pt jump shot from 24 ft,,1,0
24,1,9:34.0,,Defensive rebound by D. Russell,1,0
25,1,9:25.0,,J. Allen makes 2-pt dunk from 1 ft (assist by D. Russell),1,2
26,1,9:06.0,A. Drummond makes 2-pt hook shot from 2 ft,,3,2
27,1,8:50.0,,J. Allen makes 2-pt dunk from 1 ft (assist by C. LeVert),3,4
28,1,8:38.0,R. Jackson misses 2-pt jump shot from 15 ft (block by D. Russell),,3,4
29,1,8:38.0,Offensive rebound by Team,,3,4
30,1,8:31.0,Offensive foul by A. Drummond (drawn by J. Allen),,3,4
31,1,8:31.0,Turnover by A. Drummond (offensive foul),,3,4
32,1,8:18.0,,J. Harris makes 3-pt jump shot from 25 ft (assist by D. Russell),3,7
33,1,8:09.0,Shooting foul by J. Allen (drawn by A. Drummond),,3,7
34,1,8:09.0,A. Drummond makes free throw 1 of 2,,4,7
35,1,8:09.0,,E. Davis enters the game for J. Allen,4,7
36,1,8:09.0,A. Drummond makes free throw 2 of 2,,5,7
37,1,7:57.0,,J. Harris makes 3-pt jump shot from 26 ft (assist by D. Russell),5,10
38,1,7:42.0,B. Griffin makes 2-pt jump shot from 2 ft,,7,10
39,1,7:33.0,,D. Russell misses 3-pt jump shot from 26 ft,7,10
40,1,7:33.0,Defensive rebound by B. Griffin,,7,10
41,1,7:24.0,Turnover by B. Griffin (lost ball; steal by C. LeVert),,7,10
42,1,7:20.0,,D. Russell makes 2-pt layup from 4 ft (assist by C. LeVert),7,12
43,1,7:20.0,,Shooting foul by R. Jackson (drawn by D. Russell),7,12
44,1,7:20.0,,D. Russell misses free throw 1 of 1,7,12
45,1,7:20.0,Defensive rebound by S. Johnson,,7,12
46,1,7:13.0,Shooting foul by J. Harris (drawn by S. Johnson),,7,12
47,1,7:13.0,S. Johnson makes free throw 1 of 2,,8,12
48,1,7:13.0,S. Johnson misses free throw 2 of 2,,8,12
49,1,7:10.0,,Defensive rebound by E. Davis,8,12
50,1,7:02.0,,J. Harris misses 3-pt jump shot from 26 ft,8,12
51,1,6:59.0,Defensive rebound by A. Drummond,,8,12
52,1,6:51.0,A. Drummond misses 2-pt layup from 4 ft,,8,12
53,1,6:50.0,,Defensive rebound by Team,8,12
54,1,6:50.0,,Brooklyn full timeout,8,12
55,1,6:50.0,B. Brown enters the game for R. Bullock,,8,12
56,1,6:38.0,,E. Davis makes 2-pt layup from 1 ft (assist by J. Dudley),8,14
57,1,6:38.0,,Shooting foul by B. Brown (drawn by E. Davis),8,14
58,1,6:38.0,,E. Davis makes free throw 1 of 1,8,15
59,1,6:29.0,Def 3 sec tech foul by Team,,8,15
60,1,6:29.0,R. Jackson makes technical free throw,,9,15
