,QUARTER,TIME_REMAINING,CHICAGO_ACTION,SAN ANTONIO_ACTION,CHICAGO_SCORE,SAN ANTONIO_SCORE
0,1,11:36.0,K. Dunn misses 2-pt layup at rim,,0,0
1,1,11:34.0,,Defensive rebound by L. Aldridge,0,0
2,1,11:24.0,,L. Aldridge makes 2-pt jump shot from 19 ft (assist by B. Forbes),0,2
3,1,11:04.0,L. Markkanen makes 3-pt jump shot from 28 ft (assist by R. Arcidiacono),,3,2
4,1,10:40.0,,Turnover by D. DeRozan (bad pass; steal by J. Holiday),3,2
5,1,10:36.0,R. Arcidiacono misses 3-pt jump shot from 23 ft,,3,2
6,1,10:34.0,,Defensive rebound by Team,3,2
7,1,10:34.0,Loose ball foul by W. Carter (drawn by D. White),,3,2
8,1,10:19.0,,L. Aldridge makes 2-pt jump shot at rim (assist by R. Gay),3,4
9,1,10:03.0,W. Carter makes 2-pt layup from 1 ft (assist by L. Markkanen),,5,4
10,1,9:51.0,,D. DeRozan makes 2-pt layup from 1 ft,5,6
11,1,9:31.0,J. Holiday misses 2-pt layup at rim,,5,6
12,1,9:29.0,Offensive rebound by R. Arcidiacono,,5,6
13,1,9:25.0,J. Holiday misses 3-pt jump shot from 24 ft,,5,6
14,1,9:22.0,,Defensive rebound by B. Forbes,5,6
15,1,9:09.0,,L. Aldridge makes 2-pt jump shot from 13 ft (assist by B. Forbes),5,8
16,1,8:46.0,L. Markkanen misses 2-pt jump shot from 13 ft (block by R. Gay),,5,8
17,1,8:45.0,,Defensive rebound by R. Gay,5,8
18,1,8:45.0,,Turnover by R. Gay (bad pass),5,8
19,1,8:34.0,K. Dunn misses 2-pt jump shot from 17 ft,,5,8
20,1,8:32.0,,Defensive rebound by B. Forbes,5,8
21,1,8:24.0,,D. DeRozan misses 2-pt jump shot from 10 ft,5,8
22,1,8:23.0,Defensive rebound by K. Dunn,,5,8
23,1,8:14.0,Personal foul by R. Gay (drawn by K. Dunn),,5,8
24,1,8:01.0,J. Holiday misses 3-pt jump shot from 25 ft,,5,8
25,1,7:58.0,,Defensive rebound by R. Gay,5,8
26,1,7:50.0,,R. Gay makes 2-pt layup from 2 ft,5,10
27,1,7:41.0,K. Dunn makes 2-pt jump shot from 14 ft,,7,10
28,1,7:20.0,,L. Aldridge misses 2-pt jump shot from 13 ft,7,10
29,1,7:18.0,Defensive rebound by K. Dunn,,7,10
30,1,7:02.0,J. Holiday misses 2-pt jump shot from 16 ft,,7,10
31,1,6:58.0,,Defensive rebound by D. DeRozan,7,10
32,1,6:44.0,,L. Aldridge makes 2-pt jump shot from 13 ft (assist by D. DeRozan),7,12
33,1,6:26.0,L. Markkanen misses 3-pt jump shot from 26 ft,,7,12
34,1,6:23.0,,Defensive rebound by B. Forbes,7,12
35,1,6:06.0,,D. DeRozan makes 2-pt jump shot from 13 ft,7,14
36,1,5:52.0,W. Carter makes 2-pt jump shot from 8 ft (assist by K. Dunn),,9,14
37,1,5:52.0,,San Antonio full timeout,9,14
38,1,5:52.0,,P. Mills enters the game for D. White,9,14
39,1,5:35.0,,D. DeRozan makes 2-pt jump shot from 16 ft,9,16
40,1,5:19.0,W. Carter misses 2-pt jump shot from 18 ft,,9,16
41,1,5:16.0,,Defensive rebound by R. Gay,9,16
42,1,5:11.0,,Shooting foul by W. Carter (drawn by L. Aldridge),9,16
43,1,5:11.0,,L. Aldridge makes free throw 1 of 2,9,17
44,1,5:11.0,R. Lopez enters the game for W. Carter,,9,17
45,1,5:11.0,,D. Bertāns enters the game for R. Gay,9,17
46,1,5:11.0,,L. Aldridge makes free throw 2 of 2,9,18
47,1,5:06.0,Personal foul by P. Mills (drawn by R. Lopez),,9,18
48,1,5:02.0,K. Dunn makes 2-pt layup at rim (assist by J. Holiday),,11,18
49,1,4:44.0,,P. Mills misses 3-pt jump shot from 22 ft,11,18
50,1,4:41.0,Defensive rebound by R. Arcidiacono,,11,18
51,1,4:38.0,Turnover by R. Arcidiacono (discontinued dribble),,11,18
52,1,4:38.0,,M. Belinelli enters the game for B. Forbes,11,18
53,1,4:26.0,,D. DeRozan misses 2-pt jump shot from 12 ft,11,18
54,1,4:22.0,Defensive rebound by R. Lopez,,11,18
55,1,4:09.0,J. Holiday misses 3-pt jump shot from 25 ft,,11,18
56,1,4:07.0,Offensive rebound by R. Arcidiacono,,11,18
57,1,4:04.0,K. Dunn misses 3-pt jump shot from 24 ft,,11,18
58,1,3:59.0,,Defensive rebound by L. Aldridge,11,18
59,1,3:48.0,,L. Aldridge misses 2-pt jump shot from 19 ft,11,18
60,1,3:45.0,Defensive rebound by L. Markkanen,,11,18
61,1,3:42.0,Chicago full timeout,,11,18
62,1,3:42.0,S. Harrison enters the game for K. Dunn,,11,18
63,1,3:42.0,B. Portis enters the game for L. Markkanen,,11,18
64,1,3:42.0,,J. Poeltl enters the game for L. Aldridge,11,18
65,1,3:29.0,R. Lopez makes 2-pt hook shot from 4 ft,,13,18
66,1,3:19.0,,Turnover by M. Belinelli (bad pass; steal by R. Arcidiacono),13,18
67,1,3:16.0,R. Arcidiacono makes 2-pt layup at rim (assist by S. Harrison),,15,18
68,1,2:57.0,,Turnover by P. Mills (lost ball; steal by S. Harrison),15,18
69,1,2:48.0,B. Portis misses 3-pt jump shot from 24 ft,,15,18
70,1,2:44.0,Offensive rebound by B. Portis,,15,18
71,1,2:43.0,B. Portis makes 2-pt jump shot from 9 ft,,17,18
72,1,2:24.0,,D. DeRozan makes 2-pt layup from 1 ft,17,20
73,1,2:02.0,R. Lopez makes 2-pt hook shot from 7 ft,,19,20
74,1,1:52.0,,D. DeRozan misses 2-pt layup from 6 ft,19,20
75,1,1:49.0,,Offensive rebound by J. Poeltl,19,20
76,1,1:36.0,,Shooting foul by R. Arcidiacono (drawn by D. DeRozan),19,20
77,1,1:36.0,,D. DeRozan makes free throw 1 of 2,19,21
78,1,1:36.0,,D. DeRozan makes free throw 2 of 2,19,22
79,1,1:28.0,J. Holiday misses 3-pt jump shot from 25 ft,,19,22
80,1,1:25.0,,Defensive rebound by P. Mills,19,22
81,1,1:21.0,,M. Belinelli makes 3-pt jump shot from 25 ft (assist by P. Mills),19,25
82,1,1:00.0,Turnover by B. Portis (out of bounds lost ball),,19,25
83,1,1:00.0,C. Hutchison enters the game for J. Holiday,,19,25
84,1,1:00.0,,R. Gay enters the game for D. DeRozan,19,25
85,1,0:38.0,,M. Belinelli makes 3-pt jump shot from 23 ft (assist by R. Gay),19,28
86,1,0:30.0,R. Lopez makes 2-pt layup from 10 ft (assist by R. Arcidiacono),,21,28
87,1,0:11.0,,Turnover by J. Poeltl (3 sec),21,28
88,1,0:00.0,C. Hutchison misses 2-pt jump shot from 16 ft,,21,28
89,1,0:00.0,Offensive rebound by Team,,21,28
90,2,11:43.0,,D. Bertāns makes 3-pt jump shot from 27 ft (assist by P. Mills),21,31
91,2,11:27.0,B. Portis misses 2-pt jump shot from 8 ft,,21,31
92,2,11:25.0,Offensive rebound by R. Lopez,,21,31
93,2,11:23.0,K. Dunn misses 3-pt jump shot from 28 ft,,21,31
94,2,11:18.0,,Defensive rebound by M. Belinelli,21,31
95,2,11:13.0,,M. Belinelli makes 3-pt jump shot from 27 ft,21,34
96,2,11:13.0,Chicago full timeout,,21,34
97,2,11:13.0,,L. Aldridge enters the game for P. Mills,21,34
98,2,11:13.0,,D. White enters the game for J. Poeltl,21,34
99,2,11:04.0,S. Harrison misses 2-pt layup from 1 ft,,21,34
100,2,11:01.0,,Defensive rebound by M. Belinelli,21,34
101,2,10:58.0,,M. Belinelli makes 3-pt jump shot from 26 ft,21,37
102,2,10:40.0,R. Lopez misses 2-pt jump shot from 9 ft,,21,37
103,2,10:36.0,,Defensive rebound by L. Aldridge,21,37
104,2,10:36.0,L. Markkanen enters the game for R. Lopez,,21,37
105,2,10:16.0,,D. White misses 3-pt jump shot from 27 ft,21,37
106,2,10:13.0,Defensive rebound by S. Harrison,,21,37
107,2,10:01.0,L. Markkanen makes 2-pt layup at rim (assist by S. Harrison),,23,37
108,2,9:46.0,,L. Aldridge makes 2-pt jump shot from 5 ft (assist by R. Gay),23,39
109,2,9:46.0,,Shooting foul by C. Hutchison (drawn by L. Aldridge),23,39
110,2,9:46.0,,L. Aldridge makes free throw 1 of 1,23,40
111,2,9:20.0,C. Hutchison misses 2-pt jump shot from 8 ft,,23,40
112,2,9:18.0,,Defensive rebound by R. Gay,23,40
113,2,9:10.0,,M. Belinelli misses 3-pt jump shot from 23 ft,23,40
114,2,9:06.0,Defensive rebound by S. Harrison,,23,40
115,2,8:51.0,Turnover by L. Markkanen (lost ball; steal by D. White),,23,40
116,2,8:46.0,,Shooting foul by K. Dunn (drawn by R. Gay),23,40
117,2,8:46.0,,R. Gay makes free throw 1 of 2,23,41
118,2,8:46.0,R. Arcidiacono enters the game for S. Harrison,,23,41
119,2,8:46.0,J. Holiday enters the game for C. Hutchison,,23,41
120,2,8:46.0,,R. Gay makes free throw 2 of 2,23,42
121,2,8:31.0,K. Dunn makes 2-pt jump shot from 15 ft,,25,42
122,2,8:17.0,,Shooting foul by L. Markkanen (drawn by R. Gay),25,42
123,2,8:17.0,,R. Gay makes free throw 1 of 2,25,43
124,2,8:17.0,,D. DeRozan enters the game for D. Bertāns,25,43
125,2,8:17.0,,R. Gay makes free throw 2 of 2,25,44
126,2,8:03.0,K. Dunn makes 2-pt jump shot from 14 ft,,27,44
127,2,7:52.0,,Personal foul by B. Portis (drawn by R. Gay),27,44
128,2,7:42.0,,Personal foul by B. Portis (drawn by L. Aldridge),27,44
129,2,7:42.0,,L. Aldridge makes free throw 1 of 2,27,45
130,2,7:42.0,W. Carter enters the game for B. Portis,,27,45
131,2,7:42.0,,D. Cunningham enters the game for M. Belinelli,27,45
132,2,7:42.0,,B. Forbes enters the game for R. Gay,27,45
133,2,7:42.0,,L. Aldridge makes free throw 2 of 2,27,46
134,2,7:34.0,J. Holiday misses 3-pt jump shot from 25 ft,,27,46
135,2,7:32.0,Offensive rebound by Team,,27,46
136,2,7:29.0,Turnover by K. Dunn (step out of bounds),,27,46
137,2,7:21.0,,Personal foul by W. Carter (drawn by L. Aldridge),27,46
138,2,7:21.0,,L. Aldridge makes free throw 1 of 2,27,47
139,2,7:21.0,R. Lopez enters the game for W. Carter,,27,47
140,2,7:21.0,C. Payne enters the game for K. Dunn,,27,47
141,2,7:21.0,,L. Aldridge makes free throw 2 of 2,27,48
142,2,7:12.0,L. Markkanen makes 3-pt jump shot from 25 ft (assist by R. Arcidiacono),,30,48
143,2,7:05.0,,San Antonio full timeout,30,48
